,Latitude,Longitude
0,43.07939,-70.75262
1,43.08411,-70.75087
2,43.0847,-70.75094
3,43.08588,-70.7503
4,43.09305,-70.74754
5,43.09996,-70.74426
6,43.10055,-70.74364
7,43.10122,-70.74367
8,43.10187,-70.74332
9,43.10388,-70.7431
10,43.10544,-70.74224
11,43.10644,-70.74138
12,43.11418,-70.73098
13,43.11725,-70.72628
14,43.12988,-70.70536
15,43.13182,-70.70302
16,43.13658,-70.6993
17,43.14037,-70.69464
18,43.14159,-70.69157
19,43.14229,-70.68831
20,43.14321,-70.68512
21,43.14618,-70.67874
22,43.14932,-70.67142
23,43.14987,-70.6683
24,43.15109,-70.66447
25,43.16504,-70.64293
26,43.16994,-70.63937
27,43.17216,-70.63812
28,43.17357,-70.63707
29,43.17585,-70.63467
30,43.17889,-70.6295
31,43.18026,-70.62774
32,43.18261,-70.62538
33,43.18463,-70.62396
34,43.18793,-70.62082
35,43.18881,-70.62039
36,43.19104,-70.61977
37,43.19213,-70.61969
38,43.19257,-70.61982
39,43.19423,-70.62104
40,43.19504,-70.62127
41,43.19631,-70.62087
42,43.19686,-70.62086
43,43.19884,-70.62136
44,43.19946,-70.62139
45,43.20254,-70.62055
46,43.20491,-70.61896
47,43.20662,-70.6173
48,43.20752,-70.61663
49,43.21074,-70.61464
50,43.21292,-70.61354
51,43.21544,-70.61149
52,43.2182,-70.61133
53,43.21978,-70.61075
54,43.22247,-70.60796
55,43.2259,-70.60486
56,43.22684,-70.60414
57,43.22809,-70.60366
58,43.23024,-70.60311
59,43.23324,-70.60297
60,43.23719,-70.601
61,43.23797,-70.60105
62,43.24201,-70.60217
63,43.24502,-70.60158
64,43.2489,-70.5998
65,43.25067,-70.6001
66,43.2521,-70.60076
67,43.25254,-70.60071
68,43.25643,-70.59936
69,43.26006,-70.59889
70,43.26177,-70.59854
71,43.26336,-70.59798
72,43.26707,-70.59736
73,43.26785,-70.59734
74,43.27184,-70.59781
75,43.27278,-70.59814
76,43.27329,-70.59809
77,43.277,-70.59638
78,43.27903,-70.59526
79,43.28206,-70.59488
80,43.28362,-70.59435
81,43.28641,-70.59396
82,43.28692,-70.59372
83,43.29033,-70.59083
84,43.29583,-70.58812
85,43.30273,-70.58556
86,43.30635,-70.58469
87,43.31211,-70.58475
88,43.31401,-70.58447
89,43.32207,-70.58105
90,43.32448,-70.57936
91,43.32735,-70.57687
92,43.32914,-70.57375
93,43.32994,-70.57306
94,43.33233,-70.57159
95,43.33489,-70.56917
96,43.33815,-70.5671
97,43.34282,-70.5627
98,43.34592,-70.56003
99,43.34728,-70.55932
100,43.34869,-70.5591
101,43.35433,-70.55959
102,43.35881,-70.55969
103,43.37125,-70.55327
104,43.37422,-70.55198
105,43.37861,-70.54881
106,43.38453,-70.54367
107,43.38783,-70.53697
108,43.38874,-70.53666
109,43.39429,-70.53209
110,43.39751,-70.52977
111,43.40231,-70.52685
112,43.40387,-70.52499
113,43.4231,-70.5151
114,43.43142,-70.50815
115,43.43468,-70.50511
116,43.43668,-70.50405
117,43.43869,-70.5035
118,43.44463,-70.50117
119,43.45718,-70.49335
120,43.46429,-70.49005
121,43.47267,-70.48123
122,43.48734,-70.46711
123,43.49123,-70.46294
124,43.49254,-70.46194
125,43.4979,-70.45471
126,43.49815,-70.45282
127,43.49951,-70.44951
128,43.50133,-70.44243
129,43.50975,-70.43432
130,43.51398,-70.43
131,43.51859,-70.42762
132,43.52299,-70.42801
133,43.52559,-70.42767
134,43.53384,-70.42449
135,43.55331,-70.40571
136,43.55821,-70.40128
137,43.56251,-70.39816
138,43.5667,-70.39222
139,43.5694,-70.38893
140,43.57143,-70.38716
141,43.57232,-70.38617
142,43.57302,-70.38513
143,43.57817,-70.37358
144,43.58315,-70.36329
145,43.5837,-70.36187
146,43.58777,-70.34942
147,43.58938,-70.33876
148,43.59018,-70.33417
149,43.59055,-70.33317
150,43.59336,-70.32865
151,43.59845,-70.32259
152,43.60029,-70.32072
153,43.60524,-70.31623
154,43.60838,-70.314
155,43.60967,-70.31329
156,43.61315,-70.31278
157,43.61406,-70.31232
158,43.61616,-70.31024
159,43.61751,-70.30866
160,43.63006,-70.29214
161,43.63384,-70.2885
162,43.63459,-70.28859
163,43.63775,-70.29261
164,43.63833,-70.29318
165,43.63887,-70.29338
166,43.64077,-70.2926
