,Latitude,Longitude
0,41.89457,-71.37116
1,41.91649,-71.36001
2,41.92515,-71.35622
3,41.92853,-71.35405
4,41.93712,-71.35004
5,41.94149,-71.3489
6,41.96629,-71.33907
7,41.97153,-71.33137
8,41.97214,-71.33069
9,41.97326,-71.32986
10,41.97462,-71.32942
11,41.9767,-71.32942
12,41.98057,-71.32989
13,41.98237,-71.32917
14,41.98529,-71.32692
15,41.98646,-71.32666
16,41.99381,-71.32908
17,41.99802,-71.32778
18,42.01539,-71.31849
19,42.02603,-71.31193
20,42.06932,-71.29184
21,42.0702,-71.29115
22,42.07759,-71.28403
23,42.08264,-71.2789
24,42.08764,-71.27346
25,42.09105,-71.27046
26,42.09502,-71.26775
27,42.09649,-71.26628
28,42.10157,-71.25967
29,42.10946,-71.24641
30,42.11886,-71.23471
31,42.12055,-71.23311
32,42.13965,-71.21901
33,42.14062,-71.21845
34,42.14631,-71.21626
35,42.14728,-71.21577
36,42.14816,-71.21507
37,42.14951,-71.21358
38,42.15246,-71.20787
39,42.15608,-71.20306
40,42.15772,-71.20153
41,42.1696,-71.19698
42,42.17116,-71.19609
43,42.18602,-71.18542
44,42.18786,-71.18456
45,42.19197,-71.18357
46,42.19414,-71.18374
47,42.19576,-71.18454
48,42.19871,-71.18677
49,42.19939,-71.18707
50,42.20095,-71.18731
51,42.20305,-71.18698
52,42.21094,-71.18375
53,42.21345,-71.18239
54,42.2178,-71.18089
55,42.21899,-71.18067
56,42.22008,-71.18069
57,42.22093,-71.18086
58,42.22401,-71.18218
59,42.22489,-71.18234
60,42.22539,-71.18205
61,42.22635,-71.18038
62,42.22635,-71.17974
63,42.22545,-71.17683
64,42.21962,-71.16136
65,42.20525,-71.13602
66,42.2038,-71.1321
67,42.20334,-71.12991
68,42.20302,-71.12703
69,42.20353,-71.10663
70,42.20232,-71.08512
71,42.2024,-71.08064
72,42.20277,-71.07704
73,42.20727,-71.05459
74,42.20801,-71.05178
75,42.20903,-71.04923
76,42.21137,-71.04504
77,42.21281,-71.04333
78,42.22033,-71.03564
79,42.22147,-71.03401
