,Latitude,Longitude
0,33.4757,-81.95526
1,33.47762,-81.9542
2,33.48022,-81.95222
3,33.48117,-81.95124
4,33.4837,-81.9475
5,33.48424,-81.94598
6,33.48601,-81.93251
7,33.48674,-81.92918
8,33.48844,-81.92294
9,33.48905,-81.92178
10,33.50072,-81.90753
11,33.50206,-81.9053
12,33.50333,-81.90255
13,33.50437,-81.89849
14,33.51001,-81.8718
15,33.51058,-81.86989
16,33.51133,-81.86811
17,33.51267,-81.86579
18,33.518,-81.85906
19,33.54553,-81.82316
20,33.54685,-81.82187
21,33.54995,-81.8199
22,33.55124,-81.8188
23,33.55292,-81.81612
24,33.5547,-81.80919
25,33.56016,-81.78616
26,33.56359,-81.76816
27,33.56483,-81.74525
28,33.56592,-81.73613
29,33.56577,-81.73471
30,33.5601,-81.71787
31,33.56804,-81.71411
32,33.56867,-81.7136
33,33.56922,-81.71297
34,33.5698,-81.71197
35,33.5716,-81.70737
36,33.57282,-81.70576
37,33.57809,-81.70242
38,33.57924,-81.7019
39,33.58533,-81.69988
40,33.58598,-81.69937
41,33.58941,-81.69519
42,33.59023,-81.69443
43,33.60013,-81.68712
44,33.60133,-81.68647
45,33.60626,-81.68469
46,33.61979,-81.67847
47,33.62085,-81.67832
48,33.62179,-81.67839
49,33.62689,-81.67899
50,33.64877,-81.67525
51,33.66438,-81.67413
52,33.66891,-81.67373
53,33.67015,-81.67343
54,33.69365,-81.66192
55,33.6995,-81.65875
56,33.70059,-81.65836
57,33.7023,-81.65823
58,33.71218,-81.65828
59,33.72463,-81.65731
60,33.72569,-81.65697
61,33.72667,-81.65619
62,33.72917,-81.65332
63,33.73316,-81.64982
64,33.73441,-81.64905
65,33.74494,-81.64431
66,33.74721,-81.64377
67,33.75715,-81.64276
68,33.77194,-81.64053
69,33.77406,-81.64062
70,33.79075,-81.64422
71,33.79179,-81.64424
72,33.79284,-81.64403
73,33.80407,-81.63686
74,33.80586,-81.63594
75,33.82153,-81.6292
76,33.83263,-81.62313
77,33.83386,-81.62212
78,33.83493,-81.62056
79,33.8393,-81.6129
80,33.84236,-81.60839
81,33.84375,-81.60689
82,33.8496,-81.60223
83,33.85135,-81.60047
84,33.86803,-81.58097
85,33.8691,-81.57998
86,33.87027,-81.57938
87,33.87148,-81.57906
88,33.88828,-81.57743
89,33.88955,-81.57704
90,33.89042,-81.57655
91,33.89186,-81.57504
92,33.893,-81.5726
93,33.91005,-81.53146
94,33.91128,-81.52653
95,33.91327,-81.52018
96,33.91471,-81.51629
97,33.9207,-81.50359
98,33.92134,-81.50205
99,33.92224,-81.49863
100,33.92283,-81.49752
101,33.9252,-81.4946
102,33.93209,-81.48451
103,33.93291,-81.48273
104,33.93898,-81.45999
105,33.93982,-81.45801
106,33.94259,-81.45271
107,33.94322,-81.45078
108,33.94359,-81.44879
109,33.94405,-81.44411
110,33.94441,-81.44239
111,33.94489,-81.44087
112,33.95102,-81.42529
113,33.95345,-81.41647
114,33.96604,-81.38774
115,33.96942,-81.38265
116,33.97289,-81.37838
117,33.97357,-81.37729
118,33.97419,-81.37568
119,33.97556,-81.37025
120,33.97672,-81.35967
121,33.97638,-81.35367
122,33.97689,-81.34485
123,33.97912,-81.32508
124,33.97869,-81.31438
125,33.97944,-81.30794
126,33.97974,-81.30354
127,33.98123,-81.28891
128,33.97985,-81.27781
129,33.9799,-81.27217
130,33.98079,-81.26646
131,33.98287,-81.26065
132,33.98323,-81.2591
133,33.98446,-81.25065
134,33.98481,-81.24914
135,33.9852,-81.24809
136,33.98676,-81.24524
137,33.97858,-81.23181
138,33.97807,-81.23069
139,33.97711,-81.22739
140,33.97488,-81.22176
141,33.9746,-81.22033
142,33.97444,-81.21861
143,33.97495,-81.21301
144,33.97538,-81.21129
145,33.97851,-81.20383
146,33.97892,-81.20232
147,33.97898,-81.20082
148,33.97754,-81.18936
149,33.97499,-81.17368
150,33.97519,-81.16361
151,33.97497,-81.16123
152,33.97464,-81.15932
153,33.97293,-81.15261
154,33.9719,-81.14587
155,33.97175,-81.13973
156,33.97198,-81.13804
157,33.97697,-81.12557
158,33.97747,-81.1236
159,33.97957,-81.11205
160,33.98496,-81.08976
161,33.98665,-81.07534
162,33.98699,-81.07418
163,33.98784,-81.07296
164,33.9891,-81.07178
165,33.98989,-81.07057
166,33.99321,-81.06057
167,33.99524,-81.0527
168,34.00762,-81.01337
169,34.00872,-81.01386
170,34.01027,-81.01508
171,34.01267,-81.01603
172,34.01616,-81.01442
173,34.01806,-81.01476
174,34.01952,-81.01474
175,34.02148,-81.01416
176,34.02829,-81.00937
177,34.02984,-81.0079
178,34.03153,-81.00677
179,34.03417,-81.00447
180,34.03694,-81.00339
181,34.03858,-81.00194
182,34.03923,-81.00091
183,34.04286,-80.9925
184,34.04341,-80.99172
185,34.04905,-80.98551
