,Latitude,Longitude
0,36.54419,-78.19724
1,36.54899,-78.19991
2,36.5507,-78.20051
3,36.60454,-78.20812
4,36.62794,-78.21803
5,36.62946,-78.21838
6,36.66739,-78.21427
7,36.66921,-78.21389
8,36.67105,-78.21306
9,36.6713,-78.21304
10,36.67176,-78.21337
11,36.67278,-78.21219
12,36.68039,-78.20797
13,36.68389,-78.20624
14,36.68483,-78.20567
15,36.68614,-78.2045
16,36.70597,-78.17651
17,36.70674,-78.17488
18,36.70712,-78.17196
19,36.70869,-78.17191
20,36.70967,-78.17127
21,36.71838,-78.15881
22,36.72474,-78.13773
23,36.7249,-78.13643
24,36.72497,-78.13215
25,36.72439,-78.13009
26,36.7263,-78.12925
27,36.72889,-78.1276
28,36.73135,-78.12646
29,36.73261,-78.12399
30,36.73344,-78.12282
31,36.73758,-78.11927
32,36.74098,-78.11736
33,36.74147,-78.11694
34,36.74536,-78.11092
35,36.76344,-78.05559
36,36.76521,-78.04835
37,36.7676,-78.04262
38,36.78725,-77.98149
39,36.78873,-77.97739
40,36.78955,-77.97612
41,36.80627,-77.95763
42,36.80844,-77.95502
43,36.83443,-77.91844
44,36.84272,-77.90805
45,36.84357,-77.90657
46,36.84534,-77.90256
47,36.84652,-77.90059
48,36.85979,-77.88269
49,36.86034,-77.88163
50,36.86077,-77.88037
51,36.86219,-77.87382
52,36.86483,-77.86932
53,36.86576,-77.86716
54,36.86778,-77.85519
55,36.86823,-77.85358
56,36.86901,-77.85188
57,36.88333,-77.82999
58,36.88466,-77.82713
59,36.90412,-77.80697
60,36.90543,-77.80533
61,36.9414,-77.73633
62,36.94239,-77.73516
63,36.94377,-77.73422
64,36.95457,-77.72965
65,36.95632,-77.72943
66,36.96485,-77.72991
67,36.96615,-77.72973
68,36.96747,-77.72925
69,36.9692,-77.72809
70,36.98174,-77.71627
71,36.98327,-77.71444
72,36.99136,-77.70296
73,37.01239,-77.67606
74,37.029,-77.65973
75,37.03673,-77.64616
76,37.04963,-77.63012
77,37.05187,-77.62575
78,37.05326,-77.62364
79,37.05423,-77.6226
80,37.05634,-77.62092
81,37.05726,-77.61981
82,37.0636,-77.60691
83,37.06443,-77.60551
84,37.06516,-77.60461
85,37.07622,-77.59341
86,37.07703,-77.59163
87,37.07788,-77.58711
88,37.07991,-77.58426
89,37.10681,-77.55937
90,37.10757,-77.55885
91,37.11172,-77.55674
92,37.11544,-77.55421
93,37.1189,-77.55239
94,37.12175,-77.54988
95,37.1345,-77.52989
96,37.13727,-77.52666
97,37.13991,-77.52406
98,37.14161,-77.52304
99,37.14633,-77.52131
100,37.15029,-77.51839
101,37.15206,-77.51754
102,37.15324,-77.51715
103,37.15982,-77.51608
104,37.16122,-77.51549
