,Latitude,Longitude
0,47.02278,-122.90967
1,47.02383,-122.91034
2,47.02466,-122.91129
3,47.02533,-122.91259
4,47.02572,-122.91395
5,47.02589,-122.91563
6,47.02593,-122.92534
7,47.02613,-122.92699
8,47.02651,-122.92835
9,47.03642,-122.94853
10,47.03758,-122.95156
11,47.04221,-122.9668
12,47.04264,-122.96902
13,47.04276,-122.97089
14,47.04224,-122.98364
15,47.04259,-122.98554
16,47.04334,-122.98747
17,47.04826,-122.99618
18,47.05505,-123.00562
19,47.05565,-123.00725
20,47.05641,-123.01121
21,47.05687,-123.0123
22,47.05755,-123.01319
23,47.05863,-123.01385
24,47.0624,-123.01537
25,47.06625,-123.01833
26,47.06731,-123.0186
27,47.0739,-123.01843
28,47.07504,-123.01883
29,47.07715,-123.01995
30,47.07928,-123.02144
31,47.0809,-123.02301
32,47.08345,-123.02609
33,47.08431,-123.02769
34,47.08499,-123.02985
35,47.08525,-123.03191
36,47.08495,-123.04101
37,47.0851,-123.04251
38,47.08609,-123.04665
39,47.08785,-123.05229
40,47.08838,-123.05337
41,47.09077,-123.05704
42,47.09145,-123.05929
43,47.09171,-123.06315
44,47.09159,-123.06853
45,47.09083,-123.075
46,47.09074,-123.07699
47,47.09114,-123.07984
48,47.092,-123.08209
49,47.09316,-123.08387
50,47.09409,-123.08476
51,47.09511,-123.08538
52,47.10149,-123.08713
53,47.10265,-123.08769
54,47.10343,-123.0883
55,47.10444,-123.08945
56,47.10529,-123.09094
57,47.10739,-123.09663
58,47.1085,-123.09878
59,47.10939,-123.09996
60,47.11034,-123.10082
61,47.11143,-123.10157
62,47.11263,-123.10208
63,47.11413,-123.10227
64,47.11593,-123.10206
65,47.12912,-123.09939
66,47.13182,-123.09843
67,47.13407,-123.09616
68,47.13548,-123.09522
69,47.13679,-123.09476
70,47.13811,-123.09459
71,47.1743,-123.09622
72,47.17593,-123.09662
73,47.17962,-123.09852
