,Latitude,Longitude
0,39.92816,-123.75888
1,39.92932,-123.76145
2,39.93201,-123.76501
3,39.93345,-123.76896
4,39.93404,-123.7701
5,39.93808,-123.77515
6,39.94005,-123.77736
7,39.94192,-123.77842
8,39.94738,-123.78074
9,39.94869,-123.78113
10,39.94978,-123.7812
11,39.95075,-123.78107
12,39.95319,-123.78012
13,39.95435,-123.77992
14,39.95573,-123.78005
15,39.9572,-123.78067
16,39.95803,-123.78131
17,39.95907,-123.7825
18,39.96162,-123.78659
19,39.96244,-123.78837
20,39.96385,-123.79244
21,39.96449,-123.79353
22,39.96566,-123.7949
23,39.96702,-123.79588
24,39.97542,-123.80052
25,39.97933,-123.80221
26,39.98041,-123.80244
27,39.98133,-123.80237
28,39.98252,-123.80188
29,39.98336,-123.8012
30,39.98419,-123.8001
31,39.9851,-123.79799
32,39.9858,-123.79677
33,39.9886,-123.79369
34,39.98999,-123.79037
35,39.99077,-123.78932
36,39.99138,-123.78889
37,39.99222,-123.78858
38,39.99537,-123.78858
39,39.997,-123.7881
40,39.99823,-123.78707
41,40.00137,-123.7835
