,Latitude,Longitude
0,34.15435,-118.37736
1,34.15459,-118.37881
2,34.15455,-118.39754
3,34.155,-118.3995
4,34.1564,-118.40257
5,34.15678,-118.40486
6,34.15684,-118.42122
7,34.15572,-118.42788
8,34.15574,-118.43904
9,34.1553,-118.44234
10,34.15531,-118.44359
11,34.15563,-118.44524
12,34.15703,-118.44853
13,34.15756,-118.45049
14,34.15806,-118.45525
15,34.15937,-118.46005
16,34.15952,-118.46523
17,34.1599,-118.46717
18,34.16073,-118.46915
19,34.16137,-118.47008
20,34.16377,-118.47224
21,34.16439,-118.47299
22,34.16494,-118.4741
23,34.16532,-118.47543
24,34.16546,-118.47702
25,34.16528,-118.4904
26,34.1656,-118.49263
27,34.16625,-118.49413
28,34.17018,-118.50032
29,34.17077,-118.50163
30,34.17112,-118.50303
31,34.17127,-118.50475
32,34.17128,-118.5288
33,34.17161,-118.53081
34,34.17298,-118.53425
35,34.17337,-118.536
36,34.17373,-118.5588
37,34.17299,-118.56788
38,34.17272,-118.56938
39,34.17211,-118.57155
40,34.16872,-118.58068
41,34.16824,-118.58288
42,34.16804,-118.58493
43,34.16822,-118.58888
44,34.17082,-118.60593
45,34.17088,-118.60754
46,34.17069,-118.60926
47,34.16971,-118.61174
48,34.16766,-118.61465
49,34.16682,-118.61636
50,34.16396,-118.62532
51,34.15813,-118.64126
52,34.15312,-118.65296
53,34.15034,-118.6624
54,34.14961,-118.66605
55,34.1493,-118.6726
56,34.14965,-118.67454
57,34.15079,-118.67777
58,34.1512,-118.67964
59,34.1512,-118.68403
60,34.15064,-118.68758
61,34.15076,-118.68906
62,34.15127,-118.6915
63,34.15118,-118.69382
64,34.15071,-118.6953
65,34.14999,-118.69648
66,34.14631,-118.70015
67,34.14512,-118.70161
68,34.14217,-118.70682
69,34.14133,-118.70859
70,34.13906,-118.71575
71,34.13868,-118.72144
72,34.13802,-118.72641
73,34.1381,-118.72788
74,34.13863,-118.7295
75,34.14242,-118.7353
76,34.14287,-118.73639
77,34.14326,-118.73804
78,34.14337,-118.74459
79,34.14544,-118.75572
80,34.14755,-118.77243
81,34.14747,-118.77564
82,34.14629,-118.79117
83,34.14638,-118.79389
84,34.14686,-118.79649
85,34.15245,-118.81457
