,Latitude,Longitude
0,37.82557,-122.47915
1,37.831,-122.47981
2,37.8317,-122.48012
3,37.83237,-122.48072
4,37.83412,-122.48354
5,37.83861,-122.48651
6,37.83917,-122.48671
7,37.8403,-122.48658
8,37.84223,-122.48544
9,37.8451,-122.48589
10,37.8466,-122.48652
11,37.84711,-122.48695
12,37.84849,-122.4889
13,37.84908,-122.48932
14,37.85044,-122.4897
15,37.8511,-122.49007
16,37.85312,-122.49257
17,37.85543,-122.49374
18,37.85601,-122.49431
19,37.85654,-122.49532
20,37.85721,-122.49803
21,37.85778,-122.499
22,37.8601,-122.50136
23,37.8615,-122.50419
24,37.86279,-122.5058
25,37.86366,-122.50643
26,37.86504,-122.50693
27,37.87122,-122.50706
28,37.87245,-122.50733
29,37.87327,-122.50773
30,37.87453,-122.50873
31,37.87671,-122.51152
32,37.87876,-122.51493
33,37.88004,-122.51607
34,37.88093,-122.51643
35,37.88611,-122.51661
36,37.88989,-122.51657
37,37.90479,-122.51541
38,37.90671,-122.51482
39,37.91173,-122.51268
40,37.91606,-122.51127
41,37.91784,-122.51101
42,37.91893,-122.51113
43,37.92038,-122.51152
44,37.92585,-122.51446
45,37.92761,-122.51511
46,37.93516,-122.51655
47,37.93678,-122.51669
48,37.93756,-122.51661
49,37.94305,-122.5152
50,37.94553,-122.51439
51,37.95003,-122.51161
52,37.95208,-122.50928
53,37.95341,-122.50841
54,37.9544,-122.5083
55,37.96013,-122.50936
56,37.96176,-122.5098
57,37.96317,-122.51093
58,37.96856,-122.52039
59,37.96954,-122.52137
60,37.9703,-122.52168
61,37.97122,-122.52171
62,37.97564,-122.52051
63,37.97701,-122.52037
64,37.97885,-122.52059
65,37.98074,-122.52124
66,37.9851,-122.52373
67,37.99255,-122.53082
68,38.00619,-122.54089
69,38.00745,-122.54151
70,38.0089,-122.54185
71,38.01381,-122.5418
72,38.0205,-122.53922
73,38.0237,-122.53839
74,38.02678,-122.5378
75,38.03353,-122.537
76,38.03684,-122.5363
77,38.03995,-122.53677
78,38.04066,-122.53675
79,38.04159,-122.53643
80,38.04396,-122.53507
81,38.0472,-122.53266
82,38.05005,-122.53137
83,38.05205,-122.53088
84,38.05519,-122.53049
85,38.05683,-122.53057
86,38.05816,-122.53091
87,38.05949,-122.53152
88,38.06058,-122.53224
89,38.0667,-122.53762
90,38.06763,-122.5381
91,38.07038,-122.53902
92,38.07473,-122.54136
93,38.07653,-122.54251
94,38.09246,-122.5592
95,38.09383,-122.56033
96,38.09528,-122.5611
97,38.09671,-122.56155
98,38.09776,-122.56169
99,38.10162,-122.56144
100,38.10306,-122.56154
101,38.10443,-122.56185
102,38.10799,-122.56314
103,38.11031,-122.56376
104,38.1237,-122.56587
105,38.12578,-122.5657
106,38.12979,-122.56403
107,38.13205,-122.56359
108,38.14397,-122.56439
109,38.14615,-122.56494
110,38.15653,-122.56849
111,38.15769,-122.56903
112,38.15887,-122.56985
113,38.16005,-122.571
114,38.16361,-122.57583
115,38.16617,-122.57896
116,38.17061,-122.58591
117,38.1795,-122.59787
118,38.18075,-122.59909
119,38.18221,-122.60001
120,38.18377,-122.60055
121,38.18535,-122.60072
