,Latitude,Longitude
0,41.34887,-124.0268
1,41.35001,-124.02512
2,41.35258,-124.02056
3,41.35308,-124.01931
4,41.35375,-124.01656
5,41.35438,-124.01514
6,41.3555,-124.01389
7,41.35717,-124.01281
8,41.3579,-124.0118
9,41.3595,-124.00447
10,41.35969,-124.00295
11,41.35961,-124.00131
12,41.3585,-123.99524
13,41.3585,-123.99377
14,41.35902,-123.99206
15,41.35965,-123.99112
16,41.36037,-123.99052
17,41.36337,-123.9895
18,41.36466,-123.98968
19,41.36661,-123.99126
20,41.36752,-123.99162
21,41.36864,-123.99149
22,41.37046,-123.99072
23,41.37171,-123.9907
24,41.37245,-123.99112
25,41.3756,-123.99397
26,41.37702,-123.99476
27,41.37827,-123.99495
28,41.38809,-123.99486
29,41.38998,-123.99452
30,41.39316,-123.99337
31,41.39414,-123.99329
32,41.39687,-123.99377
33,41.40122,-123.99283
34,41.40227,-123.99312
35,41.40299,-123.99371
36,41.4056,-123.99752
37,41.40592,-123.99828
38,41.40651,-124.0008
39,41.40695,-124.00166
40,41.40786,-124.00257
41,41.40864,-124.00287
42,41.41177,-124.00348
43,41.41291,-124.00337
44,41.41401,-124.00256
45,41.41641,-123.99869
46,41.4173,-123.99792
47,41.41797,-123.99766
48,41.42106,-123.99716
49,41.42187,-123.99725
50,41.42249,-123.99754
51,41.42316,-123.9982
52,41.42384,-123.99961
53,41.42513,-124.00634
54,41.42578,-124.00756
55,41.4272,-124.00932
56,41.42786,-124.01057
57,41.42816,-124.01379
58,41.42876,-124.01563
59,41.42997,-124.01755
60,41.43121,-124.01885
61,41.43332,-124.0216
62,41.43443,-124.02248
63,41.4351,-124.02264
64,41.43615,-124.02263
65,41.44207,-124.02091
66,41.44387,-124.02023
67,41.44535,-124.02037
68,41.44633,-124.02113
69,41.44775,-124.02367
70,41.44841,-124.02451
71,41.44926,-124.02518
72,41.45096,-124.0261
73,41.45197,-124.02701
74,41.45247,-124.02772
75,41.45354,-124.02996
76,41.4541,-124.03067
77,41.45541,-124.03133
78,41.45762,-124.03132
79,41.45858,-124.03171
80,41.46074,-124.03429
81,41.46482,-124.03746
