,Latitude,Longitude
0,39.86342,-123.7132
1,39.86039,-123.71478
2,39.858,-123.7148
3,39.85733,-123.71499
4,39.85513,-123.71652
5,39.8543,-123.71682
6,39.85307,-123.71674
7,39.85221,-123.7163
8,39.85161,-123.71576
9,39.85067,-123.714
10,39.84536,-123.69865
11,39.84354,-123.69465
12,39.8391,-123.68883
13,39.83715,-123.68434
14,39.83118,-123.67557
15,39.82996,-123.67435
16,39.8278,-123.67378
17,39.82724,-123.67345
18,39.82659,-123.67278
19,39.82602,-123.67159
20,39.82586,-123.67028
21,39.82612,-123.66883
22,39.82776,-123.6654
23,39.82904,-123.66123
24,39.82904,-123.65949
25,39.82814,-123.65639
26,39.82819,-123.65442
27,39.82845,-123.65355
28,39.82898,-123.65263
29,39.83125,-123.65041
30,39.83183,-123.64961
31,39.83278,-123.64755
32,39.83304,-123.64624
33,39.83362,-123.64014
34,39.8346,-123.63243
35,39.8344,-123.63073
36,39.83314,-123.62698
37,39.83282,-123.62548
38,39.83273,-123.62136
39,39.83257,-123.62051
40,39.83085,-123.61694
41,39.83016,-123.61363
42,39.82971,-123.61297
43,39.82824,-123.61147
44,39.82781,-123.61078
45,39.82754,-123.60985
46,39.82768,-123.60656
47,39.82906,-123.60316
48,39.8292,-123.60023
49,39.8287,-123.59858
50,39.82631,-123.59512
51,39.82589,-123.5936
52,39.82616,-123.592
53,39.82766,-123.58974
54,39.82811,-123.58766
55,39.828,-123.58624
56,39.82675,-123.584
57,39.82646,-123.58245
58,39.8267,-123.58114
59,39.82798,-123.57891
60,39.82817,-123.57816
61,39.82819,-123.57704
