,Latitude,Longitude
0,39.05658,-123.15882
1,39.06241,-123.16291
2,39.06711,-123.16779
3,39.07036,-123.16983
4,39.07137,-123.17092
5,39.07665,-123.17759
6,39.07808,-123.17897
7,39.07936,-123.1798
8,39.09731,-123.18971
9,39.10287,-123.19333
10,39.10432,-123.1941
11,39.10695,-123.19492
12,39.11499,-123.1961
13,39.11678,-123.19591
14,39.12023,-123.19485
15,39.12182,-123.19478
16,39.15241,-123.19702
17,39.15978,-123.19847
18,39.16124,-123.19897
19,39.16246,-123.19962
20,39.16349,-123.20035
21,39.16492,-123.20171
22,39.16628,-123.20357
23,39.17101,-123.21137
24,39.17189,-123.21225
25,39.17312,-123.21288
26,39.17498,-123.21292
27,39.18356,-123.21202
28,39.19813,-123.20948
29,39.20979,-123.20494
30,39.21138,-123.20459
31,39.21263,-123.20473
32,39.21759,-123.20662
33,39.21941,-123.20693
34,39.23429,-123.20836
35,39.24192,-123.20731
36,39.24322,-123.20741
37,39.24494,-123.20796
38,39.25316,-123.21271
39,39.25468,-123.21388
40,39.25635,-123.21576
41,39.25905,-123.21994
42,39.26182,-123.22282
43,39.26281,-123.22412
44,39.26355,-123.22546
45,39.26545,-123.23029
46,39.26797,-123.23442
47,39.26871,-123.23596
48,39.26934,-123.23766
49,39.27205,-123.2468
50,39.27276,-123.2487
51,39.27707,-123.25657
52,39.27771,-123.25739
53,39.27876,-123.25814
54,39.28107,-123.25873
55,39.28256,-123.2594
56,39.28505,-123.26186
57,39.28829,-123.26437
58,39.28932,-123.26571
59,39.29091,-123.26882
60,39.29281,-123.27147
61,39.29331,-123.27269
62,39.29371,-123.27553
63,39.29409,-123.27667
64,39.29463,-123.27751
65,39.29619,-123.27927
66,39.29716,-123.28263
67,39.29949,-123.28656
68,39.30007,-123.28956
69,39.2999,-123.2925
70,39.30067,-123.29499
71,39.30161,-123.29649
72,39.30428,-123.29931
73,39.30515,-123.29989
74,39.30668,-123.30057
75,39.30759,-123.30059
76,39.31008,-123.29911
77,39.31192,-123.2975
78,39.31263,-123.29724
79,39.31314,-123.29724
80,39.31371,-123.29742
81,39.31436,-123.298
82,39.31576,-123.30085
83,39.31612,-123.3013
84,39.31666,-123.30164
85,39.31765,-123.3017
86,39.32033,-123.30096
87,39.3215,-123.30088
88,39.32572,-123.30149
89,39.32881,-123.30236
90,39.32944,-123.30279
91,39.33051,-123.30419
92,39.33109,-123.30448
93,39.33177,-123.30453
94,39.33367,-123.304
95,39.33449,-123.3042
96,39.33519,-123.30495
97,39.33818,-123.31135
98,39.33884,-123.31244
99,39.34705,-123.32112
100,39.34793,-123.32179
101,39.34877,-123.32216
102,39.35009,-123.32236
103,39.35176,-123.32195
104,39.36054,-123.31635
105,39.36175,-123.31572
106,39.36293,-123.31538
107,39.36387,-123.31532
108,39.36557,-123.31567
109,39.36667,-123.31627
110,39.36768,-123.31714
111,39.37445,-123.32436
112,39.37523,-123.32577
113,39.37555,-123.32689
114,39.37562,-123.32974
