,Latitude,Longitude
0,34.15245,-118.81457
1,34.15358,-118.81829
2,34.15442,-118.82005
3,34.17182,-118.84625
4,34.174,-118.84988
5,34.17502,-118.85239
6,34.17541,-118.8539
7,34.17604,-118.85853
8,34.17757,-118.87774
9,34.17781,-118.87907
10,34.17862,-118.88139
11,34.18385,-118.89201
12,34.18441,-118.89355
13,34.18468,-118.8949
14,34.18482,-118.89677
15,34.1845,-118.9016
16,34.18438,-118.92373
17,34.18446,-118.92527
18,34.18479,-118.92695
19,34.19017,-118.93998
20,34.19346,-118.94718
21,34.19765,-118.95309
22,34.20005,-118.95743
23,34.2004,-118.95908
24,34.20032,-118.96258
25,34.20107,-118.96577
26,34.20139,-118.97192
27,34.2012,-118.97551
28,34.2015,-118.97738
29,34.20246,-118.97939
30,34.20443,-118.98158
31,34.20513,-118.98288
32,34.20552,-118.98463
33,34.20541,-118.98782
34,34.20576,-118.98939
35,34.20638,-118.99054
36,34.20872,-118.99332
37,34.20964,-118.99504
38,34.21563,-119.01355
39,34.21588,-119.01585
40,34.21589,-119.02918
41,34.21604,-119.03059
42,34.21739,-119.03658
43,34.21778,-119.05055
44,34.22204,-119.10421
45,34.22216,-119.13266
46,34.22272,-119.14322
47,34.22384,-119.15356
48,34.22744,-119.16717
49,34.2285,-119.16937
50,34.23008,-119.17148
51,34.23688,-119.17706
52,34.23806,-119.17839
53,34.23885,-119.17969
54,34.24029,-119.18307
55,34.24443,-119.19486
56,34.25058,-119.20751
57,34.2541,-119.21321
58,34.25594,-119.21686
59,34.26438,-119.23518
60,34.26484,-119.23677
61,34.26509,-119.2384
62,34.26505,-119.24035
63,34.26478,-119.242
64,34.26418,-119.24382
65,34.26355,-119.2451
66,34.26046,-119.24898
67,34.25954,-119.25066
68,34.2591,-119.25304
69,34.25934,-119.25516
70,34.26311,-119.26568
71,34.264,-119.2676
72,34.2648,-119.26877
73,34.26579,-119.26983
74,34.26873,-119.27182
75,34.2698,-119.27278
76,34.27057,-119.27375
77,34.27142,-119.27541
78,34.272,-119.27756
79,34.27217,-119.28124
80,34.27254,-119.28276
81,34.2732,-119.28415
82,34.27639,-119.28884
83,34.27725,-119.29109
84,34.27756,-119.29308
85,34.27754,-119.2999
86,34.27768,-119.30108
87,34.28152,-119.31383
88,34.28631,-119.32464
89,34.28986,-119.33385
90,34.29116,-119.33605
91,34.29267,-119.33767
92,34.30173,-119.34426
93,34.30551,-119.34773
94,34.30873,-119.35164
95,34.31224,-119.35693
96,34.31762,-119.3642
97,34.32143,-119.37111
98,34.32188,-119.37221
99,34.32232,-119.374
100,34.32241,-119.3769
101,34.32118,-119.38337
102,34.32109,-119.38498
103,34.32124,-119.38669
104,34.32166,-119.38857
105,34.32265,-119.39068
106,34.32385,-119.39233
107,34.33304,-119.40072
108,34.3348,-119.40268
109,34.34194,-119.4125
110,34.34401,-119.4185
111,34.34464,-119.41971
112,34.34555,-119.42098
113,34.34676,-119.42213
114,34.35205,-119.42618
115,34.3538,-119.42819
116,34.35483,-119.42991
117,34.35587,-119.43261
118,34.35635,-119.43582
119,34.35637,-119.44044
120,34.35678,-119.44195
121,34.35734,-119.44298
122,34.36437,-119.44961
123,34.36977,-119.45427
124,34.37224,-119.45701
125,34.37347,-119.45874
126,34.37465,-119.46122
127,34.37631,-119.46809
128,34.37647,-119.47086
129,34.37607,-119.47459
130,34.37623,-119.47666
131,34.37667,-119.47819
