,Latitude,Longitude
0,39.05658,-123.15882
1,39.0582,-123.15967
2,39.06217,-123.16241
3,39.06306,-123.16316
4,39.06723,-123.16759
5,39.06949,-123.16892
6,39.07062,-123.16977
7,39.07678,-123.17741
8,39.07819,-123.17876
9,39.09739,-123.18948
10,39.10409,-123.19374
11,39.10692,-123.19467
12,39.11468,-123.19582
13,39.11636,-123.19575
14,39.12001,-123.19464
15,39.12156,-123.19452
16,39.15247,-123.19678
17,39.15992,-123.19826
18,39.16221,-123.19919
19,39.1633,-123.19992
20,39.16465,-123.20112
21,39.16614,-123.20297
22,39.17111,-123.21113
23,39.17182,-123.21192
24,39.17318,-123.21264
25,39.17436,-123.21274
26,39.18325,-123.21182
27,39.19776,-123.20931
28,39.1991,-123.20894
29,39.21008,-123.20458
30,39.21142,-123.20434
31,39.21287,-123.20455
32,39.21733,-123.20628
33,39.21947,-123.20669
34,39.23378,-123.20809
35,39.24194,-123.20707
36,39.24351,-123.20724
37,39.24487,-123.20775
38,39.25343,-123.2127
39,39.2549,-123.21389
40,39.25644,-123.21564
41,39.25914,-123.21984
42,39.26191,-123.22271
43,39.26305,-123.22423
44,39.26366,-123.22538
45,39.26556,-123.23019
46,39.26808,-123.23432
47,39.26882,-123.23587
48,39.27274,-123.24831
49,39.27713,-123.25651
50,39.27776,-123.25732
51,39.27864,-123.25797
52,39.28141,-123.25874
53,39.28259,-123.25931
54,39.28509,-123.26177
55,39.28835,-123.26428
56,39.28939,-123.26563
57,39.29098,-123.26875
58,39.29287,-123.27142
59,39.29338,-123.27266
60,39.29378,-123.27551
61,39.29415,-123.27662
62,39.29474,-123.27752
63,39.29626,-123.27922
64,39.29722,-123.28258
65,39.29961,-123.28663
66,39.30016,-123.28954
67,39.29998,-123.29248
68,39.30075,-123.29493
69,39.30167,-123.29641
70,39.30432,-123.29922
71,39.30645,-123.30037
72,39.30756,-123.30049
73,39.31004,-123.29902
74,39.31189,-123.29741
75,39.31262,-123.29713
76,39.31324,-123.29715
77,39.31384,-123.29739
78,39.31443,-123.29792
79,39.31583,-123.30078
80,39.31668,-123.30154
81,39.31751,-123.30162
82,39.32105,-123.30077
83,39.32554,-123.30135
84,39.32909,-123.30238
85,39.32961,-123.30285
86,39.3304,-123.30395
87,39.3311,-123.30437
88,39.33176,-123.30442
89,39.33367,-123.30389
90,39.33453,-123.3041
91,39.33527,-123.30489
92,39.33825,-123.3113
93,39.33894,-123.3124
94,39.34709,-123.32103
95,39.34797,-123.3217
96,39.34879,-123.32206
97,39.35009,-123.32226
98,39.35173,-123.32185
99,39.36057,-123.31622
100,39.36217,-123.31542
101,39.36385,-123.31512
102,39.36583,-123.31551
103,39.3667,-123.31598
104,39.36798,-123.31707
105,39.37275,-123.32208
106,39.37448,-123.32428
107,39.37516,-123.32546
108,39.37559,-123.32688
109,39.3757,-123.32782
110,39.37562,-123.32974
