,Latitude,Longitude
0,36.85692,-121.63003
1,36.85794,-121.62784
2,36.86045,-121.62102
3,36.86244,-121.61776
4,36.86278,-121.61679
5,36.8628,-121.61574
6,36.86226,-121.61271
7,36.86172,-121.61153
8,36.86051,-121.60976
9,36.86,-121.60828
10,36.85934,-121.60217
11,36.85907,-121.59745
12,36.85932,-121.59481
13,36.86128,-121.58529
14,36.86142,-121.58069
15,36.86191,-121.57908
16,36.86269,-121.57777
17,36.86398,-121.57656
18,36.86946,-121.57275
19,36.87378,-121.57102
20,36.87482,-121.57028
21,36.87534,-121.56974
22,36.87862,-121.56461
23,36.87947,-121.56358
24,36.88075,-121.56248
25,36.89035,-121.55699
26,36.89152,-121.55645
27,36.89285,-121.55622
28,36.90618,-121.55662
29,36.90817,-121.55629
30,36.90935,-121.55575
31,36.91123,-121.55421
32,36.91355,-121.55095
33,36.91486,-121.54958
34,36.91602,-121.5487
35,36.91739,-121.548
