,Latitude,Longitude
0,37.00971,-121.55997
1,37.0046,-121.55723
2,37.00279,-121.55661
3,37.00075,-121.55626
4,36.99917,-121.55627
5,36.99761,-121.5565
6,36.98534,-121.55887
7,36.98342,-121.55881
8,36.98149,-121.55822
9,36.97723,-121.55612
10,36.97387,-121.55478
11,36.96167,-121.55121
12,36.95985,-121.55123
13,36.94877,-121.55299
14,36.93678,-121.55266
15,36.93515,-121.55235
16,36.93413,-121.55195
17,36.933,-121.55124
18,36.92943,-121.54835
19,36.92811,-121.54769
20,36.92712,-121.54739
21,36.92579,-121.54726
22,36.91962,-121.5476
23,36.91828,-121.5478
24,36.91739,-121.5481
