,Latitude,Longitude
0,39.92816,-123.75888
1,39.9294,-123.76136
2,39.9316,-123.76412
3,39.93209,-123.76495
4,39.93361,-123.76908
5,39.93413,-123.77007
6,39.94009,-123.77727
7,39.94195,-123.77833
8,39.94741,-123.78063
9,39.9487,-123.78102
10,39.95063,-123.78099
11,39.95317,-123.78003
12,39.95413,-123.77983
13,39.95575,-123.77995
14,39.95737,-123.78067
15,39.95913,-123.78241
16,39.96168,-123.78649
17,39.96252,-123.78832
18,39.96402,-123.79256
19,39.96465,-123.79359
20,39.96562,-123.79472
21,39.96705,-123.79577
22,39.97634,-123.80086
23,39.9793,-123.80206
24,39.98043,-123.80231
25,39.98149,-123.8022
26,39.98264,-123.80167
27,39.98355,-123.80081
28,39.98413,-123.8
29,39.98503,-123.79793
30,39.98588,-123.79651
31,39.98812,-123.79422
32,39.98863,-123.79348
33,39.98983,-123.79048
34,39.99072,-123.78923
35,39.99145,-123.78873
36,39.99228,-123.78847
37,39.99541,-123.78847
38,39.99675,-123.7881
39,39.99804,-123.78715
40,40.00077,-123.784
41,40.00137,-123.7835
