,Latitude,Longitude
0,44.4651619,-87.9571834
1,44.4654443,-87.9574383
2,44.4657979,-87.9578219
3,44.4661297,-87.9581707
4,44.4673558,-87.9594598
5,44.4680525,-87.9602688
6,44.4684608,-87.9607877
7,44.4690106,-87.9615039
8,44.4691836,-87.9617697
9,44.469321,-87.9620168
10,44.4694798,-87.9623168
11,44.4695822,-87.962516
12,44.4696729,-87.9626594
13,44.4697489,-87.9627312
14,44.4697905,-87.9627702
15,44.4698484,-87.9627953
16,44.4698616,-87.962801
17,44.4698982,-87.9628167
18,44.4699594,-87.9628248
19,44.4700218,-87.9628277
