,Latitude,Longitude
0,44.5333179,-88.0282308
1,44.5333717,-88.0281839
2,44.5334242,-88.0281662
3,44.5334716,-88.0281689
4,44.5335168,-88.0281886
5,44.533557,-88.0282238
6,44.5335894,-88.0282722
7,44.5336112,-88.0283283
8,44.5336225,-88.0283903
9,44.5336196,-88.028479
10,44.5335953,-88.0285612
11,44.5335526,-88.0286268
12,44.5334965,-88.0286682
13,44.5334605,-88.0286789
14,44.5334238,-88.0286794
15,44.5333817,-88.028667
16,44.5333523,-88.028649
17,44.5333256,-88.028624
18,44.5333024,-88.0285929
19,44.5332758,-88.0285373
20,44.5332603,-88.0284739
21,44.5332587,-88.028385
22,44.5332786,-88.0283007
23,44.5333179,-88.0282308
