,Latitude,Longitude
0,42.9702346,-73.7929022
1,42.9703471,-73.7928791
2,42.9705878,-73.792886
3,42.9706627,-73.7928862
4,42.9707132,-73.7928864
5,42.9707882,-73.7928733
6,42.9708532,-73.7928526
7,42.9709257,-73.7928203
8,42.9709673,-73.7927956
9,42.9710039,-73.792776
10,42.9710356,-73.792727
11,42.9710827,-73.7926857
12,42.9711366,-73.7926649
13,42.9711925,-73.7926664
14,42.9712457,-73.7926901
15,42.9712916,-73.792734
16,42.9713103,-73.792762
17,42.9714028,-73.7927834
18,42.9714595,-73.7927914
19,42.9715593,-73.7928046
20,42.9716061,-73.7928037
21,42.9716389,-73.792803
22,42.9717224,-73.7927899
23,42.9717988,-73.792766
24,42.9718869,-73.792729
25,42.9721056,-73.7926592
