,Latitude,Longitude
0,40.8515177,-73.9520868
1,40.8499374,-73.9440035
2,40.8498029,-73.9436721
3,40.8497589,-73.9435409
4,40.849722,-73.9434057
5,40.8495529,-73.9425876
6,40.8494654,-73.9421644
7,40.8493749,-73.9417108
8,40.8493595,-73.9416391
9,40.8493451,-73.9415881
10,40.8493258,-73.9415346
11,40.8492944,-73.9414555
12,40.8492441,-73.9413391
13,40.8491263,-73.9410502
14,40.8490981,-73.9409603
15,40.849069,-73.9408591
16,40.8490475,-73.940765
17,40.8490279,-73.9406705
18,40.8489221,-73.9401277
19,40.8487829,-73.9394445
20,40.848762,-73.9393472
21,40.848726,-73.939283
22,40.8486844,-73.9391903
