,Latitude,Longitude
0,42.9476868,-73.7899541
1,42.9478817,-73.7899305
2,42.9480211,-73.7899602
3,42.948133,-73.7899919
4,42.9482029,-73.7899969
5,42.9482413,-73.7899917
6,42.9482685,-73.789988
7,42.9483451,-73.7899521
8,42.9484117,-73.7898962
9,42.9484327,-73.7898579
10,42.948482,-73.7898034
11,42.9485412,-73.7897726
12,42.9486045,-73.7897684
13,42.9486656,-73.7897913
14,42.9486957,-73.7898144
15,42.9488312,-73.7898117
16,42.9490351,-73.789786
17,42.9492025,-73.7897589
18,42.949379,-73.7897468
19,42.9494224,-73.7897477
20,42.9495613,-73.7897504
