,Latitude,Longitude
0,41.7273087,-73.9324964
1,41.7272418,-73.9325085
2,41.7271117,-73.9325303
3,41.7270162,-73.9325095
4,41.7265917,-73.9324186
5,41.7264803,-73.9323911
6,41.7264391,-73.9323822
7,41.7263496,-73.9323626
8,41.7262518,-73.9323413
9,41.7261994,-73.9323299
10,41.7260719,-73.9323028
11,41.7259563,-73.9322784
12,41.7258562,-73.9322591
13,41.7257596,-73.9322402
14,41.725655,-73.9322217
15,41.7255451,-73.9322018
16,41.725434,-73.9321841
17,41.7253322,-73.9321686
18,41.7252256,-73.9321536
19,41.7251141,-73.9321393
20,41.7250103,-73.9321252
21,41.7249002,-73.932112
22,41.7247916,-73.9320991
23,41.7246854,-73.9320866
24,41.7245763,-73.9320737
25,41.7244667,-73.9320602
26,41.7243567,-73.932047
27,41.7241385,-73.9320208
28,41.7239217,-73.9319947
29,41.7234162,-73.9319331
30,41.7232885,-73.9319158
31,41.7231014,-73.9318895
32,41.7230147,-73.931876
33,41.7229689,-73.9318684
34,41.7228654,-73.9318519
35,41.7227557,-73.9318322
36,41.7226468,-73.9318111
37,41.7225202,-73.9317867
38,41.7223212,-73.9317455
39,41.7221176,-73.9317001
40,41.7219037,-73.9316558
41,41.7213664,-73.931536
42,41.7212572,-73.9315107
43,41.7211478,-73.9314885
44,41.7210392,-73.9314704
45,41.7209299,-73.9314572
46,41.7208238,-73.9314488
47,41.7207155,-73.9314437
48,41.7206075,-73.9314428
49,41.7204987,-73.9314451
50,41.7203908,-73.9314531
51,41.7202873,-73.9314643
52,41.7201748,-73.93148
53,41.7200648,-73.9314995
54,41.7199641,-73.93152
55,41.7198542,-73.9315467
56,41.719743,-73.9315784
57,41.719641,-73.9316121
58,41.7195329,-73.9316515
59,41.7185993,-73.932002
60,41.7184589,-73.9320544
61,41.7182966,-73.9321169
62,41.718273,-73.9321258
63,41.718211,-73.9321494
64,41.7181017,-73.9321912
65,41.7180064,-73.9322288
66,41.7179294,-73.9322618
