,Latitude,Longitude
0,43.09214,-73.771096
1,43.092032,-73.771064
2,43.092002,-73.771443
3,43.091966,-73.771764
4,43.091891,-73.772168
5,43.091816,-73.772477
6,43.091681,-73.77296
7,43.09144,-73.773731
8,43.091307,-73.774119
9,43.091139,-73.774549
10,43.090721,-73.775586
11,43.090402,-73.776281
12,43.089755,-73.777497
13,43.088817,-73.779113
14,43.087483,-73.781334
15,43.0873711,-73.7815206
16,43.087155,-73.781881
17,43.086957,-73.782185
18,43.086314,-73.783192
19,43.086184,-73.783389
20,43.086085,-73.783596
21,43.0863035,-73.783487
22,43.0864851,-73.7831929
23,43.086696,-73.782863
24,43.087083,-73.782235
25,43.0874437,-73.7816383
26,43.087543,-73.781474
27,43.088044,-73.780639
28,43.08821,-73.780362
29,43.088862,-73.779288
30,43.088992,-73.779071
31,43.089464,-73.778283
32,43.089854,-73.777596
33,43.090339,-73.77668
34,43.090881,-73.775493
35,43.091095,-73.77499
36,43.09123,-73.774669
37,43.09174,-73.77319
38,43.091825,-73.772913
39,43.091892,-73.772634
40,43.092006,-73.772059
41,43.092104,-73.771514
42,43.09214,-73.771096
43,43.092439,-73.771172
44,43.092567,-73.771209
45,43.093653,-73.771476
46,43.094558,-73.771694
47,43.0958,-73.771979
48,43.095959,-73.7720172
49,43.096262,-73.77209
50,43.0971917,-73.7721756
51,43.097641,-73.772217
52,43.097925,-73.772224
53,43.0980204,-73.7722243
54,43.0982949,-73.7722323
55,43.09849,-73.772238
56,43.098616,-73.772241
57,43.0990748,-73.7722617
58,43.0995678,-73.7722839
59,43.099729,-73.7722911
60,43.1009279,-73.7723451
61,43.1011931,-73.772357
62,43.1012998,-73.7723618
63,43.101573,-73.772374
64,43.101986,-73.772388
65,43.1021895,-73.772395
66,43.1022814,-73.7723981
67,43.1025083,-73.7724058
68,43.102632,-73.77241
69,43.102722,-73.77241
70,43.1037081,-73.772412
71,43.1037556,-73.7724121
72,43.1042649,-73.7724132
73,43.104675,-73.772414
74,43.104976,-73.772393
75,43.105931,-73.772277
76,43.106224,-73.772235
77,43.1065438,-73.7721566
78,43.10739,-73.771949
79,43.1082963,-73.7717396
80,43.108892,-73.771602
81,43.1106196,-73.7711737
82,43.1108255,-73.7711226
83,43.111171,-73.771037
84,43.1111913,-73.771033
85,43.1114357,-73.7709849
86,43.111573,-73.7709542
87,43.1118733,-73.770887
88,43.1122606,-73.7708102
89,43.1126213,-73.7707387
90,43.1132526,-73.7705928
91,43.1133341,-73.770574
92,43.1135678,-73.7705199
93,43.113641,-73.770503
94,43.1138108,-73.770467
95,43.113886,-73.770451
96,43.1140603,-73.7704095
97,43.1143672,-73.7703364
98,43.115032,-73.770178
99,43.117978,-73.769478
100,43.1180601,-73.7694582
101,43.1187393,-73.769294
102,43.1195093,-73.7691078
103,43.1197757,-73.7690434
104,43.120151,-73.7689527
105,43.1206356,-73.7688355
106,43.120928,-73.7687648
107,43.121179,-73.7687041
108,43.121503,-73.7686258
109,43.1218205,-73.7685491
110,43.1220652,-73.7684899
111,43.1222055,-73.768456
112,43.1225759,-73.7683665
113,43.123004,-73.768263
114,43.123591,-73.76813
115,43.123931,-73.768083
116,43.1240227,-73.7680753
117,43.124134,-73.768066
118,43.1241642,-73.7680667
119,43.1244915,-73.7680741
120,43.124573,-73.768076
121,43.1246969,-73.7680886
122,43.1248955,-73.7681087
123,43.1249443,-73.7681137
124,43.124996,-73.768119
125,43.1252916,-73.7681687
126,43.1255689,-73.7682154
127,43.126731,-73.768411
128,43.1270064,-73.7684573
129,43.127468,-73.768535
130,43.1279033,-73.768609
131,43.128392,-73.768692
132,43.1287939,-73.7687632
133,43.1288207,-73.7687679
134,43.1288723,-73.768777
135,43.13029,-73.769028
136,43.1310141,-73.7691495
137,43.131202,-73.769181
138,43.132231,-73.769356
139,43.1324418,-73.7693923
140,43.1327586,-73.7694468
141,43.1329503,-73.7694798
142,43.1330584,-73.7694984
143,43.133927,-73.769648
144,43.134146,-73.769678
145,43.134587,-73.76971
146,43.13517,-73.769698
147,43.135609,-73.769659
148,43.135698,-73.769644
149,43.135821,-73.769622
150,43.136287,-73.76952
151,43.136368,-73.769494
152,43.136554,-73.769433
153,43.136954,-73.76929
154,43.1369791,-73.7692786
155,43.137716,-73.768945
156,43.138311,-73.768657
157,43.139107,-73.768268
158,43.1392195,-73.7682088
159,43.13981,-73.767898
160,43.141436,-73.766965
161,43.14196,-73.766662
162,43.14319,-73.765936
163,43.144973,-73.764923
164,43.146022,-73.76436
165,43.1462232,-73.764254
166,43.1466404,-73.7640343
167,43.147184,-73.763748
168,43.14733,-73.763673
169,43.147491,-73.763591
170,43.147831,-73.763411
171,43.148041,-73.763289
172,43.148376,-73.763146
173,43.14887,-73.762856
174,43.149841,-73.762342
175,43.149864,-73.76233
176,43.151077,-73.761706
177,43.151521,-73.761452
178,43.153612,-73.760371
179,43.15517,-73.759562
180,43.155789,-73.759225
181,43.15618,-73.75903
182,43.15789,-73.758124
183,43.158524,-73.757766
184,43.159471,-73.757284
185,43.160436,-73.756768
186,43.162131,-73.755888
187,43.163081,-73.75538
188,43.165848,-73.753933
189,43.166308,-73.753695
190,43.166765,-73.753458
191,43.167187,-73.753225
192,43.168695,-73.75244
193,43.170701,-73.751391
194,43.170929,-73.751272
195,43.173825,-73.74974
196,43.174007,-73.749653
197,43.175138,-73.749037
198,43.176117,-73.748524
199,43.177339,-73.747843
200,43.178599,-73.747056
201,43.179195,-73.746654
202,43.180385,-73.74579
203,43.180907,-73.745391
204,43.183354,-73.743521
205,43.183846,-73.743131
206,43.184589,-73.742579
207,43.184802,-73.742406
208,43.185398,-73.741969
209,43.187396,-73.740475
210,43.1881,-73.739904
211,43.188416,-73.73961
212,43.188895,-73.739158
213,43.190035,-73.738011
214,43.19108,-73.736933
215,43.1915975,-73.7364008
216,43.19196,-73.736028
217,43.1932344,-73.7347277
218,43.1951769,-73.7327456
219,43.195393,-73.732525
220,43.195804,-73.732133
221,43.19665,-73.731244
222,43.198339,-73.729508
223,43.198792,-73.729025
224,43.199153,-73.728669
225,43.199553,-73.728257
226,43.20094,-73.72687
227,43.201238,-73.726567
228,43.2014917,-73.7263091
229,43.2018213,-73.725974
230,43.202505,-73.725279
231,43.203693,-73.724074
232,43.205942,-73.721761
233,43.206681,-73.721019
234,43.20805,-73.7196
235,43.20902,-73.71865
236,43.210327,-73.71732
237,43.2116182,-73.7160022
238,43.212122,-73.715488
239,43.212878,-73.714714
240,43.213351,-73.714251
241,43.213639,-73.713947
242,43.215153,-73.712412
243,43.215519,-73.712032
244,43.215938,-73.711673
245,43.218428,-73.709695
246,43.221147,-73.707514
247,43.221505,-73.707218
248,43.222528,-73.706373
249,43.223784,-73.705372
250,43.225836,-73.703715
251,43.2277841,-73.7022096
252,43.2284396,-73.7016964
253,43.2290092,-73.7012589
254,43.2295331,-73.7007718
255,43.2302186,-73.6999994
256,43.2307113,-73.6993929
257,43.2310452,-73.6989176
258,43.2316242,-73.6980892
259,43.2318461,-73.6977548
260,43.2321917,-73.697193
261,43.2323701,-73.696954
262,43.232724,-73.6964388
263,43.2342926,-73.6940791
264,43.2343886,-73.6939467
265,43.2344965,-73.6937522
266,43.2350721,-73.6929899
267,43.2360421,-73.691669
268,43.2368756,-73.6904951
269,43.23694,-73.6904004
270,43.2379732,-73.6888626
271,43.2386257,-73.6878869
272,43.2388543,-73.6875609
273,43.2389751,-73.6873801
274,43.2393685,-73.6867837
275,43.2415791,-73.6834847
276,43.2417519,-73.6832302
277,43.2418936,-73.6830216
278,43.2421401,-73.6826794
279,43.2422701,-73.6824989
280,43.2425766,-73.6820686
281,43.2431852,-73.6812143
282,43.2433204,-73.6810246
283,43.2435595,-73.6806823
284,43.2439379,-73.6801835
285,43.2448242,-73.6788838
286,43.2450734,-73.6785044
287,43.2456249,-73.677665
288,43.2459181,-73.677207
289,43.246419,-73.676385
290,43.246871,-73.675701
291,43.2475123,-73.6747092
292,43.247737,-73.6743616
293,43.24875,-73.672795
294,43.2498,-73.6712231
295,43.2501097,-73.6707261
296,43.2506008,-73.6699913
297,43.2507474,-73.6697465
298,43.2511485,-73.6691341
299,43.2515785,-73.6684483
300,43.2518654,-73.6679951
301,43.2522624,-73.6673818
302,43.2526962,-73.6667071
303,43.2537729,-73.6651436
304,43.2547916,-73.6636822
305,43.2561809,-73.6618481
306,43.257558,-73.660133
307,43.2592326,-73.6580806
308,43.2596311,-73.6575836
309,43.2601362,-73.6570221
310,43.2605759,-73.6565767
311,43.2608006,-73.6563765
312,43.261226,-73.655978
313,43.261619,-73.655679
314,43.262514,-73.655086
315,43.265379,-73.653291
316,43.266601,-73.6525821
317,43.267277,-73.65219
318,43.267913,-73.651808
319,43.268086,-73.651704
320,43.268449,-73.651462
321,43.269206,-73.651013
322,43.270662,-73.650117
323,43.2724869,-73.6490411
324,43.2729992,-73.6487374
325,43.2736364,-73.6483615
326,43.2755464,-73.647182
327,43.276505,-73.646565
328,43.276672,-73.646461
329,43.277848,-73.645745
330,43.278999,-73.64505
331,43.27909,-73.644995
332,43.281119,-73.643771
333,43.283376,-73.642401
334,43.2846075,-73.6416324
335,43.286288,-73.6404486
336,43.2863668,-73.640393
337,43.2865467,-73.6402659
338,43.2869846,-73.6399565
339,43.2872556,-73.6397651
340,43.2877196,-73.6394373
341,43.288163,-73.639124
342,43.2882041,-73.6390958
343,43.2887389,-73.6387295
344,43.2892045,-73.6384106
345,43.289358,-73.6383055
346,43.289841,-73.637957
347,43.290106,-73.637773
348,43.290252,-73.637695
349,43.291117,-73.637203
350,43.291527,-73.636986
351,43.291994,-73.636837
352,43.292138,-73.636824
353,43.293127,-73.63663
354,43.293861,-73.636474
355,43.2950828,-73.636242
356,43.2951803,-73.6362218
357,43.2953562,-73.6361858
358,43.295514,-73.6361534
359,43.2956558,-73.6361243
360,43.2957886,-73.6360971
361,43.2958533,-73.6360838
362,43.2960173,-73.6360502
363,43.2961609,-73.6360208
364,43.2969818,-73.6358497
365,43.2973739,-73.6357652
366,43.2984328,-73.6355475
367,43.2989197,-73.6354373
368,43.298999,-73.635421
369,43.2991,-73.635376
370,43.299142,-73.635332
371,43.299178,-73.635277
372,43.2995822,-73.6356339
373,43.2998769,-73.6359005
374,43.3001477,-73.6361506
375,43.3002673,-73.636261
376,43.3004921,-73.6364686
377,43.300555,-73.6365267
378,43.3006392,-73.6366044
379,43.3010117,-73.6369483
380,43.3024481,-73.6382612
381,43.3033242,-73.6390637
382,43.3039287,-73.6396261
383,43.3042405,-73.6399161
384,43.3045789,-73.6402309
385,43.3048045,-73.6404136
386,43.3056089,-73.6409236
387,43.3068015,-73.64175
388,43.3069343,-73.6418391
389,43.3070081,-73.6418908
390,43.3070656,-73.6419426
391,43.3072643,-73.6421066
392,43.3074052,-73.6421938
393,43.3079401,-73.642553
394,43.3084285,-73.6429426
395,43.3088597,-73.6433579
396,43.3089296,-73.6434252
397,43.3090172,-73.6435082
398,43.3092533,-73.6437319
