,Latitude,Longitude
0,43.3093735,-73.6439695
1,43.3093868,-73.6438992
2,43.3094163,-73.643839
3,43.3094421,-73.6438126
4,43.3094587,-73.6437957
5,43.3094721,-73.64379
6,43.3095092,-73.6437743
7,43.3095619,-73.643777
8,43.309594,-73.6437945
9,43.3096111,-73.6438037
10,43.3096509,-73.6438514
11,43.309677,-73.6439145
12,43.3096864,-73.6439859
13,43.309679,-73.6440532
14,43.3096736,-73.644068
15,43.3096654,-73.6440903
16,43.3096567,-73.6441139
17,43.3096218,-73.6441621
18,43.3095878,-73.6441858
19,43.3095776,-73.6441929
20,43.3095287,-73.6442032
21,43.309504,-73.6441976
22,43.3094799,-73.6441921
23,43.309436,-73.6441606
24,43.3093996,-73.644108
25,43.3093779,-73.6440418
26,43.3093735,-73.6439695
27,43.309312,-73.6438364
28,43.3092533,-73.6437319
29,43.3093444,-73.6437648
30,43.3094088,-73.6437963
31,43.3094421,-73.6438126
