,Latitude,Longitude
0,38.06481,-75.54808
1,38.0667,-75.54702
2,38.06725,-75.54661
3,38.06895,-75.5447
4,38.06942,-75.54424
5,38.07011,-75.54368
6,38.07157,-75.54274
7,38.0728,-75.54208
8,38.07378,-75.54173
9,38.0748,-75.54153
10,38.0806,-75.5408
11,38.08123,-75.54061
12,38.08209,-75.54023
13,38.08295,-75.53968
14,38.08347,-75.53927
15,38.08416,-75.5386
16,38.08487,-75.53773
17,38.08546,-75.53671
18,38.08679,-75.53421
19,38.08701,-75.53369
20,38.08764,-75.53122
21,38.0893,-75.52582
22,38.08948,-75.52442
23,38.08974,-75.52155
24,38.08996,-75.52021
25,38.09028,-75.51876
26,38.0911,-75.51569
27,38.09143,-75.51387
28,38.09199,-75.50771
29,38.09288,-75.50069
30,38.09312,-75.49925
31,38.09332,-75.49829
32,38.09376,-75.49674
33,38.09524,-75.49174
34,38.09557,-75.49084
35,38.0962,-75.48964
36,38.09646,-75.48924
37,38.09701,-75.48851
38,38.09754,-75.48795
39,38.10572,-75.48084
40,38.10639,-75.48019
41,38.10727,-75.47924
42,38.11105,-75.47449
43,38.11161,-75.47348
44,38.11194,-75.47261
45,38.11398,-75.46531
46,38.11446,-75.46415
47,38.11487,-75.46343
48,38.11556,-75.46243
49,38.12057,-75.45572
50,38.12294,-75.4524
51,38.12348,-75.45132
52,38.12691,-75.44248
53,38.12723,-75.44172
54,38.12759,-75.44102
55,38.12826,-75.43998
56,38.12886,-75.43923
57,38.12916,-75.43891
58,38.13161,-75.4367
59,38.13284,-75.43549
60,38.13342,-75.4348
61,38.13416,-75.4337
62,38.14145,-75.42166
63,38.14205,-75.4205
64,38.14277,-75.41875
65,38.14322,-75.41746
66,38.14358,-75.41618
67,38.14409,-75.41372
68,38.14431,-75.41223
69,38.14436,-75.41163
70,38.14448,-75.40685
71,38.14457,-75.40561
72,38.14485,-75.40361
73,38.14525,-75.40184
74,38.14544,-75.40117
75,38.14571,-75.40032
76,38.14627,-75.39884
77,38.14715,-75.397
78,38.14779,-75.39587
79,38.14979,-75.39277
80,38.15129,-75.39057
81,38.15431,-75.38594
82,38.15743,-75.3809
83,38.15881,-75.37882
84,38.15977,-75.37753
85,38.16098,-75.37629
86,38.16208,-75.37545
87,38.1632,-75.3748
88,38.1647,-75.37423
89,38.16595,-75.37397
90,38.17226,-75.37301
91,38.17463,-75.3727
92,38.17587,-75.37266
93,38.17692,-75.37272
94,38.17755,-75.37279
95,38.17846,-75.37299
96,38.17931,-75.37326
97,38.17948,-75.37337
98,38.18034,-75.37368
99,38.18303,-75.37481
100,38.18409,-75.37517
101,38.18511,-75.37536
102,38.18642,-75.37536
103,38.18725,-75.37521
104,38.18809,-75.37491
105,38.18917,-75.37436
106,38.18975,-75.37395
107,38.1967,-75.36816
108,38.20081,-75.36498
109,38.20384,-75.36242
110,38.20431,-75.36194
111,38.20494,-75.36113
112,38.20552,-75.36011
113,38.20843,-75.35306
114,38.20896,-75.3519
115,38.20952,-75.35113
116,38.21001,-75.35067
117,38.21672,-75.34536
118,38.21788,-75.34454
119,38.21839,-75.34426
120,38.21938,-75.34389
121,38.22407,-75.34256
122,38.22529,-75.34215
123,38.22617,-75.34164
124,38.22701,-75.34096
125,38.22777,-75.34009
126,38.23196,-75.33405
127,38.23256,-75.33291
128,38.23292,-75.33189
129,38.23379,-75.32759
130,38.23498,-75.3232
131,38.23519,-75.32214
132,38.23527,-75.3214
133,38.23532,-75.32035
134,38.23517,-75.31644
135,38.2352,-75.31554
136,38.23534,-75.31455
137,38.23548,-75.31387
138,38.23585,-75.31271
139,38.23638,-75.31162
140,38.23705,-75.31063
141,38.2433,-75.30254
142,38.24383,-75.30163
143,38.2442,-75.30087
144,38.24444,-75.30023
145,38.24501,-75.29825
146,38.2532,-75.26809
147,38.25368,-75.26663
148,38.2542,-75.26526
149,38.25483,-75.26396
150,38.25541,-75.26289
151,38.25605,-75.26189
152,38.25667,-75.26102
153,38.25757,-75.25994
154,38.25945,-75.25784
155,38.26096,-75.25596
156,38.26335,-75.25334
157,38.26402,-75.25247
158,38.2648,-75.25112
159,38.26558,-75.24923
160,38.26663,-75.24647
161,38.26686,-75.24597
162,38.26751,-75.24483
163,38.26819,-75.24387
164,38.26885,-75.24318
165,38.26917,-75.24291
166,38.27208,-75.24069
167,38.27383,-75.23916
168,38.27582,-75.23756
169,38.28042,-75.2337
170,38.2819,-75.23253
171,38.28255,-75.23211
172,38.28358,-75.23157
173,38.29353,-75.22755
174,38.29475,-75.22693
175,38.29595,-75.22609
176,38.29612,-75.22589
177,38.29758,-75.22459
178,38.29818,-75.22415
179,38.29908,-75.22358
180,38.30031,-75.22298
181,38.30334,-75.22176
182,38.30458,-75.22132
183,38.30615,-75.22092
184,38.31164,-75.21991
185,38.31225,-75.21975
186,38.31318,-75.21937
187,38.31391,-75.21898
188,38.31462,-75.21837
189,38.31625,-75.2167
190,38.31805,-75.21465
191,38.31909,-75.21355
192,38.31947,-75.21322
193,38.32036,-75.21268
194,38.32146,-75.21225
195,38.32942,-75.20991
196,38.3302,-75.20973
197,38.33134,-75.20969
198,38.33243,-75.20983
199,38.33298,-75.20997
200,38.33401,-75.21037
201,38.33673,-75.21166
202,38.3382,-75.21225
203,38.33974,-75.21269
204,38.34597,-75.21421
205,38.34829,-75.2146
206,38.34971,-75.21461
207,38.3505,-75.21455
208,38.35847,-75.21358
209,38.36101,-75.21316
210,38.36205,-75.21295
211,38.36282,-75.21273
212,38.36415,-75.21222
213,38.36617,-75.21108
214,38.36741,-75.21022
215,38.37009,-75.20824
216,38.3722,-75.20709
217,38.37376,-75.20643
218,38.37517,-75.2062
219,38.37561,-75.20618
220,38.3766,-75.20619
221,38.37902,-75.20635
222,38.38011,-75.20652
223,38.38112,-75.20647
224,38.38144,-75.20639
225,38.38174,-75.20638
226,38.38284,-75.20601
227,38.38732,-75.20342
228,38.38841,-75.20309
229,38.38938,-75.20306
230,38.38976,-75.2031
231,38.39346,-75.20388
232,38.3941,-75.20421
233,38.40386,-75.2112
234,38.40524,-75.21203
235,38.40591,-75.21232
236,38.40711,-75.21262
237,38.4084,-75.21266
238,38.40934,-75.21266
239,38.41393,-75.2124
240,38.41509,-75.2124
241,38.41552,-75.21243
242,38.41618,-75.21257
243,38.41674,-75.21276
244,38.42343,-75.21642
245,38.42766,-75.21894
246,38.43314,-75.22186
247,38.43449,-75.22262
248,38.43867,-75.22514
249,38.44293,-75.22749
250,38.44476,-75.22859
251,38.44723,-75.23019
252,38.4499,-75.23223
253,38.45067,-75.23259
254,38.45107,-75.23266
255,38.48654,-75.23585
256,38.50618,-75.23754
257,38.51172,-75.2381
258,38.51363,-75.23824
259,38.51444,-75.23838
260,38.51547,-75.23865
261,38.51629,-75.23902
262,38.51706,-75.23951
263,38.52469,-75.24494
264,38.52627,-75.24611
265,38.54253,-75.25772
266,38.55878,-75.27181
267,38.56194,-75.2745
268,38.56658,-75.27857
269,38.56807,-75.27981
270,38.58289,-75.29262
271,38.58559,-75.29503
272,38.58624,-75.29581
273,38.58681,-75.29664
274,38.5932,-75.30863
275,38.59596,-75.31372
276,38.59633,-75.31431
277,38.59679,-75.31491
278,38.59742,-75.31562
279,38.60166,-75.31957
280,38.60506,-75.32284
281,38.61116,-75.32852
282,38.63251,-75.34864
283,38.63384,-75.34985
284,38.64695,-75.36226
285,38.65151,-75.36648
286,38.65443,-75.36928
287,38.65512,-75.36988
288,38.68015,-75.39416
289,38.68164,-75.3955
290,38.68263,-75.396
291,38.68801,-75.39754
292,38.69196,-75.39873
293,38.69223,-75.39876
294,38.69333,-75.39907
295,38.69819,-75.4005
296,38.70471,-75.40234
297,38.70638,-75.40293
