,Latitude,Longitude
0,36.31585,-78.5145
1,36.3158,-78.51391
2,36.31569,-78.51275
3,36.31543,-78.51045
4,36.31534,-78.50989
5,36.3152,-78.50939
6,36.31499,-78.50888
7,36.31183,-78.50162
8,36.31053,-78.49861
9,36.31037,-78.49821
10,36.31025,-78.49777
11,36.31016,-78.49725
12,36.31014,-78.497
13,36.31013,-78.49688
14,36.31012,-78.49659
15,36.31008,-78.49409
16,36.31008,-78.49375
17,36.31007,-78.49344
18,36.31006,-78.49327
19,36.31004,-78.493
20,36.31001,-78.49276
21,36.30997,-78.49239
22,36.30964,-78.49016
23,36.30962,-78.49005
24,36.30961,-78.48998
25,36.30959,-78.48989
26,36.30956,-78.48979
27,36.30952,-78.48969
28,36.30949,-78.48959
29,36.30945,-78.4895
30,36.30942,-78.48941
31,36.30936,-78.48932
32,36.30929,-78.48919
33,36.30922,-78.48907
34,36.30778,-78.48675
35,36.30768,-78.48659
36,36.30763,-78.48649
37,36.30757,-78.48638
38,36.30753,-78.48629
39,36.30749,-78.48622
40,36.30746,-78.48614
41,36.30743,-78.48607
42,36.3074,-78.48601
43,36.30733,-78.48581
44,36.30729,-78.48566
45,36.30726,-78.48554
46,36.30723,-78.48543
47,36.3072,-78.48532
48,36.30719,-78.48522
49,36.30717,-78.48511
50,36.30714,-78.48493
51,36.30713,-78.4848
52,36.30712,-78.4847
53,36.30711,-78.48458
54,36.30711,-78.48445
55,36.3071,-78.48437
56,36.30711,-78.4843
57,36.30711,-78.48421
58,36.30711,-78.48413
59,36.30712,-78.48399
60,36.30713,-78.48389
61,36.30715,-78.48369
62,36.30736,-78.48236
63,36.3074,-78.48212
64,36.30741,-78.48199
65,36.30742,-78.48188
66,36.30744,-78.48172
67,36.30744,-78.48159
68,36.30744,-78.48143
69,36.30744,-78.4813
70,36.30743,-78.48116
71,36.30742,-78.48101
72,36.30646,-78.47106
73,36.30641,-78.47066
74,36.30638,-78.47044
75,36.30634,-78.47025
76,36.30628,-78.47
77,36.30624,-78.46983
78,36.30619,-78.46968
79,36.30551,-78.46745
80,36.30547,-78.46729
81,36.30542,-78.4671
82,36.30538,-78.46692
83,36.30537,-78.46684
84,36.30534,-78.46663
85,36.30532,-78.46624
86,36.30532,-78.46596
87,36.30536,-78.46551
88,36.30557,-78.46373
89,36.30559,-78.46348
90,36.30559,-78.46335
91,36.30557,-78.46316
92,36.30553,-78.46287
93,36.30549,-78.46272
94,36.3054,-78.46249
95,36.30425,-78.46002
96,36.30408,-78.45961
97,36.30395,-78.45926
98,36.30386,-78.45896
99,36.30378,-78.45859
100,36.30374,-78.45836
101,36.3037,-78.45809
102,36.3036,-78.45705
103,36.30357,-78.45669
104,36.30356,-78.45646
105,36.30355,-78.45635
106,36.30355,-78.45624
107,36.30356,-78.45609
108,36.30357,-78.45583
109,36.30364,-78.45561
110,36.30371,-78.45542
111,36.30377,-78.45529
112,36.30382,-78.45519
113,36.3051,-78.45302
114,36.30525,-78.45277
115,36.30534,-78.45261
116,36.3054,-78.45248
117,36.30547,-78.45235
118,36.30553,-78.45223
119,36.30557,-78.45213
120,36.3057,-78.45181
121,36.30637,-78.44996
122,36.30648,-78.44961
123,36.30653,-78.44942
124,36.30658,-78.44916
125,36.30663,-78.44886
126,36.30665,-78.44859
127,36.30667,-78.44835
128,36.30667,-78.44818
129,36.30671,-78.44433
130,36.30672,-78.44428
131,36.30672,-78.44392
132,36.30673,-78.44345
133,36.30673,-78.44334
134,36.30674,-78.44325
135,36.30675,-78.44316
136,36.30676,-78.44309
137,36.30678,-78.44291
138,36.3068,-78.44276
139,36.30683,-78.44255
140,36.30687,-78.44233
141,36.30691,-78.44211
142,36.30699,-78.44181
143,36.30704,-78.44169
144,36.30746,-78.44053
145,36.30777,-78.43968
146,36.30786,-78.43945
147,36.30798,-78.43911
148,36.3082,-78.43853
149,36.30847,-78.43783
150,36.30874,-78.43735
151,36.30902,-78.43692
152,36.30942,-78.43639
153,36.30969,-78.43602
154,36.3101,-78.43547
155,36.31057,-78.43483
156,36.31094,-78.43433
157,36.31118,-78.43401
158,36.31131,-78.4338
159,36.31145,-78.43359
160,36.31149,-78.43352
161,36.31151,-78.43348
162,36.31158,-78.43336
163,36.31169,-78.43317
164,36.31177,-78.43302
165,36.31188,-78.4328
166,36.31203,-78.43249
167,36.31217,-78.43218
168,36.31237,-78.43166
169,36.31505,-78.42446
170,36.3153,-78.42374
171,36.31552,-78.42304
172,36.31574,-78.42226
173,36.31645,-78.41973
174,36.31656,-78.41943
175,36.31661,-78.41928
176,36.31667,-78.41916
177,36.31678,-78.41891
178,36.3169,-78.41868
179,36.317,-78.41848
180,36.31712,-78.41826
181,36.31744,-78.41768
182,36.31913,-78.41459
183,36.31927,-78.41471
184,36.32,-78.41568
185,36.32016,-78.41533
186,36.32232,-78.41003
187,36.32239,-78.40987
188,36.32244,-78.40975
189,36.32252,-78.40959
190,36.32262,-78.40943
191,36.32272,-78.40927
192,36.32284,-78.40907
193,36.32348,-78.4081
194,36.32726,-78.40264
195,36.32777,-78.40184
196,36.32957,-78.39917
197,36.33031,-78.3981
198,36.33043,-78.39792
199,36.33056,-78.39776
200,36.33066,-78.39765
201,36.33075,-78.39758
202,36.33108,-78.3973
203,36.33158,-78.39691
204,36.33228,-78.39644
205,36.33439,-78.39506
206,36.33475,-78.39486
207,36.33511,-78.39469
208,36.33546,-78.39459
209,36.3358,-78.39456
210,36.3362,-78.39459
211,36.33685,-78.39468
212,36.33734,-78.39483
213,36.3378,-78.39501
214,36.3382,-78.39488
215,36.3386,-78.39486
216,36.33906,-78.39491
217,36.33984,-78.39499
218,36.34044,-78.395
219,36.34088,-78.39496
220,36.34143,-78.39487
221,36.34198,-78.39472
222,36.34251,-78.39449
223,36.34311,-78.39416
224,36.34359,-78.39381
225,36.34401,-78.39343
226,36.34434,-78.39312
227,36.3447,-78.39269
228,36.3451,-78.39212
229,36.34533,-78.39175
230,36.34557,-78.39135
