,Latitude,Longitude
0,46.97526,-123.81351
1,46.97598,-123.81192
2,46.97616,-123.81093
3,46.97621,-123.80877
4,46.97701,-123.80806
5,46.97718,-123.8077
6,46.97749,-123.79831
7,46.97838,-123.79031
8,46.97889,-123.78806
9,46.98173,-123.77851
10,46.9818,-123.77778
11,46.98116,-123.76881
12,46.97944,-123.76319
13,46.97851,-123.75471
14,46.97765,-123.75233
15,46.97228,-123.74201
16,46.97125,-123.73892
17,46.9707,-123.73549
18,46.97066,-123.73273
19,46.97648,-123.65308
20,46.97651,-123.62724
21,46.97626,-123.62508
22,46.97573,-123.62267
23,46.97321,-123.61317
24,46.97303,-123.61063
25,46.97332,-123.60855
26,46.976,-123.59894
27,46.9779,-123.59484
28,46.97855,-123.5924
29,46.97982,-123.58081
30,46.98174,-123.57263
31,46.98227,-123.5695
32,46.98331,-123.55684
33,46.98374,-123.55416
34,46.98849,-123.53536
35,46.99005,-123.52691
36,46.99398,-123.51202
37,46.99666,-123.50487
38,46.99767,-123.50157
39,46.9991,-123.49601
40,46.99995,-123.49096
41,47.00005,-123.48856
42,46.99911,-123.4792
43,46.99866,-123.45768
44,46.99816,-123.45317
45,46.99572,-123.44103
46,46.9955,-123.43862
47,46.99539,-123.4288
48,46.99558,-123.42583
49,46.99635,-123.42161
50,46.99928,-123.41203
51,47.00101,-123.40174
52,47.00398,-123.39155
53,47.00466,-123.38744
54,46.99243,-123.37823
55,46.9913,-123.37714
56,46.9903,-123.37564
57,46.97186,-123.34182
58,46.97095,-123.34062
59,46.96435,-123.33412
60,46.96033,-123.3296
61,46.9558,-123.32663
62,46.9542,-123.32472
63,46.95338,-123.32397
64,46.94814,-123.32138
65,46.94567,-123.31949
66,46.94138,-123.31507
67,46.93928,-123.31174
68,46.93847,-123.31099
69,46.93526,-123.30979
70,46.93338,-123.3089
71,46.92818,-123.30506
72,46.92727,-123.30454
73,46.92612,-123.30415
74,46.92282,-123.30374
75,46.91951,-123.30283
76,46.91846,-123.30246
77,46.91663,-123.30138
78,46.90948,-123.29542
79,46.90045,-123.28955
80,46.8811,-123.27269
81,46.85464,-123.25458
82,46.85252,-123.25266
83,46.8497,-123.24939
84,46.84857,-123.24876
85,46.84635,-123.24831
86,46.8456,-123.24778
87,46.84503,-123.24697
88,46.84153,-123.24017
89,46.84106,-123.23887
90,46.84091,-123.23801
91,46.84078,-123.22894
92,46.84059,-123.22739
93,46.82891,-123.18077
94,46.82826,-123.17717
95,46.82729,-123.16272
96,46.827,-123.16054
