,Latitude,Longitude
0,40.85072,-90.90343
1,40.81472,-90.90406
2,40.78458,-90.90447
3,40.77958,-90.90454
4,40.77727,-90.90451
5,40.77446,-90.90444
6,40.77354,-90.90443
7,40.77047,-90.90433
8,40.77053,-90.90338
9,40.77059,-90.90253
10,40.77062,-90.90211
11,40.77065,-90.90165
12,40.77069,-90.89985
13,40.77069,-90.89792
14,40.77077,-90.87854
15,40.77078,-90.87764
16,40.77078,-90.87705
17,40.7708,-90.87656
18,40.77085,-90.87616
19,40.77089,-90.87589
20,40.77095,-90.87563
21,40.771,-90.87544
22,40.77108,-90.87519
23,40.77117,-90.87494
24,40.77124,-90.87477
25,40.77131,-90.87462
26,40.77458,-90.86837
27,40.77476,-90.86794
28,40.77488,-90.86762
29,40.77498,-90.86732
30,40.77502,-90.86718
31,40.77504,-90.86709
32,40.77509,-90.86692
33,40.77511,-90.86679
34,40.77514,-90.86669
35,40.77518,-90.86651
36,40.77519,-90.86642
37,40.77521,-90.86634
38,40.77524,-90.8661
39,40.77527,-90.86596
40,40.77529,-90.86581
41,40.77533,-90.86532
42,40.77533,-90.86523
43,40.77534,-90.86508
44,40.77534,-90.86422
45,40.77504,-90.84718
46,40.77501,-90.84439
47,40.77499,-90.8304
48,40.77498,-90.83003
49,40.77497,-90.82987
50,40.77495,-90.82967
51,40.77491,-90.82949
52,40.77485,-90.82932
53,40.77478,-90.82915
54,40.77467,-90.82896
55,40.77463,-90.8289
56,40.77457,-90.82882
57,40.7745,-90.82874
58,40.77437,-90.82861
59,40.77424,-90.82852
60,40.77308,-90.82783
61,40.77261,-90.82757
62,40.7722,-90.82739
63,40.77204,-90.82733
64,40.77191,-90.82729
65,40.77177,-90.82724
66,40.77144,-90.82715
67,40.77115,-90.8271
68,40.77088,-90.82706
69,40.77069,-90.82704
70,40.77031,-90.82703
71,40.73542,-90.82724
72,40.73523,-90.82716
73,40.7351,-90.82711
74,40.73493,-90.82701
75,40.73477,-90.82689
76,40.73464,-90.82675
77,40.73453,-90.82662
78,40.73443,-90.82647
79,40.73434,-90.8263
80,40.73423,-90.82605
81,40.73415,-90.82581
82,40.73411,-90.8256
83,40.73408,-90.82534
84,40.73395,-90.79969
85,40.73372,-90.77926
86,40.73303,-90.71207
87,40.73268,-90.68816
88,40.73263,-90.68476
89,40.73214,-90.64975
90,40.73129,-90.6029
91,40.73084,-90.56844
92,40.73085,-90.56824
93,40.7306,-90.54888
94,40.73058,-90.54794
95,40.73033,-90.511
96,40.73026,-90.50516
97,40.73023,-90.50376
98,40.72973,-90.46838
99,40.72973,-90.46753
100,40.72968,-90.46505
101,40.72963,-90.46068
102,40.72958,-90.45791
103,40.72953,-90.45384
104,40.72952,-90.45366
105,40.72942,-90.44634
106,40.72941,-90.4461
107,40.72939,-90.44455
108,40.72939,-90.44408
109,40.72924,-90.43384
110,40.72923,-90.41536
111,40.72924,-90.41399
112,40.72924,-90.41011
113,40.7292,-90.40724
114,40.72916,-90.40566
115,40.72915,-90.40479
116,40.72884,-90.38909
117,40.72881,-90.3865
118,40.7285,-90.33855
119,40.72851,-90.33742
120,40.72855,-90.33534
121,40.72866,-90.33208
122,40.72868,-90.33105
123,40.72877,-90.32813
124,40.7288,-90.32665
125,40.72879,-90.32579
126,40.72879,-90.32461
127,40.72867,-90.31529
128,40.72867,-90.31486
129,40.72866,-90.31452
130,40.72864,-90.3142
131,40.72856,-90.31337
132,40.72843,-90.31252
133,40.72832,-90.31193
134,40.7282,-90.31139
135,40.72806,-90.31088
136,40.72797,-90.31057
137,40.72779,-90.31002
138,40.72764,-90.30959
139,40.72752,-90.30929
140,40.72726,-90.3087
141,40.72706,-90.30827
142,40.72682,-90.30782
143,40.72653,-90.30731
144,40.72639,-90.30708
145,40.72623,-90.30684
146,40.71533,-90.29129
147,40.71476,-90.29049
148,40.71384,-90.28913
149,40.71374,-90.28899
150,40.71332,-90.28837
151,40.71261,-90.28727
152,40.7121,-90.28646
153,40.71089,-90.28459
154,40.71035,-90.28378
155,40.70857,-90.28101
156,40.70818,-90.28043
157,40.70757,-90.27945
158,40.70727,-90.27895
159,40.7071,-90.27862
160,40.7069,-90.2782
161,40.70669,-90.27768
162,40.70658,-90.27737
163,40.70652,-90.27719
164,40.70642,-90.27682
165,40.7063,-90.27634
166,40.70621,-90.27592
167,40.70612,-90.2753
168,40.70608,-90.27486
169,40.70604,-90.27405
170,40.70596,-90.25291
171,40.70597,-90.24993
172,40.70624,-90.22503
173,40.70624,-90.22467
174,40.70625,-90.22409
175,40.70624,-90.22384
176,40.70624,-90.22328
177,40.70625,-90.22303
178,40.70626,-90.22214
179,40.70626,-90.2214
180,40.70629,-90.21906
181,40.70626,-90.2178
182,40.70624,-90.21761
183,40.70621,-90.21724
184,40.70615,-90.21672
185,40.70592,-90.21512
186,40.70584,-90.21463
187,40.70573,-90.21384
