,Latitude,Longitude
0,43.97467,-124.10314
1,43.97468,-124.10294
2,43.97473,-124.10217
3,43.9747,-124.10156
4,43.97467,-124.10116
5,43.97459,-124.10019
6,43.97457,-124.09991
7,43.97446,-124.09881
8,43.97438,-124.09744
9,43.97441,-124.09667
10,43.97447,-124.09606
11,43.97461,-124.09538
12,43.97482,-124.09469
13,43.97511,-124.09395
14,43.97544,-124.09332
15,43.97595,-124.09232
16,43.97609,-124.09195
17,43.97622,-124.09153
18,43.97641,-124.09057
19,43.97647,-124.08995
20,43.97648,-124.0892
21,43.97645,-124.08782
22,43.97643,-124.08645
23,43.97642,-124.08508
24,43.97642,-124.08431
25,43.97644,-124.08373
26,43.97655,-124.0823
27,43.97675,-124.08095
28,43.97695,-124.07957
29,43.97705,-124.07826
30,43.97702,-124.0776
31,43.97695,-124.07684
32,43.9769,-124.07657
33,43.97667,-124.07546
34,43.97647,-124.07409
35,43.97642,-124.07272
36,43.9764,-124.07134
37,43.97642,-124.06997
38,43.9766,-124.0686
39,43.97684,-124.06722
40,43.97708,-124.06585
41,43.97734,-124.06448
42,43.97771,-124.0631
43,43.97812,-124.06173
44,43.97827,-124.06121
45,43.97856,-124.06036
46,43.9787,-124.05994
47,43.97914,-124.05899
48,43.97964,-124.05794
49,43.9798,-124.05761
50,43.98044,-124.05624
51,43.98109,-124.05487
52,43.98174,-124.05349
53,43.98203,-124.05288
54,43.98231,-124.05212
55,43.98239,-124.05183
56,43.98261,-124.05075
57,43.98275,-124.05013
58,43.98299,-124.04937
59,43.98364,-124.048
60,43.98376,-124.04775
61,43.98431,-124.04663
62,43.98499,-124.04525
63,43.98513,-124.04496
64,43.98567,-124.04388
65,43.98635,-124.0425
66,43.98651,-124.04219
67,43.98703,-124.04113
68,43.98772,-124.03976
69,43.98788,-124.03945
70,43.98841,-124.03839
71,43.98909,-124.03701
72,43.98925,-124.03669
73,43.98978,-124.03564
74,43.99046,-124.03427
75,43.99063,-124.03393
76,43.99114,-124.03289
77,43.99182,-124.03152
78,43.992,-124.03117
79,43.99252,-124.03015
80,43.99334,-124.02876
81,43.99337,-124.0287
82,43.99416,-124.0274
83,43.99475,-124.02643
84,43.99499,-124.02603
85,43.99583,-124.02465
86,43.99612,-124.02417
87,43.99666,-124.02328
88,43.99749,-124.0219
89,43.99832,-124.02053
90,43.99886,-124.01963
91,43.99915,-124.01916
92,43.99997,-124.01779
93,44.00024,-124.01735
94,44.0008,-124.01641
95,44.00163,-124.01504
96,44.00248,-124.01367
97,44.00298,-124.01284
98,44.00333,-124.01229
99,44.00417,-124.01092
100,44.00436,-124.01063
101,44.00504,-124.00955
102,44.00591,-124.00817
103,44.00679,-124.0068
104,44.00711,-124.00632
105,44.00771,-124.00542
106,44.00848,-124.00443
107,44.00881,-124.00405
108,44.00985,-124.00297
109,44.01015,-124.00268
110,44.01122,-124.00156
111,44.01141,-124.0013
112,44.01169,-124.00086
113,44.01211,-123.99993
114,44.0126,-123.99878
115,44.01269,-123.99856
116,44.01322,-123.99718
117,44.01365,-123.99581
118,44.01397,-123.99466
119,44.01403,-123.99444
