,Latitude,Longitude
0,44.05267,-123.10099
1,44.05266,-123.09971
2,44.05264,-123.09651
3,44.05266,-123.09221
4,44.05265,-123.08776
5,44.05199,-123.08648
6,44.05082,-123.08473
7,44.05029,-123.08337
8,44.04982,-123.08089
9,44.04967,-123.08022
10,44.04936,-123.07931
11,44.04851,-123.07769
12,44.04811,-123.07685
13,44.0478,-123.07596
14,44.04749,-123.07462
15,44.04714,-123.07284
16,44.0465,-123.06975
17,44.04588,-123.06679
18,44.04526,-123.06375
19,44.04462,-123.06056
20,44.04451,-123.05978
21,44.04442,-123.05884
22,44.04435,-123.05743
23,44.04431,-123.0565
24,44.04422,-123.05554
25,44.04403,-123.05405
26,44.04385,-123.05251
27,44.04383,-123.05191
28,44.04388,-123.0509
29,44.04408,-123.04915
30,44.04431,-123.04755
31,44.04475,-123.04545
32,44.04516,-123.0433
33,44.04524,-123.04264
34,44.04545,-123.0407
35,44.04557,-123.03943
36,44.04552,-123.03895
37,44.04516,-123.03773
38,44.04502,-123.03717
39,44.04477,-123.03587
40,44.04434,-123.03253
41,44.04422,-123.03123
42,44.04425,-123.03065
43,44.04454,-123.02967
44,44.04491,-123.02846
45,44.04578,-123.02583
46,44.04593,-123.02521
47,44.04598,-123.02423
48,44.04597,-123.02295
49,44.04594,-123.01948
50,44.04573,-123.01519
51,44.04543,-123.01117
52,44.04524,-123.00767
53,44.04514,-123.00382
54,44.04529,-123.00077
55,44.04556,-122.99938
56,44.04578,-122.99758
57,44.04586,-122.99585
58,44.04585,-122.99274
59,44.04585,-122.98803
60,44.04583,-122.98671
61,44.04584,-122.98173
62,44.0458,-122.97749
63,44.04581,-122.97221
64,44.04578,-122.96725
65,44.04574,-122.96242
66,44.04575,-122.95865
67,44.04576,-122.9543
68,44.04573,-122.94939
69,44.04573,-122.94482
70,44.04572,-122.94072
71,44.04569,-122.93658
72,44.04568,-122.93235
73,44.04566,-122.93074
