,Latitude,Longitude
0,36.62204,-85.08837
1,36.62295,-85.08842
2,36.62356,-85.0885
3,36.62428,-85.08866
4,36.62486,-85.0889
5,36.6259,-85.0894
6,36.62688,-85.09019
7,36.63105,-85.09442
8,36.63148,-85.09481
9,36.6322,-85.09553
10,36.63302,-85.09628
11,36.63346,-85.09663
12,36.63379,-85.09695
13,36.63575,-85.09842
14,36.63733,-85.09945
15,36.63841,-85.1001
16,36.64015,-85.10108
17,36.64114,-85.10169
18,36.64236,-85.1024
19,36.6437,-85.10323
20,36.64463,-85.10396
21,36.6451,-85.10435
22,36.6459,-85.10514
23,36.64714,-85.10651
24,36.64718,-85.10657
25,36.64796,-85.10746
26,36.64889,-85.10844
27,36.64985,-85.10931
28,36.65035,-85.10971
29,36.65064,-85.10989
30,36.65216,-85.11065
31,36.65411,-85.11143
32,36.65575,-85.11204
33,36.65693,-85.11267
34,36.65799,-85.11332
35,36.65928,-85.11427
36,36.65984,-85.11474
37,36.66081,-85.11585
38,36.6612,-85.11634
39,36.66172,-85.11707
40,36.66227,-85.11788
41,36.6625,-85.11828
42,36.66257,-85.11838
43,36.66312,-85.11938
44,36.66342,-85.12
45,36.66372,-85.12074
46,36.66391,-85.12127
47,36.66413,-85.122
48,36.66566,-85.12633
49,36.66568,-85.12637
50,36.66644,-85.12859
51,36.66652,-85.1288
52,36.66744,-85.13149
53,36.66827,-85.13371
54,36.66892,-85.13531
55,36.66901,-85.13551
56,36.66936,-85.13637
57,36.67005,-85.13774
58,36.67079,-85.13915
59,36.6712,-85.13985
60,36.67121,-85.13988
61,36.67179,-85.1408
62,36.67376,-85.14366
63,36.67411,-85.14413
64,36.67462,-85.14478
65,36.67528,-85.14552
66,36.67609,-85.14639
67,36.67769,-85.14799
68,36.67835,-85.1486
69,36.6788,-85.14898
70,36.67973,-85.14967
71,36.68138,-85.15113
72,36.68551,-85.154
73,36.68637,-85.15452
74,36.68722,-85.15498
75,36.68805,-85.15536
76,36.6885,-85.15553
77,36.6892,-85.15576
78,36.69021,-85.15605
79,36.69092,-85.15623
80,36.69166,-85.15639
81,36.69189,-85.15643
82,36.6929,-85.1565
83,36.69315,-85.15654
84,36.69375,-85.15657
85,36.69458,-85.15656
86,36.69534,-85.1565
87,36.69538,-85.15648
88,36.69606,-85.15641
89,36.69708,-85.15626
90,36.69783,-85.1561
91,36.69846,-85.15595
92,36.69868,-85.15589
93,36.69907,-85.15576
94,36.69916,-85.15572
95,36.69965,-85.15554
96,36.6998,-85.15546
97,36.69985,-85.15541
98,36.70004,-85.15533
99,36.70027,-85.15525
100,36.7008,-85.15501
101,36.70123,-85.1548
102,36.7018,-85.15449
103,36.70181,-85.15449
104,36.70207,-85.15434
105,36.70214,-85.15431
106,36.70247,-85.15413
107,36.70279,-85.15393
108,36.70293,-85.15385
109,36.70334,-85.15357
110,36.70343,-85.15352
111,36.70359,-85.15341
112,36.70363,-85.15337
113,36.70364,-85.15337
114,36.70364,-85.15336
115,36.70368,-85.15336
116,36.7042,-85.15299
117,36.70486,-85.15244
118,36.70492,-85.15238
119,36.70594,-85.15155
120,36.70622,-85.15134
121,36.70651,-85.15109
122,36.70659,-85.15104
123,36.70762,-85.15018
124,36.7077,-85.15012
125,36.70907,-85.14899
126,36.70913,-85.14895
127,36.70928,-85.14882
128,36.70931,-85.1488
129,36.70982,-85.14836
130,36.71018,-85.14808
131,36.71284,-85.14591
132,36.71287,-85.14589
133,36.7133,-85.14553
134,36.71332,-85.14552
135,36.71501,-85.14414
136,36.71509,-85.14405
137,36.71518,-85.14398
138,36.71545,-85.14375
139,36.71569,-85.14357
140,36.71614,-85.14318
141,36.71709,-85.14241
142,36.71742,-85.14216
143,36.71761,-85.142
144,36.71854,-85.14131
145,36.72011,-85.14026
146,36.72025,-85.14018
147,36.72035,-85.14016
148,36.72363,-85.13819
149,36.72367,-85.13814
150,36.72371,-85.13812
151,36.72375,-85.13809
152,36.72379,-85.13807
153,36.72465,-85.13755
154,36.72492,-85.1374
155,36.72505,-85.13732
156,36.72547,-85.13709
157,36.72597,-85.13678
158,36.72639,-85.13654
159,36.72717,-85.13606
160,36.72817,-85.13547
161,36.72821,-85.13545
162,36.72945,-85.13472
163,36.7298,-85.13453
164,36.73043,-85.13425
165,36.73089,-85.13408
166,36.73127,-85.13396
167,36.73135,-85.13394
168,36.73152,-85.13388
169,36.73205,-85.13374
170,36.73223,-85.1337
171,36.7323,-85.13368
172,36.73286,-85.13357
173,36.73294,-85.13356
174,36.73322,-85.13351
175,36.73409,-85.13343
176,36.7345,-85.13341
177,36.73509,-85.13341
178,36.73573,-85.13345
179,36.73609,-85.13349
180,36.73635,-85.13353
181,36.73654,-85.13355
182,36.7384,-85.13395
183,36.73905,-85.13411
184,36.74019,-85.13436
185,36.74119,-85.13456
186,36.74184,-85.13472
187,36.74258,-85.13487
188,36.74443,-85.13528
189,36.7447,-85.13535
190,36.74559,-85.13553
191,36.74825,-85.13595
192,36.74869,-85.13603
193,36.75047,-85.13629
194,36.75462,-85.13696
