,Latitude,Longitude
0,44.4675155,-85.400018
1,44.4672302,-85.3996732
2,44.4668067,-85.3990648
3,44.466482,-85.3986288
4,44.4662032,-85.398311
5,44.4659922,-85.3980806
6,44.465695,-85.3977713
7,44.4654295,-85.3975172
8,44.4651829,-85.3973132
9,44.4649103,-85.397105
10,44.4645498,-85.3968574
11,44.4641787,-85.3966331
12,44.4636951,-85.3963818
13,44.4631481,-85.3961613
14,44.4627586,-85.3960405
15,44.4623541,-85.3959346
16,44.4619452,-85.3958693
17,44.4614844,-85.3958187
18,44.4610324,-85.395804
19,44.4551655,-85.3956451
20,44.4483646,-85.3954842
21,44.4422369,-85.3953661
22,44.4411262,-85.3953018
23,44.4394716,-85.3950121
24,44.4378936,-85.3945293
25,44.4364381,-85.3939392
26,44.4308149,-85.3901734
27,44.4289072,-85.3888323
28,44.4284934,-85.3885641
29,44.424333,-85.3857853
30,44.4206013,-85.3831245
31,44.4189768,-85.3821804
32,44.4168771,-85.3813221
33,44.4152082,-85.3809161
34,44.4148923,-85.3808393
35,44.4138884,-85.380732
36,44.4124587,-85.3807975
37,44.4102257,-85.3810327
38,44.4059406,-85.3814616
39,44.404086,-85.3815579
40,44.4036744,-85.3815957
41,44.4034339,-85.3816178
42,44.3995862,-85.3820087
43,44.3932465,-85.3825881
44,44.3891039,-85.3828675
45,44.3878552,-85.3831172
46,44.3864836,-85.3835443
47,44.3855757,-85.3839104
48,44.3839618,-85.3849484
49,44.382321,-85.3861823
50,44.3810328,-85.3874375
51,44.3771978,-85.3923147
52,44.3757263,-85.394186
53,44.3726299,-85.3981401
54,44.3714777,-85.3995075
55,44.3702353,-85.4005267
56,44.3696678,-85.4009451
57,44.3680802,-85.4018464
58,44.3667763,-85.4022541
59,44.3633401,-85.4027261
60,44.3574414,-85.4035844
61,44.3508133,-85.4043891
62,44.3442458,-85.4053118
63,44.3406087,-85.4057838
64,44.3388899,-85.4060521
65,44.3376455,-85.4062063
66,44.3352526,-85.4065027
67,44.3344468,-85.4065456
68,44.3336487,-85.4065241
69,44.3327739,-85.4063847
70,44.3324592,-85.4063096
71,44.3315843,-85.4059984
72,44.3308629,-85.4056658
73,44.3299957,-85.4052045
74,44.3282348,-85.4040387
75,44.3274296,-85.4035001
76,44.3230041,-85.4004409
77,44.3163178,-85.3959455
78,44.314721,-85.3948726
79,44.3125408,-85.3935959
80,44.3111436,-85.3929951
81,44.3098078,-85.3927161
82,44.3083644,-85.3924908
83,44.3064143,-85.3924157
84,44.3033816,-85.3924694
85,44.3021377,-85.3925767
86,44.300817,-85.3926518
87,44.2998111,-85.3924479
88,44.2990202,-85.3922226
89,44.2967166,-85.3909137
90,44.294912,-85.3898623
91,44.2935297,-85.3893687
92,44.2922768,-85.3890752
93,44.2922473,-85.3890683
94,44.2912335,-85.3889181
95,44.2900942,-85.388832
96,44.2881545,-85.3887972
97,44.2843829,-85.3887572
98,44.2834166,-85.3887191
99,44.2812052,-85.3886892
100,44.2802235,-85.3887111
101,44.2797697,-85.3887054
102,44.2749036,-85.3886082
103,44.2737673,-85.3885855
104,44.2693731,-85.3884461
105,44.2681131,-85.3882422
106,44.2674217,-85.3880813
107,44.2659465,-85.3875878
108,44.2646481,-85.3869762
109,44.2629347,-85.3858926
110,44.2621587,-85.3852918
111,44.2610446,-85.3842082
112,44.2599304,-85.383028
113,44.2591083,-85.3819122
114,44.2582656,-85.3805881
115,44.2576739,-85.3795515
116,44.2570713,-85.3784589
117,44.2554814,-85.3755715
118,44.254391,-85.3735981
119,44.2536848,-85.3723694
120,44.2534234,-85.3719605
121,44.2531663,-85.371586
122,44.2528686,-85.3711941
123,44.2524868,-85.3707563
124,44.2522109,-85.3704686
125,44.251884,-85.370169
126,44.2515246,-85.3698612
127,44.2511781,-85.3696068
128,44.2508128,-85.3693512
129,44.2504169,-85.3691194
