,Latitude,Longitude
0,40.62651,-103.20746
1,40.63258,-103.20299
2,40.633,-103.20169
3,40.63314,-103.20069
4,40.63324,-103.19985
5,40.63341,-103.19919
6,40.63367,-103.19865
7,40.63401,-103.19818
8,40.63438,-103.19785
9,40.63497,-103.19741
10,40.64363,-103.19104
11,40.64617,-103.1892
12,40.66083,-103.17839
13,40.66171,-103.17782
14,40.66234,-103.17752
15,40.66305,-103.17729
16,40.66445,-103.17692
17,40.66491,-103.17673
18,40.6653,-103.17644
19,40.66571,-103.176
20,40.66599,-103.17556
21,40.66678,-103.17407
22,40.6672,-103.17345
23,40.66773,-103.17284
24,40.66833,-103.17233
25,40.71101,-103.14083
26,40.71224,-103.13983
27,40.71332,-103.13885
28,40.71431,-103.13798
29,40.71524,-103.13722
30,40.71594,-103.13664
31,40.71664,-103.13599
32,40.72553,-103.12688
33,40.72637,-103.12608
34,40.72716,-103.1254
35,40.7295,-103.12342
36,40.73005,-103.12288
37,40.73046,-103.12233
38,40.73091,-103.12143
39,40.73248,-103.11816
40,40.73281,-103.11735
41,40.73313,-103.11637
42,40.73392,-103.11381
43,40.73432,-103.11281
44,40.73483,-103.11171
45,40.75259,-103.07329
46,40.75308,-103.07227
47,40.75371,-103.07118
48,40.75436,-103.07006
49,40.75487,-103.06905
50,40.75623,-103.06605
51,40.75833,-103.06158
52,40.75878,-103.06075
53,40.76359,-103.05356
54,40.76427,-103.05237
55,40.77451,-103.03336
56,40.77487,-103.0326
57,40.77516,-103.03178
58,40.77535,-103.03097
59,40.77548,-103.03
60,40.77551,-103.02913
61,40.7756,-103.02504
62,40.77576,-103.0237
63,40.77596,-103.02281
64,40.77623,-103.02202
65,40.77671,-103.02097
66,40.78336,-103.00653
67,40.78403,-103.00494
68,40.78602,-102.99972
69,40.78644,-102.99873
70,40.78787,-102.99576
71,40.7885,-102.99431
72,40.78943,-102.99194
73,40.78975,-102.9909
74,40.79022,-102.98905
75,40.79061,-102.98778
76,40.80166,-102.95875
77,40.80223,-102.95743
78,40.80295,-102.95582
79,40.80493,-102.95071
80,40.80552,-102.94934
81,40.80735,-102.94537
82,40.80776,-102.94424
83,40.80953,-102.93828
84,40.81,-102.93682
85,40.81065,-102.93508
86,40.83138,-102.88055
87,40.83187,-102.8794
88,40.83257,-102.878
89,40.83495,-102.87383
90,40.83538,-102.87292
91,40.83573,-102.87194
92,40.83603,-102.87094
93,40.83662,-102.86865
94,40.83686,-102.86751
95,40.83704,-102.86617
96,40.83724,-102.86522
97,40.83758,-102.86427
98,40.84326,-102.84934
99,40.84367,-102.84813
100,40.84404,-102.84685
101,40.85304,-102.81518
102,40.8535,-102.81383
103,40.85405,-102.81271
104,40.85721,-102.80665
105,40.85756,-102.80577
106,40.85773,-102.80487
107,40.85779,-102.79968
108,40.85801,-102.79852
109,40.85875,-102.79592
110,40.85904,-102.79473
111,40.85934,-102.79315
112,40.85968,-102.79176
113,40.87635,-102.73302
114,40.87681,-102.73167
115,40.87884,-102.72671
116,40.87926,-102.72543
117,40.87965,-102.72396
118,40.87985,-102.72287
119,40.88021,-102.72006
120,40.88046,-102.71873
121,40.88084,-102.71712
122,40.91996,-102.57828
123,40.93179,-102.53036
124,40.93216,-102.52904
125,40.93264,-102.52772
126,40.933,-102.52655
127,40.9344,-102.52091
128,40.93462,-102.51981
129,40.93494,-102.51781
130,40.93523,-102.5165
131,40.93558,-102.51504
132,40.94639,-102.47111
133,40.94688,-102.46929
134,40.9475,-102.46709
135,40.94801,-102.46507
136,40.95977,-102.41711
137,40.96007,-102.41565
138,40.9603,-102.41419
139,40.96043,-102.41248
140,40.96048,-102.41093
141,40.96092,-102.37998
142,40.96091,-102.37824
143,40.96081,-102.37339
144,40.9607,-102.3718
145,40.96063,-102.37052
146,40.96058,-102.36376
147,40.96063,-102.34676
148,40.96055,-102.33716
149,40.96061,-102.33597
150,40.96077,-102.33505
151,40.96102,-102.33418
152,40.96139,-102.33327
153,40.96188,-102.33244
154,40.96259,-102.33154
155,40.96718,-102.32646
156,40.96803,-102.32557
157,40.969,-102.32473
158,40.97652,-102.31831
159,40.98017,-102.31497
160,40.98072,-102.31436
161,40.9813,-102.31354
162,40.98174,-102.31265
163,40.98205,-102.31174
164,40.98229,-102.31066
165,40.9824,-102.30944
166,40.98241,-102.30829
167,40.98272,-102.27089
168,40.98279,-102.26993
169,40.98296,-102.26914
170,40.98319,-102.26846
171,40.98357,-102.26764
172,40.99347,-102.24965
173,40.99424,-102.24805
174,40.99503,-102.2464
175,41.0281,-102.18604
176,41.02911,-102.18432
177,41.03157,-102.18027
178,41.03262,-102.17838
179,41.04123,-102.1627
180,41.04172,-102.16173
181,41.04237,-102.16018
182,41.04276,-102.15905
183,41.04317,-102.15764
184,41.04912,-102.13347
185,41.04946,-102.13192
186,41.04973,-102.13025
187,41.04986,-102.12884
188,41.05014,-102.12509
189,41.05018,-102.12374
190,41.05021,-102.12164
191,41.05029,-102.12035
192,41.05139,-102.10591
193,41.05161,-102.10408
194,41.05193,-102.10242
195,41.0524,-102.10063
196,41.05293,-102.09908
197,41.05735,-102.08728
198,41.05807,-102.08552
199,41.05924,-102.08285
200,41.05973,-102.08163
201,41.06189,-102.07585
202,41.06211,-102.07524
203,41.06217,-102.07501
204,41.06218,-102.07462
205,41.07071,-102.0746
206,41.0716,-102.07454
207,41.07248,-102.0743
208,41.07343,-102.07396
209,41.07798,-102.07209
210,41.07926,-102.07163
211,41.08039,-102.07131
212,41.08879,-102.06945
213,41.08957,-102.06938
214,41.09112,-102.06936
