,Latitude,Longitude
0,44.54239,-104.05596
1,44.5426,-104.05339
2,44.54305,-104.05077
3,44.54529,-104.04295
4,44.54598,-104.0384
5,44.54614,-103.99393
6,44.54641,-103.98994
7,44.54734,-103.98414
8,44.54733,-103.98072
9,44.54601,-103.97325
10,44.54537,-103.97067
11,44.54417,-103.96722
12,44.54167,-103.96176
13,44.53919,-103.95778
14,44.5255,-103.94081
15,44.52463,-103.93919
16,44.52387,-103.93688
17,44.52286,-103.93053
18,44.52245,-103.92575
19,44.52248,-103.90199
20,44.52232,-103.89313
21,44.52025,-103.8666
22,44.52003,-103.86524
23,44.51961,-103.86394
24,44.51889,-103.86258
25,44.51802,-103.86157
26,44.51685,-103.86078
27,44.51565,-103.86034
28,44.50613,-103.85829
29,44.5042,-103.85769
30,44.50171,-103.85637
31,44.49881,-103.85386
32,44.48698,-103.84156
33,44.48489,-103.83896
34,44.48335,-103.83622
35,44.47935,-103.82747
36,44.47865,-103.82569
37,44.47808,-103.82356
38,44.47774,-103.82103
39,44.47707,-103.81269
40,44.47524,-103.78809
41,44.47508,-103.78028
42,44.47513,-103.75099
43,44.47559,-103.74809
44,44.47638,-103.74555
45,44.4866,-103.72216
46,44.48748,-103.71874
47,44.48784,-103.71457
48,44.48752,-103.70524
49,44.48684,-103.70091
50,44.48565,-103.69716
51,44.48334,-103.69213
52,44.48149,-103.68722
53,44.48003,-103.68154
54,44.47821,-103.67177
55,44.47762,-103.66814
56,44.47729,-103.66493
57,44.47682,-103.65509
58,44.47527,-103.64447
59,44.4745,-103.64226
60,44.47366,-103.64074
61,44.46712,-103.6323
62,44.46473,-103.62852
63,44.45379,-103.60453
64,44.45138,-103.6002
65,44.44232,-103.588
66,44.4398,-103.58528
67,44.43048,-103.576
68,44.42885,-103.57372
69,44.42805,-103.57189
70,44.42754,-103.57002
71,44.42212,-103.54357
72,44.41986,-103.53492
73,44.41896,-103.53283
74,44.41832,-103.53188
75,44.41723,-103.53078
76,44.40442,-103.52167
77,44.40232,-103.51977
78,44.3996,-103.51668
79,44.39837,-103.51474
80,44.39731,-103.51225
81,44.39552,-103.5051
82,44.39469,-103.50261
83,44.38986,-103.4924
84,44.3887,-103.49055
85,44.38798,-103.48979
86,44.38097,-103.48407
87,44.37948,-103.48267
88,44.37524,-103.47818
89,44.36713,-103.46828
90,44.3658,-103.46686
91,44.34211,-103.44602
92,44.33917,-103.44373
93,44.32757,-103.43633
94,44.32638,-103.43579
95,44.32446,-103.43555
96,44.31995,-103.4366
97,44.31712,-103.43672
98,44.30009,-103.43391
99,44.29814,-103.43343
100,44.29686,-103.43289
101,44.29551,-103.43216
102,44.28291,-103.42381
103,44.2751,-103.41894
104,44.24359,-103.3981
105,44.23741,-103.39257
106,44.2281,-103.38389
107,44.22656,-103.38197
108,44.21886,-103.37019
109,44.21718,-103.36786
110,44.19741,-103.3482
111,44.1814,-103.32559
112,44.1799,-103.32379
113,44.1781,-103.32253
114,44.17183,-103.32006
115,44.17024,-103.31895
116,44.16909,-103.31757
117,44.16406,-103.30956
118,44.1624,-103.30778
119,44.1419,-103.29638
120,44.1401,-103.29525
121,44.1392,-103.29436
122,44.13835,-103.29315
123,44.13213,-103.28058
124,44.13089,-103.27887
125,44.12916,-103.2776
126,44.12586,-103.27641
127,44.11843,-103.27501
128,44.11675,-103.27426
129,44.11564,-103.27331
130,44.11011,-103.267
131,44.10899,-103.26512
132,44.10844,-103.26358
133,44.10616,-103.25005
134,44.1057,-103.2397
135,44.10427,-103.2232
136,44.10414,-103.19675
137,44.10351,-103.19413
138,44.10009,-103.18539
139,44.09955,-103.18252
140,44.09946,-103.15819
141,44.09979,-103.15469
142,44.102,-103.14294
143,44.10327,-103.1388
144,44.1044,-103.13636
145,44.11605,-103.11531
146,44.11687,-103.11302
147,44.11726,-103.11074
148,44.11735,-103.08781
149,44.11778,-103.07303
150,44.11782,-103.0125
151,44.11817,-102.98931
152,44.11809,-102.93987
153,44.11786,-102.93706
154,44.11743,-102.93499
155,44.11145,-102.91509
156,44.11021,-102.91176
157,44.10573,-102.90107
158,44.10518,-102.89937
159,44.10446,-102.8962
160,44.10408,-102.89258
161,44.10391,-102.85987
162,44.10341,-102.83738
163,44.10338,-102.65181
164,44.10393,-102.64531
165,44.10622,-102.63291
166,44.10656,-102.62815
167,44.10622,-102.62384
168,44.10386,-102.611
169,44.1033,-102.60421
170,44.10315,-102.52592
171,44.10301,-102.52302
172,44.10263,-102.52035
173,44.10204,-102.51787
174,44.09868,-102.50617
175,44.09753,-102.50358
176,44.09617,-102.50157
177,44.09218,-102.49746
178,44.08977,-102.49426
179,44.06905,-102.463
180,44.06794,-102.4609
181,44.06701,-102.45809
182,44.06391,-102.44099
183,44.06357,-102.43799
184,44.06375,-102.43534
185,44.06421,-102.43334
186,44.06485,-102.43166
187,44.06679,-102.42782
188,44.06759,-102.42578
189,44.06843,-102.42278
190,44.06882,-102.41986
191,44.06878,-102.41706
192,44.06758,-102.40284
193,44.06702,-102.3792
194,44.06672,-102.37697
195,44.066,-102.37459
196,44.06478,-102.37231
197,44.06282,-102.37017
198,44.06103,-102.36896
