,Latitude,Longitude
0,44.5491941,-88.049063
1,44.5493154,-88.0492453
2,44.5497194,-88.0498526
3,44.5498736,-88.0500843
4,44.5498949,-88.0501163
5,44.5500598,-88.0503643
6,44.550501,-88.0510275
7,44.5506894,-88.0513106
8,44.5507072,-88.0513374
9,44.5507763,-88.0514412
10,44.5508769,-88.0515923
11,44.5509893,-88.0517612
12,44.5512634,-88.0521734
13,44.5515312,-88.0525605
14,44.5516918,-88.0527926
15,44.5517134,-88.0528191
16,44.5517323,-88.0528421
17,44.5519852,-88.0531512
18,44.551998,-88.0531669
19,44.5520741,-88.0532599
20,44.5524062,-88.0536658
21,44.5526018,-88.0539048
22,44.5527514,-88.054073
23,44.5528671,-88.0542031
24,44.5529293,-88.054273
25,44.5530443,-88.0542991
26,44.5535753,-88.0548961
27,44.5542446,-88.0556185
28,44.5547537,-88.0561398
29,44.5552293,-88.0566218
30,44.5553599,-88.0567601
31,44.5554771,-88.0569126
32,44.5556112,-88.057126
33,44.5557548,-88.0574116
34,44.5558448,-88.0575469
35,44.5558879,-88.05758
36,44.5559309,-88.0576062
37,44.5560374,-88.0576396
