,Latitude,Longitude
0,32.90451,-80.66683
1,32.90559,-80.66636
2,32.90621,-80.66632
3,32.91015,-80.66799
4,32.91167,-80.66815
5,32.92213,-80.66642
6,32.92375,-80.66592
7,32.92455,-80.66552
8,32.94145,-80.6539
9,32.96461,-80.64288
10,32.97695,-80.63538
11,32.97844,-80.63469
12,32.98034,-80.63456
13,32.99672,-80.63713
14,33.0076,-80.63653
15,33.01378,-80.63482
16,33.0299,-80.6279
17,33.04362,-80.62682
18,33.04557,-80.62627
19,33.05115,-80.62428
20,33.0522,-80.62374
21,33.05297,-80.6231
22,33.05545,-80.6202
23,33.05925,-80.61773
24,33.06312,-80.61372
25,33.09458,-80.59843
26,33.10207,-80.5958
27,33.10731,-80.59314
28,33.12263,-80.59035
29,33.12403,-80.58989
30,33.12521,-80.58906
31,33.13179,-80.58348
32,33.13259,-80.58254
33,33.13533,-80.57828
34,33.136,-80.57763
35,33.13688,-80.57715
36,33.14722,-80.57382
37,33.14995,-80.57342
38,33.15153,-80.57344
39,33.15327,-80.57369
40,33.16344,-80.57586
41,33.16512,-80.57606
42,33.17614,-80.57482
43,33.17962,-80.57546
44,33.1845,-80.57394
45,33.19067,-80.57019
46,33.19364,-80.56802
47,33.19506,-80.56657
48,33.19607,-80.56493
49,33.19663,-80.56351
50,33.19901,-80.55392
51,33.19988,-80.55203
52,33.20258,-80.54898
53,33.21,-80.54125
54,33.21075,-80.54064
55,33.21214,-80.54007
56,33.21605,-80.53942
57,33.2285,-80.54021
58,33.23488,-80.53754
59,33.2424,-80.53555
60,33.26697,-80.51942
61,33.26847,-80.51898
62,33.27569,-80.51959
63,33.27734,-80.51926
64,33.28359,-80.51558
65,33.28922,-80.51186
66,33.29835,-80.50523
67,33.29908,-80.50463
68,33.29983,-80.50371
69,33.30069,-80.50188
70,33.30643,-80.4811
71,33.30682,-80.48016
72,33.3074,-80.47933
73,33.31816,-80.46753
74,33.31919,-80.46689
75,33.32011,-80.46657
76,33.32176,-80.46649
77,33.3284,-80.46725
78,33.33023,-80.46763
79,33.37065,-80.48062
80,33.39287,-80.4846
81,33.39416,-80.48549
82,33.40122,-80.49333
83,33.41185,-80.49897
84,33.42434,-80.50729
85,33.4296,-80.50903
86,33.43997,-80.51108
87,33.44163,-80.51107
88,33.44333,-80.51062
89,33.44497,-80.50969
90,33.47441,-80.48669
91,33.48776,-80.47606
92,33.48488,-80.47005
93,33.48494,-80.4699
94,33.4851,-80.46981
95,33.48737,-80.47018
96,33.48917,-80.46968
97,33.49146,-80.46835
98,33.49304,-80.46719
99,33.49626,-80.46408
100,33.51884,-80.43467
101,33.51992,-80.43288
102,33.52058,-80.43033
103,33.52147,-80.42913
104,33.5223,-80.42862
105,33.52328,-80.42842
106,33.52421,-80.42857
107,33.52553,-80.42917
108,33.52629,-80.4293
109,33.52857,-80.42795
110,33.57767,-80.39458
111,33.57859,-80.39341
112,33.60057,-80.35559
113,33.60178,-80.3541
114,33.60282,-80.35353
115,33.60951,-80.35268
116,33.6101,-80.35238
117,33.61133,-80.35127
118,33.6126,-80.35087
119,33.64243,-80.34904
120,33.64443,-80.34938
121,33.64655,-80.35024
122,33.65623,-80.35603
123,33.65774,-80.35668
124,33.65901,-80.35696
125,33.67444,-80.35864
126,33.67571,-80.35843
127,33.6773,-80.35768
128,33.68305,-80.35233
129,33.68467,-80.35154
130,33.6858,-80.35145
131,33.70241,-80.35209
132,33.70333,-80.35194
133,33.71333,-80.34903
134,33.71491,-80.34882
135,33.71625,-80.34895
136,33.71774,-80.34941
137,33.7367,-80.35684
138,33.73807,-80.3572
139,33.7545,-80.35718
140,33.76896,-80.35388
141,33.78583,-80.35472
142,33.78895,-80.35566
143,33.80755,-80.35917
144,33.81422,-80.36155
145,33.81537,-80.36221
146,33.8163,-80.36297
147,33.82655,-80.37292
148,33.82805,-80.37369
149,33.82913,-80.37386
150,33.83037,-80.37378
151,33.84591,-80.37073
152,33.8565,-80.36763
153,33.85759,-80.36691
154,33.86608,-80.35937
155,33.87217,-80.3536
156,33.87323,-80.35291
157,33.87457,-80.35236
158,33.88064,-80.35102
159,33.88247,-80.3502
160,33.89436,-80.34039
161,33.8965,-80.33745
162,33.89693,-80.33704
163,33.89765,-80.3367
164,33.90193,-80.33726
165,33.90486,-80.33692
166,33.91136,-80.33767
167,33.91458,-80.33655
168,33.92056,-80.33582
169,33.92363,-80.33633
170,33.92724,-80.33617
171,33.93905,-80.3392
172,33.93912,-80.34332
173,33.96984,-80.33984
174,33.97051,-80.33957
175,33.97112,-80.33909
176,33.9877,-80.3245
177,33.98881,-80.32386
178,33.98981,-80.32359
179,33.99261,-80.32355
180,34.03603,-80.32544
181,34.03689,-80.32528
182,34.03802,-80.32479
183,34.04276,-80.321
184,34.04424,-80.32033
185,34.07828,-80.31705
186,34.1049,-80.31417
187,34.10617,-80.31366
188,34.11243,-80.30947
189,34.1145,-80.30844
190,34.12967,-80.30439
191,34.13143,-80.30419
192,34.13358,-80.30436
193,34.14331,-80.30761
194,34.14471,-80.30783
195,34.14639,-80.30768
196,34.14727,-80.30741
197,34.14835,-80.30683
198,34.15138,-80.30432
199,34.15238,-80.30374
200,34.16967,-80.29745
201,34.17279,-80.29616
202,34.17816,-80.2923
203,34.18499,-80.28862
204,34.18603,-80.2879
205,34.19644,-80.27841
206,34.20321,-80.27184
207,34.20434,-80.27046
208,34.20799,-80.26387
209,34.21117,-80.25869
210,34.21891,-80.24753
211,34.2242,-80.24096
212,34.22679,-80.2384
213,34.228,-80.23749
214,34.22953,-80.2367
215,34.23371,-80.23496
216,34.23499,-80.23405
217,34.24086,-80.22772
218,34.24665,-80.22099
219,34.24773,-80.21946
220,34.24933,-80.21629
221,34.24982,-80.21453
222,34.25165,-80.20064
223,34.25378,-80.18641
224,34.25547,-80.17981
225,34.26215,-80.15872
226,34.26253,-80.15692
227,34.26316,-80.15147
228,34.2638,-80.14927
229,34.26802,-80.13883
230,34.27241,-80.13056
231,34.27407,-80.12439
232,34.27469,-80.12299
233,34.28089,-80.11556
234,34.28612,-80.11104
235,34.29541,-80.09972
236,34.29656,-80.09744
237,34.3001,-80.08591
238,34.31301,-80.09004
239,34.31541,-80.09034
240,34.31661,-80.0902
241,34.31822,-80.08968
242,34.32958,-80.08393
243,34.33074,-80.083
244,34.33127,-80.08234
245,34.33626,-80.07418
246,34.33771,-80.0724
247,34.33914,-80.07148
248,34.34021,-80.07107
249,34.34529,-80.07035
250,34.34569,-80.06994
251,34.3459,-80.06916
252,34.3463,-80.06855
253,34.362,-80.05323
254,34.36395,-80.05153
255,34.3668,-80.04948
256,34.3833,-80.03862
257,34.38558,-80.0369
258,34.38746,-80.03497
259,34.39409,-80.02635
260,34.39506,-80.02538
261,34.39616,-80.02474
262,34.39745,-80.02441
263,34.39831,-80.02441
264,34.40382,-80.02517
265,34.40507,-80.02507
266,34.40582,-80.02449
267,34.40604,-80.02398
268,34.40681,-80.01928
269,34.40722,-80.01788
270,34.41104,-80.01064
271,34.41153,-80.00915
272,34.41169,-80.00756
273,34.41189,-79.99408
274,34.41249,-79.99168
275,34.41869,-79.97943
276,34.4576,-79.90981
277,34.47773,-79.88691
278,34.48942,-79.87272
279,34.49263,-79.87105
280,34.49901,-79.86621
281,34.50294,-79.86102
282,34.51056,-79.85316
283,34.5218,-79.84003
284,34.52326,-79.83776
285,34.53208,-79.81935
286,34.53424,-79.81594
287,34.56563,-79.77764
288,34.56746,-79.77586
289,34.5781,-79.76776
290,34.57925,-79.7666
291,34.59908,-79.73423
292,34.60037,-79.73161
293,34.60669,-79.71491
294,34.60688,-79.71388
295,34.60691,-79.71229
296,34.60486,-79.69526
297,34.60484,-79.68979
298,34.60515,-79.68763
299,34.60641,-79.68381
300,34.60833,-79.6794
301,34.61102,-79.67244
302,34.61682,-79.66109
303,34.62247,-79.64693
304,34.623,-79.64519
305,34.62452,-79.63438
306,34.62462,-79.63207
307,34.62417,-79.62591
308,34.62219,-79.61857
309,34.62205,-79.61645
310,34.62224,-79.61525
311,34.62465,-79.60697
312,34.62527,-79.60573
313,34.62623,-79.60439
314,34.63192,-79.5988
315,34.63912,-79.59114
316,34.64358,-79.58695
317,34.6462,-79.58394
318,34.65026,-79.57735
319,34.6535,-79.56732
320,34.6541,-79.56607
321,34.65509,-79.56465
322,34.66517,-79.55562
323,34.67193,-79.5482
324,34.6764,-79.54253
325,34.67758,-79.54181
326,34.68433,-79.53871
327,34.68518,-79.53814
328,34.68614,-79.53691
329,34.68799,-79.53291
330,34.6889,-79.5319
331,34.70939,-79.51927
332,34.74147,-79.49481
333,34.74287,-79.49315
334,34.74961,-79.4835
335,34.75067,-79.48258
336,34.75172,-79.48203
337,34.75316,-79.48167
338,34.76801,-79.48153
339,34.76963,-79.48117
340,34.77139,-79.4804
341,34.7735,-79.47886
342,34.79374,-79.46146
343,34.79443,-79.46082
344,34.79516,-79.45975
345,34.79592,-79.45782
346,34.80028,-79.45818
347,34.83567,-79.4593
348,34.8404,-79.45903
349,34.84082,-79.45879
350,34.84114,-79.45837
351,34.84231,-79.45891
352,34.84997,-79.45832
353,34.90714,-79.44761
354,34.91262,-79.4467
355,35.01516,-79.44655
356,35.01636,-79.44634
357,35.01804,-79.44574
358,35.02896,-79.43899
359,35.0309,-79.4381
360,35.03222,-79.43773
361,35.05267,-79.43414
362,35.07756,-79.4289
363,35.07906,-79.4287
364,35.09785,-79.42767
365,35.1144,-79.42691
366,35.11891,-79.42685
367,35.1206,-79.42726
368,35.1223,-79.42815
369,35.12484,-79.42977
370,35.12801,-79.43221
371,35.13013,-79.43045
372,35.13161,-79.42973
373,35.14442,-79.4223
374,35.15298,-79.41643
375,35.15499,-79.41763
376,35.16686,-79.42299
377,35.17148,-79.42534
378,35.17412,-79.42759
379,35.18561,-79.44136
380,35.18767,-79.44337
381,35.19575,-79.44865
382,35.19772,-79.44958
383,35.19979,-79.45017
384,35.20063,-79.45016
385,35.20128,-79.44953
386,35.20184,-79.44938
387,35.20234,-79.44962
388,35.20285,-79.45036
389,35.2034,-79.4506
390,35.21808,-79.452
391,35.21999,-79.45189
392,35.22476,-79.45124
393,35.22727,-79.4507
394,35.23343,-79.4488
395,35.24586,-79.44486
396,35.2522,-79.44262
397,35.2624,-79.43979
398,35.26463,-79.43882
399,35.26866,-79.43639
400,35.27665,-79.43372
401,35.27885,-79.43275
402,35.28517,-79.42948
403,35.29379,-79.4262
404,35.29625,-79.42469
405,35.30112,-79.42044
406,35.30312,-79.41916
407,35.30465,-79.41856
408,35.31338,-79.41615
409,35.31602,-79.41526
410,35.31799,-79.4139
411,35.32213,-79.40978
412,35.32501,-79.40722
413,35.33139,-79.40253
414,35.33292,-79.40169
415,35.33427,-79.40121
416,35.33797,-79.40067
417,35.33898,-79.40035
418,35.33996,-79.39981
419,35.34148,-79.39826
420,35.34271,-79.39625
421,35.3436,-79.39372
422,35.3464,-79.38495
423,35.34736,-79.38132
424,35.34791,-79.37668
