,Latitude,Longitude
0,37.78743,-80.22427
1,37.78752,-80.22422
2,37.78781,-80.2241
3,37.78804,-80.22399
4,37.78821,-80.2239
5,37.78862,-80.22366
6,37.78862,-80.22365
7,37.78882,-80.22351
8,37.7892,-80.22322
9,37.78951,-80.22291
10,37.78973,-80.22267
11,37.78991,-80.22245
12,37.79007,-80.22222
13,37.79019,-80.22203
14,37.79033,-80.22178
15,37.79046,-80.22152
16,37.79058,-80.22125
17,37.79078,-80.22067
18,37.79092,-80.22014
19,37.79097,-80.21987
20,37.79097,-80.21986
21,37.79102,-80.21955
22,37.7911,-80.21889
23,37.79114,-80.21867
24,37.79116,-80.21852
25,37.79123,-80.21816
26,37.79139,-80.21753
27,37.79147,-80.21728
28,37.79155,-80.21708
29,37.79157,-80.21702
30,37.7917,-80.21673
31,37.79183,-80.21649
32,37.79221,-80.2159
33,37.79255,-80.21548
34,37.79324,-80.21481
35,37.79591,-80.2124
36,37.79623,-80.21209
37,37.7968,-80.21157
38,37.79682,-80.21156
39,37.79703,-80.21135
40,37.79738,-80.21098
41,37.7975,-80.21084
42,37.7979,-80.21033
43,37.79809,-80.21006
44,37.79852,-80.20938
45,37.79869,-80.20907
46,37.79887,-80.20872
47,37.79901,-80.20841
48,37.79904,-80.20832
49,37.79908,-80.20824
50,37.79919,-80.20796
51,37.79923,-80.20787
52,37.79928,-80.20774
53,37.79957,-80.20679
54,37.79965,-80.20649
55,37.80009,-80.20461
56,37.80025,-80.20404
57,37.80039,-80.20358
58,37.8008,-80.20239
59,37.80196,-80.19957
60,37.80197,-80.19954
61,37.80331,-80.19629
62,37.80361,-80.19564
63,37.80385,-80.19518
64,37.80393,-80.19505
65,37.80421,-80.19465
66,37.80452,-80.19427
67,37.80466,-80.19412
68,37.80482,-80.19396
69,37.80497,-80.19382
70,37.80516,-80.19363
71,37.80965,-80.19001
72,37.80975,-80.18992
73,37.8125,-80.18768
74,37.81283,-80.18736
75,37.8131,-80.18705
76,37.81322,-80.1869
77,37.81344,-80.1866
78,37.81358,-80.18639
79,37.81382,-80.18598
80,37.81384,-80.18593
81,37.81391,-80.18581
82,37.81398,-80.18566
83,37.81407,-80.18544
84,37.81413,-80.18532
85,37.8142,-80.18513
86,37.81425,-80.18501
87,37.81428,-80.18491
88,37.81443,-80.18449
89,37.81454,-80.1841
90,37.81461,-80.18379
91,37.81462,-80.18376
92,37.81485,-80.18262
93,37.81486,-80.18259
94,37.81492,-80.18229
95,37.81497,-80.18211
96,37.81501,-80.18193
97,37.81514,-80.18152
98,37.81519,-80.18134
99,37.81524,-80.18123
100,37.81529,-80.18109
101,37.81554,-80.18053
102,37.81575,-80.18013
103,37.81589,-80.1799
104,37.81598,-80.17978
105,37.81614,-80.17955
106,37.81619,-80.17949
107,37.81621,-80.17946
108,37.81628,-80.17939
109,37.81644,-80.17921
110,37.81729,-80.17843
111,37.81792,-80.17782
112,37.81817,-80.17754
113,37.81839,-80.17728
114,37.81865,-80.17694
115,37.81903,-80.17638
116,37.81912,-80.17623
117,37.8195,-80.17553
118,37.81967,-80.17517
119,37.82028,-80.17395
120,37.82059,-80.17338
121,37.82085,-80.17296
122,37.82086,-80.17295
123,37.82095,-80.17281
