,Latitude,Longitude
0,36.68821,-96.68365
1,36.68823,-96.68373
2,36.68823,-96.6841
3,36.68824,-96.68446
4,36.68824,-96.68474
5,36.68825,-96.68483
6,36.68829,-96.68569
7,36.68829,-96.68591
8,36.6883,-96.68611
9,36.6883,-96.68625
10,36.68831,-96.6866
11,36.6883,-96.68703
12,36.6883,-96.6886
13,36.68828,-96.69035
14,36.68828,-96.69094
15,36.68827,-96.69125
16,36.68827,-96.69192
17,36.68823,-96.69462
18,36.68816,-96.69555
19,36.68814,-96.69591
20,36.68813,-96.69626
21,36.68813,-96.69637
22,36.68811,-96.69642
23,36.68808,-96.69967
24,36.68808,-96.70061
25,36.68806,-96.70251
26,36.68806,-96.70443
27,36.68805,-96.70466
28,36.68807,-96.70583
29,36.68807,-96.70613
30,36.68808,-96.70639
31,36.68808,-96.7067
32,36.68814,-96.70887
33,36.6883,-96.71186
34,36.6884,-96.71335
35,36.68841,-96.71341
36,36.68848,-96.71446
37,36.6886,-96.71599
38,36.68865,-96.7168
39,36.68902,-96.72186
40,36.6891,-96.72281
41,36.6891,-96.72283
42,36.68912,-96.72303
43,36.68914,-96.72318
44,36.68916,-96.72337
45,36.68918,-96.72362
46,36.6893,-96.72454
47,36.68945,-96.72546
48,36.68961,-96.72633
49,36.68976,-96.72706
50,36.68983,-96.72733
51,36.68983,-96.72736
52,36.68998,-96.72794
53,36.69005,-96.72823
54,36.69016,-96.72861
55,36.69018,-96.72869
56,36.69042,-96.72945
57,36.69057,-96.72996
58,36.69096,-96.7312
59,36.69106,-96.73155
60,36.69115,-96.73182
61,36.69161,-96.73331
62,36.69171,-96.73361
63,36.69184,-96.73406
64,36.69187,-96.73414
65,36.69203,-96.73464
66,36.6921,-96.73489
67,36.69226,-96.73538
68,36.69341,-96.73911
69,36.69353,-96.73947
70,36.69362,-96.73979
71,36.69371,-96.74008
72,36.69375,-96.74024
73,36.69382,-96.74048
74,36.69387,-96.74068
75,36.69398,-96.74108
76,36.69429,-96.74246
77,36.69436,-96.74285
78,36.69439,-96.74299
79,36.69441,-96.74313
80,36.69444,-96.74329
81,36.69446,-96.74345
82,36.69449,-96.74358
83,36.69462,-96.74443
84,36.69464,-96.74462
85,36.69472,-96.74524
86,36.69478,-96.74586
87,36.6948,-96.74602
88,36.69489,-96.74727
89,36.69489,-96.74739
90,36.6949,-96.74753
91,36.6949,-96.74768
92,36.69491,-96.7479
93,36.69493,-96.74904
94,36.69494,-96.75629
95,36.69495,-96.75708
96,36.69496,-96.76264
97,36.69497,-96.7634
98,36.69498,-96.77007
99,36.69499,-96.77022
100,36.69498,-96.77128
101,36.69499,-96.77508
102,36.695,-96.77586
103,36.69504,-96.79319
104,36.69503,-96.79351
105,36.69508,-96.8142
106,36.69504,-96.85849
107,36.69503,-96.85872
108,36.69503,-96.85893
109,36.695,-96.85984
110,36.69495,-96.86072
111,36.69494,-96.86099
112,36.69491,-96.86127
113,36.69486,-96.86195
114,36.69473,-96.8631
115,36.69471,-96.86332
116,36.69468,-96.8635
117,36.69463,-96.86392
118,36.69447,-96.86498
119,36.69431,-96.86589
120,36.69412,-96.86688
121,36.69402,-96.86732
122,36.69398,-96.86752
123,36.69398,-96.86753
124,36.69362,-96.86902
125,36.69361,-96.86903
126,36.69356,-96.86925
127,36.69334,-96.87002
128,36.69323,-96.87043
129,36.69308,-96.87092
130,36.69294,-96.87135
131,36.69282,-96.87174
132,36.69272,-96.87204
133,36.69251,-96.87261
134,36.69242,-96.87287
135,36.692,-96.87397
136,36.69171,-96.87467
137,36.69131,-96.8756
138,36.69085,-96.87671
139,36.69031,-96.87811
140,36.69006,-96.87882
141,36.68972,-96.87984
142,36.68947,-96.88067
143,36.68935,-96.88109
144,36.68929,-96.88132
145,36.68918,-96.88171
146,36.68896,-96.88258
147,36.68863,-96.88406
148,36.68854,-96.88451
149,36.68832,-96.8857
150,36.68815,-96.88681
151,36.68803,-96.88775
152,36.68783,-96.88978
153,36.68775,-96.89111
154,36.68775,-96.8912
155,36.68774,-96.89134
156,36.68771,-96.89223
157,36.68771,-96.89242
158,36.6877,-96.89287
159,36.6877,-96.89787
160,36.68769,-96.89854
161,36.68768,-96.90434
162,36.68767,-96.90505
163,36.68768,-96.90558
164,36.68765,-96.9137
165,36.68762,-96.91468
166,36.68754,-96.91576
167,36.68749,-96.9163
168,36.68745,-96.91662
169,36.68745,-96.91669
170,36.68741,-96.91696
171,36.68736,-96.91739
172,36.68733,-96.91756
173,36.68733,-96.91757
174,36.68729,-96.91789
175,36.68721,-96.91839
176,36.68712,-96.91884
177,36.68709,-96.91904
178,36.68703,-96.91937
179,36.68697,-96.91964
180,36.68695,-96.91976
181,36.68687,-96.92009
182,36.6868,-96.92042
183,36.68674,-96.92067
184,36.6867,-96.92081
185,36.68668,-96.9209
186,36.68665,-96.921
187,36.68648,-96.92165
188,36.68644,-96.92179
189,36.68642,-96.92185
190,36.68637,-96.92205
191,36.68631,-96.92222
192,36.68628,-96.92235
193,36.68623,-96.92251
194,36.68618,-96.92265
195,36.68614,-96.92281
196,36.68607,-96.92299
197,36.68594,-96.92339
198,36.68581,-96.92376
199,36.68497,-96.92602
200,36.68478,-96.92651
201,36.68448,-96.92734
202,36.68351,-96.92994
203,36.68324,-96.93064
204,36.68177,-96.93458
205,36.68169,-96.93477
206,36.68094,-96.93678
207,36.68084,-96.93707
208,36.68033,-96.93843
209,36.68025,-96.93863
210,36.67979,-96.93985
211,36.67972,-96.94006
212,36.67949,-96.94067
213,36.67948,-96.94068
214,36.67934,-96.94107
215,36.67869,-96.9428
216,36.6785,-96.94334
217,36.67843,-96.94357
218,36.67835,-96.94379
219,36.67803,-96.94485
220,36.67791,-96.94531
221,36.67783,-96.94559
222,36.67781,-96.94568
223,36.67776,-96.94586
224,36.67774,-96.94596
225,36.67771,-96.94607
226,36.67751,-96.94696
227,36.67746,-96.94724
228,36.67735,-96.94778
229,36.67731,-96.948
230,36.67728,-96.94822
231,36.67724,-96.94842
232,36.67716,-96.94895
233,36.67707,-96.94961
234,36.67703,-96.94998
235,36.677,-96.95021
236,36.67694,-96.95088
237,36.67688,-96.95166
238,36.67684,-96.95251
239,36.67684,-96.95266
240,36.67683,-96.95289
241,36.67683,-96.95314
242,36.67682,-96.9534
243,36.67682,-96.9537
244,36.67683,-96.95415
245,36.67683,-96.95475
246,36.67684,-96.95509
247,36.67685,-96.95677
248,36.67687,-96.95812
249,36.67686,-96.96389
250,36.67685,-96.96454
251,36.67671,-96.9878
252,36.6767,-96.98827
253,36.67671,-96.98851
254,36.67671,-96.98901
255,36.67673,-96.98941
256,36.67674,-96.98976
257,36.67678,-96.99018
258,36.67679,-96.99036
259,36.67681,-96.99047
260,36.67682,-96.9906
261,36.67693,-96.99142
262,36.67699,-96.99178
263,36.677,-96.99178
264,36.67703,-96.99199
265,36.67708,-96.99221
266,36.67711,-96.99236
267,36.67724,-96.99293
268,36.67728,-96.99308
269,36.67732,-96.99318
270,36.67733,-96.9932
271,36.67734,-96.99323
272,36.67734,-96.99325
273,36.67735,-96.99327
274,36.67737,-96.99332
275,36.67743,-96.99354
276,36.6777,-96.99439
277,36.6778,-96.99468
278,36.67791,-96.99498
279,36.67798,-96.99514
280,36.67801,-96.99524
281,36.67807,-96.99538
282,36.67817,-96.99563
283,36.67851,-96.99637
284,36.67881,-96.99707
285,36.67891,-96.99729
286,36.67901,-96.99753
287,36.67916,-96.99791
288,36.67918,-96.99794
289,36.6792,-96.99802
290,36.67922,-96.99805
291,36.67925,-96.99816
292,36.67929,-96.99828
293,36.67935,-96.99841
294,36.67939,-96.99853
295,36.67948,-96.99876
296,36.67961,-96.99913
297,36.67964,-96.99923
298,36.67969,-96.99938
299,36.67975,-96.99958
300,36.67979,-96.9997
301,36.67999,-97.00038
302,36.68007,-97.00071
303,36.68011,-97.00086
304,36.68014,-97.00102
305,36.68025,-97.00151
