,Latitude,Longitude
0,37.78751,-80.22446
1,37.78675,-80.22482
2,37.78638,-80.22499
3,37.78632,-80.22503
4,37.78621,-80.22508
5,37.78608,-80.22515
6,37.78585,-80.22528
7,37.78579,-80.22531
8,37.78559,-80.22543
9,37.78542,-80.22554
10,37.78532,-80.22563
11,37.78513,-80.22578
12,37.78497,-80.22593
13,37.78488,-80.22603
14,37.78477,-80.22615
15,37.78463,-80.22632
16,37.78452,-80.22646
17,37.78442,-80.22662
18,37.78427,-80.22684
19,37.78419,-80.22699
20,37.7841,-80.22715
21,37.78397,-80.22744
22,37.78384,-80.22775
23,37.78373,-80.22804
24,37.78336,-80.22919
25,37.78303,-80.23023
26,37.78296,-80.23044
27,37.78291,-80.23061
28,37.78279,-80.23098
29,37.78274,-80.23114
30,37.78268,-80.23139
31,37.78263,-80.2316
32,37.78259,-80.23179
33,37.78253,-80.23213
34,37.78251,-80.23227
35,37.78249,-80.23241
36,37.78248,-80.23254
37,37.78245,-80.23283
38,37.78245,-80.23305
39,37.78245,-80.23318
40,37.78245,-80.2333
41,37.78246,-80.2334
42,37.78247,-80.23354
43,37.78249,-80.23381
44,37.78251,-80.23395
45,37.78253,-80.23409
46,37.78257,-80.23434
47,37.78262,-80.23454
48,37.78267,-80.23474
49,37.78273,-80.23492
50,37.78279,-80.23511
51,37.78286,-80.23532
52,37.78295,-80.23557
53,37.78304,-80.23578
54,37.78347,-80.23683
55,37.78405,-80.23826
56,37.78433,-80.23895
57,37.78459,-80.23961
58,37.78511,-80.24085
59,37.78533,-80.24141
60,37.78536,-80.24146
61,37.78541,-80.24161
62,37.78615,-80.24341
63,37.78646,-80.24418
64,37.78653,-80.24438
65,37.7866,-80.24453
66,37.78671,-80.24484
67,37.7869,-80.24539
68,37.787,-80.24572
69,37.78725,-80.24652
70,37.78766,-80.24782
71,37.78786,-80.24844
72,37.7881,-80.24921
73,37.78828,-80.24977
74,37.78837,-80.25007
75,37.78848,-80.25044
76,37.78857,-80.25076
77,37.78861,-80.25092
78,37.78865,-80.25112
79,37.7887,-80.25138
80,37.78873,-80.25157
81,37.78875,-80.25173
82,37.78878,-80.25204
83,37.7888,-80.25224
84,37.7888,-80.25241
85,37.7888,-80.25268
86,37.7888,-80.25286
87,37.78879,-80.25307
88,37.78877,-80.25321
89,37.78875,-80.25339
90,37.78871,-80.25368
91,37.78867,-80.25394
92,37.78863,-80.25415
93,37.7886,-80.25432
94,37.78854,-80.25458
95,37.78847,-80.2549
96,37.78835,-80.2554
97,37.78834,-80.25546
98,37.78828,-80.25573
99,37.7882,-80.2561
100,37.78813,-80.25644
101,37.7881,-80.25669
102,37.78806,-80.25694
103,37.78804,-80.25722
104,37.78804,-80.25723
105,37.78802,-80.25755
106,37.78802,-80.25778
107,37.78803,-80.25802
108,37.78803,-80.25823
109,37.78807,-80.25861
110,37.78809,-80.25882
111,37.78813,-80.25905
112,37.78836,-80.26047
113,37.78851,-80.26142
114,37.78864,-80.26218
115,37.7887,-80.26252
116,37.78875,-80.26283
117,37.78881,-80.26324
118,37.78911,-80.26507
119,37.78923,-80.26581
120,37.78934,-80.26636
121,37.78939,-80.26665
122,37.78945,-80.26688
123,37.78952,-80.26716
124,37.7896,-80.26739
125,37.78967,-80.26761
126,37.78976,-80.26784
127,37.78984,-80.26801
128,37.78992,-80.26818
129,37.78996,-80.26828
130,37.79005,-80.26844
131,37.79022,-80.26873
132,37.79035,-80.26893
133,37.79046,-80.26908
134,37.79052,-80.26916
135,37.7906,-80.26927
136,37.79079,-80.26949
137,37.79094,-80.26967
138,37.79116,-80.2699
139,37.79197,-80.27075
140,37.79226,-80.27105
141,37.79378,-80.27265
142,37.79447,-80.27333
143,37.79484,-80.27368
144,37.7955,-80.27427
145,37.79576,-80.27451
146,37.79726,-80.27585
147,37.79789,-80.27643
148,37.79815,-80.27667
149,37.79825,-80.27679
150,37.79838,-80.27684
151,37.79844,-80.27689
152,37.79855,-80.277
153,37.79878,-80.27727
154,37.79893,-80.27749
155,37.7991,-80.27776
156,37.79938,-80.2782
157,37.79939,-80.27821
158,37.79971,-80.27871
159,37.80004,-80.27924
160,37.8002,-80.27951
161,37.80026,-80.27964
162,37.80029,-80.2797
163,37.80031,-80.27978
164,37.80033,-80.27989
165,37.80034,-80.28002
166,37.80034,-80.28022
167,37.80033,-80.28032
168,37.80032,-80.28041
169,37.80032,-80.28051
170,37.8003,-80.28063
171,37.80029,-80.2807
172,37.80028,-80.28077
173,37.80022,-80.28101
