,Latitude,Longitude
0,37.05657,-97.40121
1,37.05671,-97.38722
2,37.05729,-97.36079
3,37.05791,-97.35371
4,37.05726,-97.34379
5,37.05702,-97.33126
6,37.05688,-97.31358
7,37.05681,-97.30564
8,37.05746,-97.29985
9,37.05726,-97.24552
10,37.05688,-97.23711
11,37.05647,-97.15806
12,37.05613,-97.13634
13,37.05661,-97.10528
14,37.0565,-97.06782
15,37.05634,-97.05816
16,37.05636,-97.03902
17,37.04895,-97.03891
18,37.04911,-97.0352
19,37.04918,-97.03402
20,37.04969,-97.03221
21,37.05022,-97.03106
22,37.05089,-97.03003
23,37.05174,-97.02915
24,37.05258,-97.02846
25,37.05387,-97.02788
26,37.05491,-97.02769
27,37.05668,-97.02766
28,37.06589,-97.02797
29,37.06702,-97.02781
30,37.06796,-97.02756
31,37.06928,-97.02685
32,37.07311,-97.02473
33,37.07453,-97.02438
34,37.07789,-97.02449
35,37.07756,-96.99681
36,37.07811,-96.98896
37,37.07808,-96.94364
38,37.07739,-96.93055
39,37.07709,-96.8742
40,37.07774,-96.86163
41,37.0774,-96.85219
42,37.07753,-96.85013
43,37.07794,-96.84837
44,37.07853,-96.84656
45,37.07952,-96.84446
46,37.09239,-96.82704
47,37.09421,-96.82511
48,37.09948,-96.82073
49,37.10116,-96.81863
50,37.10198,-96.81687
51,37.10246,-96.8152
52,37.1027,-96.81305
53,37.1028,-96.80387
54,37.10297,-96.80206
55,37.10365,-96.79906
56,37.11022,-96.77619
57,37.11081,-96.77258
58,37.11125,-96.66358
59,37.1105,-96.65233
60,37.11125,-96.60058
61,37.11064,-96.59688
62,37.10763,-96.58324
63,37.10694,-96.57062
64,37.10667,-96.54041
65,37.10715,-96.53826
66,37.10749,-96.53698
67,37.10964,-96.53131
68,37.11006,-96.52921
69,37.11009,-96.52663
70,37.11006,-96.51749
71,37.11047,-96.51444
72,37.11118,-96.51204
73,37.11214,-96.51041
74,37.11403,-96.50732
75,37.11488,-96.50522
76,37.11543,-96.50337
77,37.1156,-96.50161
78,37.11557,-96.49848
79,37.11396,-96.46951
80,37.11314,-96.46179
81,37.113,-96.4178
82,37.113,-96.41274
83,37.11221,-96.4081
84,37.11225,-96.4045
85,37.1129,-96.39806
86,37.11276,-96.36214
87,37.11348,-96.35364
88,37.11327,-96.34382
89,37.11372,-96.33197
90,37.11324,-96.32678
91,37.11317,-96.32172
92,37.11303,-96.27872
93,37.11303,-96.26207
94,37.11262,-96.25966
95,37.11197,-96.25791
96,37.10191,-96.23756
97,37.10109,-96.23632
98,37.09921,-96.2337
99,37.08709,-96.22259
100,37.08589,-96.22108
101,37.0849,-96.21932
102,37.08401,-96.21662
103,37.08353,-96.21332
104,37.08353,-96.21027
105,37.08336,-96.18894
106,37.08373,-96.18482
107,37.0838,-96.18182
108,37.08377,-96.17508
109,37.08298,-96.16971
110,37.08295,-96.16495
111,37.08274,-96.12633
112,37.08197,-96.11349
113,37.08161,-96.1101
114,37.07596,-96.08393
115,37.07103,-96.06685
116,37.07042,-96.06453
117,37.07014,-96.06174
118,37.07018,-96.05809
119,37.06967,-96.03908
120,37.0673,-96.02148
121,37.06727,-96.01977
122,37.06792,-96.01625
123,37.06778,-95.98531
124,37.0671,-95.92647
125,37.06638,-95.92617
126,37.0646,-95.92651
127,37.06107,-95.92801
128,37.05957,-95.92832
129,37.05802,-95.92844
130,37.02391,-95.92832
131,37.0236,-95.89425
132,37.02384,-95.8927
133,37.02452,-95.8903
134,37.03298,-95.86807
135,37.03343,-95.86541
136,37.03305,-95.81657
137,37.03333,-95.81048
138,37.03292,-95.73623
139,37.03326,-95.73422
140,37.03377,-95.73229
141,37.03569,-95.72808
142,37.03641,-95.72563
143,37.03672,-95.72272
144,37.03631,-95.66839
145,37.03511,-95.66461
146,37.03442,-95.66135
147,37.03336,-95.65311
148,37.03319,-95.63757
149,37.03285,-95.60951
150,37.03285,-95.60397
151,37.03306,-95.60277
152,37.03371,-95.60174
153,37.03922,-95.59749
154,37.04052,-95.5956
155,37.04398,-95.58509
156,37.04488,-95.5832
157,37.04635,-95.58208
158,37.04512,-95.57929
159,37.04474,-95.57629
160,37.04361,-95.55711
161,37.04142,-95.54136
162,37.04131,-95.5369
163,37.04197,-95.52672
164,37.04246,-95.52415
165,37.04361,-95.52123
166,37.04755,-95.51428
167,37.04858,-95.51046
168,37.04889,-95.50703
169,37.04885,-95.4845
170,37.04855,-95.45926
171,37.04909,-95.45557
172,37.05009,-95.4512
173,37.05033,-95.44763
174,37.04759,-95.42038
175,37.04735,-95.41579
176,37.048,-95.40141
177,37.04872,-95.37596
178,37.04838,-95.35846
179,37.04851,-95.34597
180,37.04831,-95.34026
181,37.04848,-95.32769
182,37.04814,-95.32429
183,37.04827,-95.30086
184,37.048,-95.27958
185,37.04803,-95.24992
186,37.04817,-95.23563
187,37.04773,-95.21241
188,37.0479,-95.20254
189,37.04766,-95.19375
190,37.04793,-95.16216
191,37.04838,-95.13277
192,37.04811,-95.10045
193,37.04543,-95.10007
194,37.03916,-95.10024
195,37.0381,-95.09981
196,37.03752,-95.09929
197,37.03701,-95.09826
198,37.0368,-95.09728
199,37.03694,-95.07749
200,37.03668,-95.07584
201,37.03632,-95.07451
202,37.03279,-95.06679
203,37.03245,-95.06395
204,37.03094,-94.76488
205,37.03057,-94.76243
206,37.02926,-94.75964
207,37.02464,-94.75406
208,37.02378,-94.75119
209,37.02413,-94.74475
210,37.02368,-94.73462
211,37.02375,-94.7199
212,37.02358,-94.6433
213,37.0232,-94.64223
214,37.02159,-94.64141
215,37.0206,-94.64064
216,37.00634,-94.61927
217,36.99801,-94.6121
