,Latitude,Longitude
0,43.8850501,-94.1685244
1,43.8860866,-94.1684591
2,43.8866532,-94.1684446
3,43.8871959,-94.1684394
4,43.8876684,-94.1685009
5,43.8878921,-94.168529
6,43.8880719,-94.1685739
7,43.8882517,-94.1686187
8,43.8888349,-94.1688697
9,43.8892521,-94.1691156
10,43.8895584,-94.1693204
11,43.8898648,-94.1695561
12,43.8902081,-94.1698531
13,43.8905477,-94.1702015
14,43.8913118,-94.1710773
15,43.8920833,-94.1719584
16,43.8921815,-94.1720572
17,43.8924598,-94.1723374
18,43.8927404,-94.1725986
19,43.8929655,-94.1727677
20,43.8934675,-94.1730801
21,43.8940397,-94.1733772
22,43.8945121,-94.1735309
23,43.8949772,-94.1736436
24,43.8952502,-94.1737337
