,Latitude,Longitude
0,43.6520006,-94.0946164
1,43.6520079,-94.0945137
2,43.6520519,-94.0944129
3,43.6521036,-94.094372
4,43.6521491,-94.0943359
5,43.6522407,-94.0943231
6,43.6523104,-94.0943469
7,43.652369,-94.0943927
8,43.6524075,-94.0944606
9,43.6524222,-94.0945412
10,43.6524314,-94.0946494
11,43.6524149,-94.0947374
12,43.6523672,-94.0948327
13,43.6523122,-94.0948877
14,43.6522371,-94.0949152
15,43.6521729,-94.0949188
16,43.6521124,-94.0948895
17,43.6520446,-94.0948052
18,43.6520043,-94.0947007
19,43.6520006,-94.0946164
