,Latitude,Longitude
0,44.7778836,-93.5592611
1,44.7778648,-93.559478
2,44.7777628,-93.560527
3,44.7776403,-93.5618353
4,44.7775306,-93.562655
5,44.7773228,-93.563492
6,44.77704,-93.5643232
7,44.7767802,-93.5648831
8,44.7764454,-93.5654776
9,44.7761395,-93.5659683
10,44.7757758,-93.5664127
11,44.7752736,-93.5669207
12,44.7745983,-93.5675499
13,44.7736697,-93.568473
14,44.7733918,-93.5687448
15,44.7727107,-93.5694432
16,44.7719182,-93.5703143
17,44.7710558,-93.5714068
18,44.7703416,-93.5723571
19,44.7693881,-93.5736257
20,44.7690657,-93.574075
21,44.7687533,-93.5745071
22,44.7683777,-93.5750046
23,44.7679452,-93.5755744
24,44.7675891,-93.5760576
25,44.7671584,-93.5766012
26,44.7668344,-93.5769776
27,44.7665266,-93.5773546
28,44.7662221,-93.5777105
29,44.7659929,-93.577965
30,44.7657777,-93.5781994
31,44.7659929,-93.577965
32,44.7662221,-93.5777105
33,44.7665266,-93.5773546
34,44.7668344,-93.5769776
35,44.7671584,-93.5766012
36,44.7675891,-93.5760576
37,44.7679452,-93.5755744
38,44.7683777,-93.5750046
39,44.7687533,-93.5745071
40,44.7690657,-93.574075
41,44.7693881,-93.5736257
42,44.7703416,-93.5723571
43,44.7710558,-93.5714068
44,44.7719182,-93.5703143
45,44.7727107,-93.5694432
46,44.7733918,-93.5687448
47,44.7736697,-93.568473
48,44.7745983,-93.5675499
49,44.7752736,-93.5669207
50,44.7757758,-93.5664127
51,44.7761395,-93.5659683
52,44.7764454,-93.5654776
53,44.7767802,-93.5648831
54,44.77704,-93.5643232
55,44.7773228,-93.563492
56,44.7775306,-93.562655
57,44.7776403,-93.5618353
58,44.7777628,-93.560527
59,44.7778648,-93.559478
60,44.7778836,-93.5592611
61,44.7780603,-93.5567978
62,44.7780359,-93.5556734
63,44.7778653,-93.5546434
64,44.7777113,-93.5538478
65,44.7773116,-93.5524297
66,44.7777113,-93.5538478
67,44.7778653,-93.5546434
68,44.7780359,-93.5556734
69,44.7780603,-93.5567978
70,44.7778836,-93.5592611
