,Latitude,Longitude
0,46.1707312,-93.7585438
1,46.1719453,-93.7581407
2,46.1722414,-93.7580443
3,46.1726231,-93.757918
4,46.1727679,-93.7578732
5,46.1733028,-93.7577035
6,46.1734391,-93.7576587
7,46.1735867,-93.7576112
8,46.1738189,-93.757546
9,46.1742344,-93.7574103
10,46.1749105,-93.757191
11,46.1755691,-93.7569977
12,46.1758147,-93.7569389
13,46.1759905,-93.7568968
14,46.1766861,-93.7567614
15,46.17717,-93.7566822
16,46.1774135,-93.7566423
17,46.1779216,-93.75658
18,46.1788647,-93.7565123
19,46.1802465,-93.7565015
20,46.1817931,-93.7564907
21,46.1838066,-93.7564771
22,46.184223,-93.7564797
23,46.1844976,-93.7564959
24,46.1846843,-93.7565151
25,46.1849007,-93.7565431
26,46.1850578,-93.7565726
27,46.1854507,-93.7566581
28,46.1857298,-93.7567287
29,46.1859939,-93.7568286
30,46.1862537,-93.7569345
31,46.1865304,-93.7570586
32,46.1867818,-93.7571797
33,46.1870207,-93.7573189
34,46.1872743,-93.7574672
35,46.1876264,-93.7577155
36,46.1879218,-93.7579183
37,46.1882697,-93.758224
38,46.1892841,-93.7591434
39,46.1899893,-93.7598253
40,46.1907742,-93.7604381
41,46.191558,-93.7609936
42,46.191961,-93.7612348
43,46.1924819,-93.76153
44,46.1929971,-93.7618127
45,46.1934404,-93.7620414
46,46.1952399,-93.7630423
47,46.1961117,-93.7635602
48,46.1963795,-93.7637923
49,46.1961052,-93.7636929
50,46.1952642,-93.7632158
51,46.1949842,-93.7630778
52,46.1943642,-93.7627458
53,46.1936228,-93.7623552
54,46.1924054,-93.7617121
55,46.1920477,-93.761504
56,46.1917595,-93.7613239
57,46.191426,-93.7611135
58,46.1911298,-93.7609147
59,46.190827,-93.7606949
60,46.1907143,-93.7606222
61,46.1904093,-93.7603721
62,46.1900613,-93.7600798
63,46.1893619,-93.7594578
64,46.1888989,-93.7590485
65,46.1887856,-93.7589386
66,46.1881785,-93.7583727
67,46.1879664,-93.7581832
68,46.187743,-93.7580032
69,46.1875357,-93.7578582
70,46.1873479,-93.7577249
71,46.1871099,-93.7575682
72,46.186859,-93.7574232
73,46.1866048,-93.7572782
74,46.1863263,-93.757159
75,46.1860592,-93.757042
76,46.1858228,-93.7569508
77,46.1854958,-93.7568573
78,46.1851398,-93.7567756
79,46.1848649,-93.7567283
80,46.1845927,-93.7566992
81,46.1842943,-93.7566642
82,46.1838851,-93.7566613
83,46.1820801,-93.7566762
84,46.1818466,-93.7566716
85,46.1814538,-93.7566773
86,46.1801585,-93.7566961
87,46.180105,-93.7566959
88,46.1800018,-93.7566954
89,46.1796539,-93.756694
90,46.1786023,-93.756715
91,46.1781107,-93.7567593
92,46.177501,-93.7568246
93,46.1765558,-93.7569762
94,46.1757405,-93.7571637
95,46.1750607,-93.7573512
96,46.174629,-93.7574734
97,46.1745648,-93.7574948
98,46.1743956,-93.7575513
99,46.1741505,-93.7576313
100,46.173602,-93.7577916
101,46.173265,-93.7578939
102,46.1727694,-93.7580452
103,46.1723361,-93.7581515
104,46.1718065,-93.7582947
105,46.1707312,-93.7585438
106,46.1698148,-93.7588118
107,46.1696769,-93.7588661
108,46.1694703,-93.7589103
109,46.1689626,-93.7590668
110,46.1682068,-93.7593032
111,46.1678639,-93.7593945
112,46.1673576,-93.7595295
113,46.1666945,-93.7596788
114,46.1660673,-93.7597489
115,46.1652356,-93.7597455
116,46.1647183,-93.7596831
117,46.1643606,-93.7596444
118,46.1637563,-93.7595174
119,46.1635349,-93.7594554
120,46.1634868,-93.7594377
121,46.1630907,-93.7592926
122,46.162323,-93.758942
123,46.161328,-93.758385
124,46.160448,-93.757865
125,46.160114,-93.757657
126,46.159526,-93.757289
127,46.1584297,-93.7566826
128,46.157535,-93.756103
129,46.15667,-93.755567
130,46.156355,-93.755356
131,46.1559666,-93.7550488
132,46.1556857,-93.7547562
133,46.1553597,-93.7544029
134,46.1550619,-93.7539946
135,46.154564,-93.753157
136,46.154125,-93.752156
137,46.153761,-93.751142
138,46.1534861,-93.7503361
139,46.153394,-93.750066
140,46.153352,-93.749928
141,46.152723,-93.748148
142,46.152192,-93.746595
143,46.151767,-93.74532
144,46.151413,-93.744235
145,46.151247,-93.743723
146,46.151073,-93.743209
147,46.150807,-93.742426
148,46.15028,-93.740951
149,46.149921,-93.739832
150,46.149513,-93.738621
151,46.149044,-93.73708
152,46.148689,-93.735722
153,46.147882,-93.73286
154,46.147547,-93.731777
155,46.147452,-93.731471
156,46.147096,-93.730267
157,46.146702,-93.728879
158,46.146304,-93.727387
159,46.145966,-93.726158
160,46.145523,-93.724802
161,46.145347,-93.724096
162,46.145183,-93.723437
163,46.144783,-93.72217
164,46.144453,-93.720871
165,46.144036,-93.71952
166,46.143754,-93.718395
167,46.143528,-93.717237
168,46.143519,-93.717158
169,46.143407,-93.716045
170,46.14336,-93.714106
171,46.143351,-93.713764
172,46.143326,-93.712942
173,46.14326,-93.7121
174,46.143089,-93.711172
175,46.142752,-93.709987
176,46.142212,-93.708679
177,46.141438,-93.70696
178,46.140755,-93.705451
179,46.140705,-93.705331
180,46.140318,-93.704402
181,46.140186,-93.70411
182,46.139878,-93.703419
183,46.139378,-93.702251
184,46.139173,-93.701829
185,46.138818,-93.701097
186,46.138151,-93.699585
187,46.13784,-93.698879
188,46.137187,-93.697517
