,Latitude,Longitude
0,30.23484,-93.18036
1,30.2354,-93.18037
2,30.23612,-93.18039
3,30.23727,-93.18041
4,30.23811,-93.18043
5,30.23868,-93.18044
6,30.2423,-93.18052
7,30.24276,-93.18052
8,30.24377,-93.18044
9,30.24833,-93.18045
10,30.24955,-93.18048
11,30.25397,-93.18052
12,30.25478,-93.18053
13,30.25695,-93.18055
14,30.25764,-93.18055
15,30.25812,-93.18056
16,30.25901,-93.18057
17,30.25924,-93.18056
18,30.25968,-93.18057
19,30.26052,-93.18058
20,30.26092,-93.18058
21,30.26213,-93.1806
22,30.26306,-93.1806
23,30.26416,-93.18061
24,30.26421,-93.18061
25,30.26464,-93.18065
26,30.26552,-93.18082
27,30.26626,-93.18099
28,30.27178,-93.1823
29,30.27207,-93.18237
30,30.27279,-93.18254
31,30.27325,-93.18264
32,30.27631,-93.18335
33,30.27755,-93.18371
34,30.27863,-93.18411
35,30.27967,-93.18456
36,30.28075,-93.18511
37,30.28159,-93.1856
38,30.28261,-93.18624
39,30.29125,-93.19193
40,30.29467,-93.19421
41,30.2953,-93.19456
42,30.29583,-93.1948
43,30.29632,-93.19498
44,30.29675,-93.19513
45,30.29769,-93.19531
46,30.29829,-93.19536
47,30.29851,-93.19537
48,30.29862,-93.19537
49,30.30066,-93.19524
50,30.30555,-93.19501
51,30.3086,-93.19486
52,30.30922,-93.19491
53,30.3094,-93.19493
54,30.31014,-93.19509
55,30.31081,-93.19531
56,30.31157,-93.19571
57,30.3116,-93.19573
58,30.31518,-93.19787
59,30.31561,-93.19812
60,30.31627,-93.1985
61,30.31692,-93.19889
62,30.31743,-93.19913
63,30.31773,-93.19926
64,30.31798,-93.19938
65,30.31834,-93.19953
66,30.31861,-93.19963
67,30.31898,-93.19976
68,30.31931,-93.19985
69,30.3196,-93.19993
70,30.31987,-93.19998
71,30.32026,-93.20005
72,30.32071,-93.20011
73,30.32097,-93.20013
74,30.32117,-93.20015
75,30.32493,-93.20018
76,30.32521,-93.20018
77,30.32628,-93.20019
78,30.3728,-93.20047
79,30.37341,-93.20055
80,30.37375,-93.20066
81,30.37418,-93.20086
82,30.37458,-93.2011
83,30.37508,-93.20151
84,30.37533,-93.2018
85,30.37575,-93.20231
86,30.39613,-93.2296
87,30.39705,-93.23068
88,30.39796,-93.23143
89,30.39897,-93.23202
90,30.40002,-93.23244
91,30.40106,-93.23265
92,30.40198,-93.23273
93,30.46114,-93.2327
94,30.51005,-93.23258
95,30.57415,-93.23235
96,30.57602,-93.23224
97,30.5782,-93.23194
98,30.58532,-93.23088
99,30.58645,-93.23077
100,30.58783,-93.23086
101,30.59786,-93.2317
102,30.60067,-93.23201
103,30.60627,-93.23244
104,30.60655,-93.23247
105,30.6071,-93.23251
106,30.60719,-93.23251
107,30.60807,-93.23249
108,30.60821,-93.2325
109,30.60849,-93.23248
110,30.60876,-93.23249
111,30.60904,-93.23248
112,30.60942,-93.2325
113,30.60977,-93.23249
114,30.61286,-93.23236
115,30.65037,-93.23271
116,30.66843,-93.23284
117,30.66941,-93.23291
118,30.67038,-93.23318
119,30.67099,-93.23348
120,30.67958,-93.23803
121,30.68023,-93.23834
122,30.6809,-93.23855
123,30.68158,-93.23858
124,30.68224,-93.23847
125,30.68319,-93.23827
126,30.68543,-93.23761
127,30.68611,-93.23746
128,30.6868,-93.23738
129,30.6875,-93.23735
130,30.74955,-93.23777
131,30.75005,-93.23777
132,30.75039,-93.2378
133,30.75074,-93.23782
134,30.75166,-93.23793
135,30.75179,-93.23796
136,30.75191,-93.23797
137,30.7522,-93.23806
138,30.75264,-93.2382
139,30.75298,-93.23833
140,30.7533,-93.23848
141,30.7553,-93.23938
142,30.75562,-93.23951
143,30.75602,-93.23964
144,30.7563,-93.23973
145,30.75664,-93.23981
146,30.75728,-93.23992
147,30.75734,-93.23993
148,30.75747,-93.23994
149,30.75761,-93.23994
