,Latitude,Longitude
0,31.15894,-93.26612
1,31.15802,-93.26574
2,31.15775,-93.26563
3,31.15754,-93.26555
4,31.15713,-93.26541
5,31.15697,-93.26536
6,31.15692,-93.26535
7,31.15682,-93.26532
8,31.15664,-93.26528
9,31.15647,-93.26525
10,31.156,-93.26516
11,31.15557,-93.26513
12,31.15534,-93.26512
13,31.15513,-93.26511
14,31.15455,-93.26512
15,31.15367,-93.26512
16,31.153,-93.26513
17,31.15267,-93.26514
18,31.15182,-93.26514
19,31.15175,-93.26514
20,31.15092,-93.26514
21,31.14986,-93.26515
22,31.14941,-93.26515
23,31.14904,-93.26516
24,31.14798,-93.26516
25,31.14707,-93.26516
26,31.1468,-93.26516
27,31.14573,-93.26511
28,31.14568,-93.26512
29,31.14491,-93.26508
30,31.14465,-93.26505
31,31.14433,-93.26505
32,31.14394,-93.26503
33,31.14325,-93.265
34,31.14255,-93.26498
35,31.14187,-93.26495
36,31.14119,-93.26493
37,31.14063,-93.26491
38,31.14049,-93.2649
39,31.13941,-93.26486
40,31.13911,-93.26485
41,31.13867,-93.26486
42,31.13846,-93.26489
43,31.13826,-93.26493
44,31.13796,-93.265
45,31.13768,-93.26508
46,31.13748,-93.26516
47,31.13734,-93.26522
48,31.13728,-93.26524
49,31.13723,-93.26526
50,31.13668,-93.26551
51,31.13634,-93.26565
52,31.13622,-93.26569
53,31.13593,-93.26579
54,31.13579,-93.26583
55,31.13536,-93.26593
56,31.13515,-93.26597
57,31.13493,-93.266
58,31.13472,-93.26602
59,31.13428,-93.26604
60,31.13415,-93.26604
61,31.13363,-93.26605
62,31.13311,-93.26605
63,31.13264,-93.26606
64,31.13257,-93.26599
