,Latitude,Longitude
0,32.75081,-96.77025
1,32.74866,-96.76959
2,32.74715,-96.76852
3,32.74549,-96.76651
4,32.7449,-96.76497
5,32.74466,-96.76333
6,32.74473,-96.762
7,32.74501,-96.76076
8,32.74557,-96.75918
9,32.74669,-96.75615
10,32.74697,-96.75512
11,32.74711,-96.75435
12,32.7472,-96.75359
13,32.74723,-96.75264
14,32.74724,-96.7444
15,32.74718,-96.74264
16,32.747,-96.74086
17,32.74535,-96.72801
18,32.74511,-96.72687
19,32.74472,-96.72588
20,32.74427,-96.72498
21,32.7437,-96.72416
22,32.74293,-96.72326
23,32.73559,-96.71469
24,32.73482,-96.71389
25,32.73292,-96.71227
26,32.7322,-96.71152
27,32.73152,-96.71062
28,32.72951,-96.70768
29,32.72864,-96.7063
30,32.72593,-96.70232
31,32.72505,-96.70114
32,32.7236,-96.69899
33,32.71745,-96.68997
34,32.71652,-96.68841
35,32.7158,-96.6872
36,32.71517,-96.68618
37,32.71007,-96.67872
38,32.70949,-96.67778
39,32.70902,-96.67691
40,32.70849,-96.67608
41,32.70621,-96.67275
42,32.70568,-96.67176
43,32.7053,-96.67076
44,32.70502,-96.66963
45,32.70458,-96.66772
46,32.70439,-96.6667
47,32.7043,-96.66567
48,32.70403,-96.66441
49,32.70324,-96.66125
50,32.70254,-96.65786
51,32.70188,-96.65529
52,32.70095,-96.65189
53,32.69993,-96.64883
54,32.69899,-96.64653
55,32.69791,-96.64456
56,32.6953,-96.63975
57,32.69453,-96.6382
58,32.69369,-96.63652
59,32.69259,-96.63454
60,32.68452,-96.62
61,32.68326,-96.61743
62,32.66526,-96.57907
63,32.6644,-96.5775
64,32.66302,-96.57552
65,32.66217,-96.57398
66,32.66087,-96.57132
67,32.6547,-96.55733
68,32.65416,-96.55586
69,32.6536,-96.55406
70,32.653,-96.55247
71,32.64961,-96.54464
72,32.6489,-96.54285
73,32.64836,-96.54091
74,32.64803,-96.53924
75,32.63503,-96.46618
76,32.63457,-96.4628
77,32.63412,-96.45867
78,32.63361,-96.45655
79,32.63294,-96.45481
80,32.63217,-96.45347
81,32.63124,-96.45222
82,32.62671,-96.44642
83,32.62564,-96.44481
84,32.62477,-96.44308
85,32.62339,-96.44005
86,32.61675,-96.42477
87,32.61598,-96.42278
88,32.61541,-96.42062
89,32.61503,-96.41837
90,32.61366,-96.40881
91,32.61349,-96.40654
92,32.6135,-96.40468
93,32.61353,-96.39668
94,32.61327,-96.39486
95,32.6128,-96.39341
96,32.61225,-96.39217
97,32.61162,-96.39117
98,32.61085,-96.39027
99,32.60996,-96.38951
100,32.60898,-96.38884
101,32.59998,-96.38272
102,32.59879,-96.38175
103,32.59788,-96.38068
104,32.59722,-96.37964
105,32.59662,-96.37829
106,32.59623,-96.37692
107,32.59599,-96.37561
108,32.59077,-96.3441
109,32.59059,-96.34265
110,32.59052,-96.34112
111,32.59,-96.33029
112,32.58995,-96.32822
113,32.58993,-96.32676
114,32.58965,-96.32479
115,32.58911,-96.32319
116,32.58812,-96.3222
117,32.58691,-96.32157
118,32.58486,-96.32107
119,32.58316,-96.32054
120,32.57938,-96.31906
121,32.57828,-96.31838
122,32.5775,-96.31759
123,32.57691,-96.31658
124,32.57653,-96.31531
125,32.5758,-96.31171
126,32.57542,-96.31067
127,32.57498,-96.30977
128,32.5742,-96.30855
129,32.57314,-96.30706
130,32.5722,-96.30551
131,32.56818,-96.29864
132,32.56621,-96.29596
133,32.56363,-96.29299
134,32.56112,-96.29074
135,32.55857,-96.28894
136,32.55594,-96.28759
137,32.52265,-96.27085
138,32.52083,-96.26979
139,32.51847,-96.26838
140,32.51611,-96.26711
141,32.51326,-96.26568
142,32.46152,-96.23961
143,32.46024,-96.23884
144,32.45895,-96.23778
145,32.45716,-96.23593
146,32.456,-96.23442
147,32.45437,-96.23173
148,32.45198,-96.22775
149,32.45068,-96.22591
150,32.44864,-96.22378
151,32.44655,-96.22209
152,32.44303,-96.21989
153,32.43988,-96.21875
154,32.43141,-96.21619
155,32.42939,-96.21516
156,32.42762,-96.21361
157,32.4263,-96.21196
158,32.42491,-96.20958
159,32.37867,-96.12981
160,32.37784,-96.12806
161,32.37719,-96.12626
162,32.37674,-96.12457
163,32.37634,-96.1224
164,32.3757,-96.11715
165,32.37287,-96.09403
166,32.37221,-96.09189
167,32.37117,-96.09011
168,32.36991,-96.08871
169,32.36843,-96.08774
170,32.36656,-96.08681
171,32.35764,-96.08263
172,32.35632,-96.08181
173,32.3553,-96.08088
174,32.35421,-96.0794
175,32.33829,-96.05415
176,32.33631,-96.05078
177,32.33274,-96.04452
178,32.33044,-96.04084
179,32.3272,-96.03581
180,32.32556,-96.03353
181,32.32353,-96.03096
182,32.32173,-96.02815
183,32.31809,-96.02226
184,32.31651,-96.01998
185,32.31446,-96.01703
186,32.31322,-96.01512
187,32.31016,-96.01027
188,32.30917,-96.00863
189,32.30852,-96.00732
190,32.3063,-96.00265
191,32.30522,-96.00081
192,32.29259,-95.97971
193,32.29121,-95.97724
194,32.29003,-95.97507
195,32.27039,-95.94211
196,32.26907,-95.94022
197,32.26755,-95.93834
198,32.25335,-95.92123
199,32.25104,-95.91822
200,32.23141,-95.89088
201,32.22857,-95.88753
202,32.2261,-95.88469
203,32.22365,-95.8817
204,32.22265,-95.88062
205,32.22178,-95.87994
206,32.22101,-95.87948
207,32.22053,-95.87921
208,32.22103,-95.87823
209,32.22165,-95.87667
210,32.22635,-95.86449
211,32.22683,-95.86309
212,32.22724,-95.86144
213,32.22751,-95.85997
214,32.22769,-95.85801
215,32.22772,-95.85634
216,32.22764,-95.85501
217,32.22741,-95.85343
218,32.22651,-95.84795
219,32.22644,-95.84675
220,32.22646,-95.84552
221,32.22666,-95.84092
222,32.22675,-95.83174
223,32.2268,-95.83059
224,32.22692,-95.82949
225,32.2272,-95.82825
226,32.22771,-95.82614
227,32.22794,-95.82424
228,32.22797,-95.82206
229,32.22802,-95.81593
230,32.22792,-95.81496
231,32.22772,-95.81401
232,32.22737,-95.81304
233,32.22683,-95.81208
234,32.22632,-95.81139
235,32.22581,-95.81087
236,32.22505,-95.8103
237,32.22433,-95.8099
238,32.22351,-95.80961
239,32.22034,-95.80867
240,32.21949,-95.80831
241,32.21549,-95.80624
242,32.21444,-95.80577
243,32.21344,-95.80543
244,32.2124,-95.80522
245,32.21116,-95.80512
246,32.20322,-95.80516
247,32.20184,-95.80515
248,32.20075,-95.80532
249,32.20001,-95.80549
250,32.19914,-95.80584
251,32.19845,-95.80621
252,32.19772,-95.80671
253,32.19701,-95.80738
254,32.19635,-95.80809
255,32.19472,-95.80992
256,32.19404,-95.81058
257,32.19341,-95.81107
258,32.19251,-95.81164
259,32.18937,-95.81345
260,32.1543,-95.75027
261,32.15293,-95.7479
262,32.15156,-95.74564
263,32.15063,-95.74407
264,32.14874,-95.74098
265,32.14717,-95.73827
266,32.14226,-95.7295
267,32.1243,-95.69719
268,32.11376,-95.68047
269,32.11274,-95.67855
270,32.11202,-95.6766
271,32.11142,-95.67422
272,32.11092,-95.67084
273,32.11047,-95.66905
274,32.10982,-95.66703
