,Latitude,Longitude
0,33.99344,-94.73954
1,33.99339,-94.73957
2,33.99336,-94.73958
3,33.99333,-94.73958
4,33.99331,-94.73959
5,33.99314,-94.73961
6,33.99307,-94.73961
7,33.99272,-94.73967
8,33.99269,-94.73968
9,33.9923,-94.73977
10,33.99198,-94.73986
11,33.99171,-94.73995
12,33.99153,-94.74002
13,33.99107,-94.74023
14,33.99071,-94.74041
15,33.99038,-94.74061
16,33.99029,-94.74067
17,33.99017,-94.74074
18,33.98965,-94.74114
19,33.98918,-94.74153
20,33.98915,-94.74156
21,33.98797,-94.74262
22,33.98789,-94.7427
23,33.98661,-94.74386
24,33.9866,-94.74388
25,33.98645,-94.744
26,33.98605,-94.74436
27,33.98602,-94.74439
28,33.98499,-94.74531
29,33.98456,-94.74565
30,33.98423,-94.74589
31,33.98393,-94.74608
32,33.98375,-94.74618
33,33.98372,-94.7462
34,33.98337,-94.74638
35,33.98287,-94.7466
36,33.98266,-94.74668
37,33.98023,-94.74751
38,33.97982,-94.74766
39,33.97954,-94.74775
40,33.97043,-94.75089
41,33.96956,-94.75118
42,33.96944,-94.75123
43,33.96875,-94.75147
44,33.9681,-94.75168
45,33.96763,-94.75185
46,33.96717,-94.752
47,33.96433,-94.75299
48,33.96429,-94.75301
49,33.96313,-94.75341
50,33.96289,-94.7535
51,33.96283,-94.75352
52,33.96281,-94.75353
53,33.96278,-94.75353
54,33.96277,-94.75352
55,33.96275,-94.75349
56,33.9624,-94.75361
57,33.9622,-94.75369
58,33.96086,-94.75417
59,33.96051,-94.75428
60,33.9603,-94.75436
61,33.95931,-94.7547
62,33.95924,-94.75472
63,33.95914,-94.75476
64,33.95723,-94.75541
65,33.95639,-94.75573
66,33.95639,-94.75576
67,33.95638,-94.75577
68,33.95638,-94.75578
69,33.95637,-94.75579
70,33.95637,-94.7558
71,33.95636,-94.7558
72,33.95635,-94.75581
73,33.9561,-94.75591
74,33.95599,-94.75596
75,33.95415,-94.75673
76,33.95335,-94.75705
77,33.95317,-94.75711
78,33.95282,-94.75724
79,33.95166,-94.75764
80,33.95095,-94.75786
81,33.95,-94.75813
82,33.94958,-94.75823
83,33.94928,-94.75831
84,33.94868,-94.75845
85,33.94795,-94.7586
86,33.94783,-94.75862
87,33.94759,-94.75867
88,33.94633,-94.75888
89,33.94543,-94.759
90,33.94389,-94.75917
91,33.94274,-94.75928
92,33.94269,-94.75929
93,33.9404,-94.75953
94,33.94036,-94.75953
95,33.93955,-94.75964
96,33.93944,-94.75965
97,33.93911,-94.75971
98,33.93873,-94.7598
99,33.93846,-94.75987
100,33.93779,-94.7601
101,33.9375,-94.76022
102,33.93705,-94.76042
103,33.93687,-94.76052
104,33.93666,-94.76062
105,33.93621,-94.76088
106,33.93566,-94.76125
107,33.93535,-94.76147
108,33.93504,-94.7617
109,33.93463,-94.76199
110,33.93437,-94.76219
111,33.93428,-94.76225
112,33.93007,-94.76536
113,33.92933,-94.76592
114,33.92719,-94.7675
115,33.92675,-94.76781
116,33.92647,-94.76803
117,33.92645,-94.76804
118,33.92202,-94.77131
119,33.92154,-94.77168
120,33.92108,-94.77199
121,33.92077,-94.77225
122,33.91943,-94.77323
123,33.91945,-94.77327
124,33.91946,-94.77331
125,33.91947,-94.77333
126,33.91947,-94.77337
127,33.91964,-94.77451
128,33.91977,-94.77562
129,33.91979,-94.77584
130,33.91983,-94.77617
131,33.9199,-94.77719
132,33.91996,-94.77864
133,33.91999,-94.78124
134,33.92006,-94.79384
135,33.92007,-94.79423
136,33.92008,-94.79714
137,33.92009,-94.79778
138,33.92009,-94.79966
139,33.92008,-94.80016
140,33.92007,-94.80038
141,33.92007,-94.80054
142,33.92004,-94.80112
143,33.92001,-94.80211
144,33.92,-94.80219
145,33.92,-94.80253
146,33.92003,-94.80378
147,33.92004,-94.80392
148,33.92009,-94.80643
149,33.92015,-94.82259
150,33.92014,-94.82275
151,33.92014,-94.82292
152,33.92012,-94.8232
153,33.92011,-94.82347
154,33.92006,-94.82422
155,33.91999,-94.82496
156,33.91992,-94.82555
157,33.91976,-94.82666
158,33.91959,-94.82773
159,33.91955,-94.82802
160,33.91943,-94.82876
161,33.91938,-94.8292
162,33.91934,-94.82949
163,33.91927,-94.83024
164,33.91922,-94.83096
165,33.91919,-94.83169
166,33.91918,-94.83259
167,33.91918,-94.83479
168,33.91919,-94.83521
169,33.91919,-94.83719
170,33.91917,-94.83787
171,33.91915,-94.83816
172,33.9191,-94.83871
173,33.91907,-94.83895
174,33.91902,-94.83928
175,33.91898,-94.83945
176,33.91896,-94.83957
177,33.91877,-94.84037
178,33.9187,-94.84062
179,33.91852,-94.84117
180,33.91842,-94.84142
181,33.91819,-94.84194
182,33.91804,-94.84226
183,33.91776,-94.84279
184,33.91777,-94.84294
185,33.91777,-94.843
186,33.91779,-94.84311
187,33.91781,-94.84316
188,33.91782,-94.84322
189,33.91786,-94.84332
190,33.91882,-94.84391
191,33.92074,-94.84506
192,33.92083,-94.84507
193,33.92086,-94.84508
194,33.92221,-94.84571
195,33.92244,-94.84583
196,33.92267,-94.84596
197,33.92308,-94.84624
198,33.9234,-94.84648
199,33.9236,-94.84667
200,33.9238,-94.84685
201,33.92416,-94.84723
202,33.92427,-94.84734
203,33.92452,-94.84764
204,33.92478,-94.84799
205,33.92512,-94.84848
206,33.9253,-94.84876
207,33.92548,-94.84907
208,33.92556,-94.84922
209,33.92584,-94.84978
210,33.92594,-94.85
211,33.92623,-94.85072
212,33.92642,-94.85124
213,33.92653,-94.85151
214,33.92984,-94.86009
215,33.93034,-94.86143
216,33.932,-94.8657
217,33.93239,-94.86676
218,33.9333,-94.86908
219,33.93653,-94.8775
220,33.93675,-94.87815
221,33.93689,-94.87867
222,33.93698,-94.87916
223,33.937,-94.87933
224,33.93703,-94.87953
225,33.93705,-94.87973
226,33.93708,-94.88016
227,33.93708,-94.88065
228,33.93707,-94.88094
229,33.93699,-94.88166
230,33.93696,-94.88185
231,33.9369,-94.88213
232,33.93678,-94.88264
233,33.93668,-94.88295
234,33.93658,-94.88323
235,33.93645,-94.88355
236,33.93625,-94.884
237,33.93459,-94.88754
