,Latitude,Longitude
0,35.12776,-90.07602
1,35.12968,-90.07844
2,35.12989,-90.07872
3,35.13036,-90.07932
4,35.13141,-90.08066
5,35.13157,-90.08087
6,35.13264,-90.08222
7,35.13282,-90.08245
8,35.13286,-90.0825
9,35.13295,-90.08261
10,35.13307,-90.08277
11,35.13308,-90.08278
12,35.13337,-90.08319
13,35.13352,-90.0834
14,35.13365,-90.08361
15,35.1338,-90.08382
16,35.13399,-90.08414
17,35.13424,-90.08456
18,35.1345,-90.08503
19,35.13463,-90.08528
20,35.13464,-90.08531
21,35.13465,-90.08533
22,35.13509,-90.08621
23,35.13543,-90.08702
24,35.13544,-90.08706
25,35.1357,-90.0877
26,35.13594,-90.08836
27,35.13609,-90.08883
28,35.13623,-90.0893
29,35.13693,-90.09178
30,35.13715,-90.09255
31,35.13761,-90.09418
32,35.13787,-90.09512
33,35.13805,-90.09572
34,35.13818,-90.09615
35,35.13823,-90.09632
36,35.13826,-90.09645
37,35.13826,-90.09646
38,35.13833,-90.09672
39,35.13854,-90.09745
40,35.13884,-90.09849
41,35.13889,-90.09869
42,35.13907,-90.09932
43,35.14037,-90.10389
44,35.14043,-90.10409
45,35.14108,-90.10637
46,35.14159,-90.10818
47,35.142,-90.10962
48,35.14211,-90.10998
49,35.14211,-90.10999
50,35.14221,-90.11034
51,35.14272,-90.11213
52,35.1433,-90.11421
53,35.14348,-90.11483
54,35.14354,-90.11504
55,35.14395,-90.11649
56,35.14399,-90.11663
57,35.14403,-90.11677
58,35.14414,-90.11716
59,35.14425,-90.11755
60,35.14436,-90.11794
61,35.14459,-90.11875
62,35.14489,-90.11979
63,35.14509,-90.12049
64,35.1452,-90.12087
65,35.14525,-90.12103
66,35.14551,-90.12195
67,35.14601,-90.12372
68,35.14623,-90.12448
69,35.14661,-90.12583
70,35.14678,-90.12646
71,35.14721,-90.12793
72,35.14728,-90.12858
73,35.14732,-90.1289
74,35.14738,-90.12944
75,35.14742,-90.13001
76,35.14742,-90.13021
77,35.14743,-90.13059
78,35.14739,-90.13107
79,35.14735,-90.13132
80,35.14734,-90.13133
81,35.14729,-90.13159
82,35.14729,-90.1316
83,35.14728,-90.13167
84,35.14723,-90.13185
85,35.14718,-90.13209
86,35.14691,-90.1329
87,35.14687,-90.13301
88,35.14684,-90.1331
89,35.1466,-90.13393
90,35.14658,-90.13403
91,35.14651,-90.13437
92,35.14647,-90.13467
93,35.14641,-90.1353
