,Latitude,Longitude
0,34.13226,-99.13565
1,34.13223,-99.13571
2,34.13219,-99.13593
3,34.13217,-99.13607
4,34.13217,-99.13613
5,34.13216,-99.13619
6,34.13216,-99.13624
7,34.13217,-99.13631
8,34.13217,-99.13635
9,34.13217,-99.1364
10,34.13218,-99.13643
11,34.13219,-99.13648
12,34.13221,-99.13655
13,34.13223,-99.1366
14,34.13226,-99.13668
15,34.13229,-99.13675
16,34.13232,-99.1368
17,34.13237,-99.13693
18,34.13259,-99.13712
19,34.1327,-99.13723
20,34.13291,-99.13742
21,34.13304,-99.13755
22,34.1332,-99.13772
23,34.13322,-99.13774
24,34.1333,-99.13783
25,34.13334,-99.13789
26,34.13345,-99.13803
27,34.13357,-99.1382
28,34.13371,-99.13863
29,34.13378,-99.13891
30,34.13382,-99.13901
31,34.13385,-99.13911
32,34.13394,-99.13937
33,34.134,-99.13955
34,34.13404,-99.13966
35,34.13405,-99.13982
36,34.13414,-99.14005
37,34.13418,-99.14017
38,34.1343,-99.14053
39,34.13439,-99.14086
40,34.1344,-99.14091
41,34.13446,-99.1412
42,34.13451,-99.14146
43,34.13455,-99.14172
44,34.13458,-99.14198
45,34.1346,-99.14221
46,34.13461,-99.14248
47,34.13461,-99.14287
48,34.1346,-99.14317
49,34.13459,-99.14328
50,34.13457,-99.14343
51,34.13454,-99.1437
52,34.1345,-99.14396
53,34.13446,-99.14419
54,34.13443,-99.14433
55,34.13438,-99.14457
56,34.1343,-99.14485
57,34.13419,-99.14522
58,34.13378,-99.14659
59,34.13352,-99.14742
60,34.13315,-99.14867
61,34.13298,-99.14921
62,34.1326,-99.15049
63,34.13223,-99.15172
64,34.13193,-99.15274
65,34.13172,-99.15342
66,34.13168,-99.15356
67,34.13162,-99.15376
68,34.13142,-99.15442
69,34.13139,-99.15451
70,34.13097,-99.15589
71,34.13082,-99.15638
72,34.13068,-99.15685
73,34.13066,-99.15691
74,34.13057,-99.15723
75,34.13052,-99.15748
76,34.13049,-99.15761
77,34.13046,-99.15775
78,34.13042,-99.158
79,34.1304,-99.15814
80,34.13039,-99.15829
81,34.13037,-99.15841
82,34.13036,-99.15855
83,34.13036,-99.15868
84,34.13035,-99.15881
85,34.13035,-99.15894
86,34.13035,-99.15918
87,34.13036,-99.15933
