,Latitude,Longitude
0,31.35241,-109.57945
1,31.41605,-109.57923
2,31.41869,-109.57954
3,31.42136,-109.58042
4,31.42311,-109.58134
5,31.43158,-109.58674
6,31.4349,-109.58928
7,31.43715,-109.59145
8,31.45362,-109.60863
9,31.4561,-109.61073
10,31.45865,-109.61248
11,31.55496,-109.66452
12,31.55852,-109.66612
13,31.56188,-109.66713
14,31.5656,-109.66773
15,31.5923,-109.66942
16,31.60117,-109.67025
17,31.60751,-109.67036
18,31.64519,-109.67274
19,31.64738,-109.673
20,31.65041,-109.67367
21,31.65374,-109.67483
22,31.67869,-109.68635
23,31.68075,-109.68702
24,31.68255,-109.68733
25,31.71451,-109.68724
26,31.7295,-109.68698
27,31.74576,-109.68846
28,31.75868,-109.68942
29,31.77322,-109.69082
30,31.7879,-109.69185
31,31.81776,-109.69503
32,31.82394,-109.69515
33,31.88847,-109.69516
34,31.89047,-109.69543
35,31.89197,-109.69595
36,31.89337,-109.69672
37,31.89485,-109.69792
38,31.89611,-109.69935
39,31.89715,-109.70101
40,31.90462,-109.71806
41,31.9051,-109.7194
42,31.90544,-109.72104
43,31.90553,-109.74453
44,31.90538,-109.7829
45,31.90508,-109.78598
46,31.90383,-109.79295
47,31.90365,-109.79597
48,31.90376,-109.79788
49,31.90515,-109.80849
50,31.90582,-109.81052
51,31.90649,-109.81189
52,31.90737,-109.81323
53,31.90877,-109.81477
54,31.91092,-109.81627
55,32.03597,-109.87892
56,32.10477,-109.91357
57,32.10713,-109.91411
58,32.10894,-109.91395
59,32.12708,-109.90844
60,32.12884,-109.90843
61,32.13087,-109.90901
62,32.13583,-109.91232
63,32.13676,-109.91324
64,32.13785,-109.91483
65,32.13835,-109.91589
66,32.13888,-109.91763
67,32.14026,-109.9252
68,32.14087,-109.92755
69,32.1422,-109.93029
70,32.14344,-109.93191
71,32.1444,-109.93283
72,32.1464,-109.93418
73,32.17308,-109.94779
74,32.17512,-109.94804
75,32.17615,-109.94781
76,32.1774,-109.94715
77,32.17896,-109.94491
78,32.21439,-109.88541
79,32.21559,-109.88374
80,32.21723,-109.882
81,32.21854,-109.8809
82,32.26984,-109.84106
83,32.27365,-109.83774
84,32.27602,-109.83541
85,32.27932,-109.83172
86,32.34441,-109.75051
87,32.34612,-109.74787
88,32.34717,-109.7458
89,32.34815,-109.74329
90,32.34897,-109.74028
91,32.35744,-109.69168
92,32.3581,-109.68661
93,32.35819,-109.68409
94,32.35807,-109.68158
