,Latitude,Longitude
0,44.13573,-110.66684
1,44.13521,-110.66648
2,44.13496,-110.66634
3,44.13291,-110.66495
4,44.13251,-110.66465
5,44.13235,-110.66451
6,44.13197,-110.66407
7,44.12995,-110.66128
8,44.12959,-110.66089
9,44.12933,-110.66065
10,44.12904,-110.66044
11,44.12865,-110.66022
12,44.1282,-110.66006
13,44.1279,-110.65999
14,44.12726,-110.66002
15,44.12724,-110.66003
16,44.12706,-110.66006
17,44.12653,-110.66019
18,44.12651,-110.6602
19,44.12427,-110.66078
20,44.12343,-110.66105
21,44.12054,-110.66186
22,44.12053,-110.66187
23,44.12025,-110.66196
24,44.11977,-110.66219
25,44.11786,-110.66332
26,44.11785,-110.66333
27,44.11669,-110.66398
28,44.11622,-110.66421
29,44.11618,-110.66422
30,44.11499,-110.6647
31,44.11345,-110.66516
32,44.11233,-110.66539
33,44.11131,-110.66553
34,44.11016,-110.66561
35,44.10926,-110.66561
36,44.10673,-110.66551
37,44.10422,-110.66534
38,44.10373,-110.66534
39,44.10338,-110.66538
40,44.10312,-110.66545
41,44.10273,-110.66562
42,44.10227,-110.66588
43,44.10226,-110.66589
44,44.09653,-110.66911
45,44.09618,-110.66928
46,44.09569,-110.66958
47,44.08615,-110.67669
48,44.08583,-110.67695
49,44.0851,-110.67766
50,44.08464,-110.67821
51,44.0843,-110.67869
52,44.08303,-110.68068
53,44.08253,-110.68136
54,44.08195,-110.68201
55,44.08132,-110.6826
56,44.08087,-110.68294
57,44.08014,-110.6834
58,44.07958,-110.68367
59,44.07881,-110.68396
60,44.07791,-110.68419
61,44.0774,-110.68428
62,44.07732,-110.68428
63,44.07709,-110.68431
64,44.07638,-110.68434
65,44.07584,-110.68432
66,44.07472,-110.68415
67,44.07078,-110.68313
68,44.07023,-110.68305
69,44.06978,-110.68306
70,44.06921,-110.68316
71,44.06891,-110.68324
72,44.06848,-110.68339
73,44.0682,-110.68353
74,44.06779,-110.68378
75,44.06755,-110.68395
76,44.0672,-110.68425
77,44.06703,-110.68442
78,44.06632,-110.68526
79,44.06627,-110.68534
80,44.06527,-110.68652
81,44.06466,-110.68717
82,44.064,-110.68779
83,44.0635,-110.68821
84,44.06311,-110.6885
85,44.0627,-110.68877
86,44.06154,-110.68943
87,44.06119,-110.68958
88,44.06062,-110.68978
89,44.0606,-110.68978
90,44.06012,-110.6899
91,44.05972,-110.68997
92,44.05722,-110.69009
93,44.05475,-110.69033
94,44.05259,-110.69067
95,44.05076,-110.6909
96,44.04805,-110.69104
97,44.04745,-110.69112
98,44.04692,-110.69125
99,44.04651,-110.69139
100,44.04615,-110.69154
101,44.04551,-110.69188
102,44.04312,-110.69332
103,44.0428,-110.69348
104,44.04262,-110.69355
105,44.04259,-110.69357
106,44.04221,-110.6937
107,44.04184,-110.6938
108,44.04163,-110.69384
109,44.04096,-110.69388
110,44.04031,-110.69381
111,44.03464,-110.69271
112,44.03426,-110.69267
113,44.03383,-110.69266
114,44.03332,-110.69271
115,44.03282,-110.69283
116,44.03151,-110.69336
117,44.03112,-110.69348
118,44.03078,-110.69355
119,44.03038,-110.69359
120,44.02997,-110.6936
121,44.02978,-110.69359
122,44.02589,-110.69306
123,44.02518,-110.69307
124,44.02453,-110.69315
