,Latitude,Longitude
0,30.79439,-83.93418
1,30.79738,-83.93506
2,30.80066,-83.93579
3,30.80199,-83.93613
4,30.81978,-83.94134
5,30.8213,-83.94169
6,30.82285,-83.94197
7,30.83514,-83.94345
8,30.85423,-83.94579
9,30.85532,-83.94603
10,30.85631,-83.94631
11,30.85748,-83.94683
12,30.8587,-83.94748
13,30.89456,-83.96848
14,30.89646,-83.96971
15,30.89849,-83.97109
16,30.91876,-83.98504
17,30.92005,-83.98608
18,30.92119,-83.98722
19,30.92241,-83.98868
20,30.92361,-83.99033
21,30.94424,-84.0193
22,30.94518,-84.02048
23,30.94622,-84.02158
24,30.94751,-84.0227
25,30.94866,-84.02351
26,30.9497,-84.02414
27,30.95084,-84.02468
28,31.02119,-84.05777
29,31.04469,-84.06945
30,31.04588,-84.06996
31,31.04716,-84.07037
32,31.04875,-84.07066
33,31.05971,-84.0722
34,31.06069,-84.07239
35,31.06154,-84.07266
36,31.06263,-84.07317
37,31.07752,-84.08039
38,31.07836,-84.08092
39,31.07945,-84.08178
40,31.09541,-84.09543
41,31.09658,-84.09657
42,31.09774,-84.09785
43,31.0987,-84.09918
44,31.09982,-84.10118
45,31.11101,-84.12207
46,31.11218,-84.12451
47,31.11789,-84.13707
48,31.11851,-84.13802
49,31.11921,-84.13876
50,31.12015,-84.13947
51,31.12126,-84.13991
52,31.12261,-84.14008
53,31.15006,-84.14103
54,31.15199,-84.14119
55,31.15381,-84.14148
56,31.15562,-84.14189
57,31.15772,-84.14248
58,31.17159,-84.14684
59,31.17306,-84.14744
60,31.17453,-84.14824
61,31.17592,-84.1492
62,31.17751,-84.15049
63,31.21316,-84.1798
64,31.21422,-84.1808
65,31.21525,-84.18199
66,31.21615,-84.18319
67,31.22105,-84.19144
68,31.22471,-84.19751
69,31.22513,-84.19813
70,31.22565,-84.19866
71,31.22619,-84.19911
72,31.22691,-84.19953
73,31.2276,-84.19981
74,31.22828,-84.19996
75,31.22899,-84.2
76,31.24275,-84.20005
77,31.24401,-84.19998
78,31.24531,-84.19976
79,31.2466,-84.19944
80,31.27022,-84.19257
81,31.27157,-84.1921
82,31.27316,-84.19144
83,31.28109,-84.18804
84,31.28228,-84.18757
85,31.28336,-84.1872
86,31.28958,-84.18545
87,31.29115,-84.18492
88,31.2926,-84.18434
89,31.31557,-84.17489
90,31.31699,-84.1744
91,31.31817,-84.17411
92,31.33784,-84.17044
93,31.3394,-84.17004
94,31.34095,-84.16941
95,31.34237,-84.16864
96,31.34396,-84.16754
97,31.35892,-84.15667
98,31.36014,-84.15594
99,31.36142,-84.15529
100,31.3627,-84.15484
101,31.36379,-84.15453
102,31.38963,-84.14737
103,31.39112,-84.14703
104,31.39291,-84.14671
105,31.39907,-84.14567
106,31.40036,-84.1453
107,31.40152,-84.14481
108,31.4026,-84.14416
109,31.40372,-84.14334
110,31.43313,-84.12143
111,31.43449,-84.12055
112,31.43599,-84.11977
113,31.43714,-84.11933
114,31.43862,-84.11892
115,31.43983,-84.11871
116,31.44106,-84.1186
117,31.45727,-84.11789
118,31.46709,-84.11802
119,31.46872,-84.11796
120,31.49741,-84.11556
121,31.49867,-84.11551
122,31.49987,-84.11549
123,31.52781,-84.11565
124,31.54358,-84.11507
125,31.55576,-84.11503
126,31.55749,-84.11484
127,31.55914,-84.11452
128,31.57102,-84.11159
129,31.57238,-84.11135
130,31.57353,-84.11128
131,31.57475,-84.11135
132,31.58188,-84.11197
133,31.58306,-84.11222
134,31.58432,-84.11263
135,31.58601,-84.11354
136,31.58751,-84.11482
137,31.58842,-84.1158
138,31.5893,-84.11705
139,31.59007,-84.11852
140,31.59057,-84.11997
141,31.59509,-84.13687
142,31.59546,-84.13797
143,31.59601,-84.13905
144,31.59659,-84.14001
145,31.59734,-84.14107
146,31.61021,-84.16008
147,31.61078,-84.16109
148,31.61133,-84.16246
149,31.61581,-84.17431
150,31.61613,-84.17536
151,31.61639,-84.17642
152,31.62086,-84.1769
153,31.6214,-84.17694
154,31.62232,-84.17697
155,31.63021,-84.17686
156,31.63076,-84.17684
157,31.63192,-84.17675
158,31.63292,-84.17664
159,31.65503,-84.17317
160,31.65677,-84.17299
161,31.65852,-84.17294
162,31.68191,-84.17265
163,31.68262,-84.1727
164,31.68415,-84.17275
165,31.68571,-84.17277
166,31.71685,-84.1724
167,31.71825,-84.17235
168,31.71947,-84.17226
169,31.72072,-84.17222
170,31.72169,-84.17223
171,31.72204,-84.17221
172,31.73041,-84.17213
173,31.73176,-84.17214
174,31.73233,-84.17229
175,31.73297,-84.1726
176,31.73371,-84.17285
177,31.7345,-84.17318
178,31.73603,-84.1739
179,31.73672,-84.17424
180,31.73892,-84.1754
181,31.81034,-84.20916
182,31.81115,-84.20964
183,31.81189,-84.21027
184,31.81374,-84.21221
185,31.81451,-84.21291
186,31.81529,-84.2134
187,31.8162,-84.21377
188,31.81726,-84.21392
189,31.81981,-84.21396
190,31.82059,-84.21409
191,31.82148,-84.21442
192,31.87273,-84.23884
193,31.87509,-84.24007
194,31.88722,-84.24586
195,31.88807,-84.24635
196,31.88887,-84.24697
197,31.88953,-84.24765
198,31.8903,-84.24866
199,31.89093,-84.24973
200,31.89144,-84.25088
201,31.89184,-84.25214
202,31.89265,-84.25527
203,31.89299,-84.25637
204,31.89354,-84.25756
205,31.89412,-84.25855
206,31.89482,-84.25948
207,31.89556,-84.26026
208,31.89645,-84.26102
209,31.89732,-84.26158
210,31.89848,-84.26211
211,31.89952,-84.26242
212,31.90056,-84.2626
213,31.90146,-84.26263
214,31.90263,-84.2625
215,31.90399,-84.2621
216,31.90486,-84.26173
217,31.90792,-84.26033
218,31.90903,-84.25992
219,31.91004,-84.25968
220,31.91093,-84.25956
221,31.91197,-84.25955
222,31.91325,-84.25966
223,31.91432,-84.25989
224,31.91555,-84.26032
225,31.91662,-84.26087
226,31.91791,-84.26164
227,31.92316,-84.26496
228,31.924,-84.26537
229,31.92486,-84.2656
230,31.92575,-84.26561
231,31.92661,-84.26543
232,31.9273,-84.26515
233,31.92789,-84.26479
234,31.93207,-84.26208
235,31.93284,-84.26152
236,31.93374,-84.26074
237,31.93772,-84.25653
238,31.93833,-84.25605
239,31.93911,-84.25573
240,31.93997,-84.25552
241,31.95747,-84.2557
242,31.95847,-84.2556
243,31.95965,-84.25532
244,31.9647,-84.25388
245,31.96573,-84.25348
246,31.96685,-84.25286
247,31.97125,-84.25017
248,31.97195,-84.24963
249,31.97369,-84.24798
250,31.97437,-84.24752
251,31.9751,-84.24717
