,Latitude,Longitude
0,39.06373,-80.45521
1,39.06387,-80.45405
2,39.06426,-80.44967
3,39.06433,-80.44866
4,39.06449,-80.44408
5,39.06449,-80.44352
6,39.06435,-80.44044
7,39.06427,-80.43992
8,39.06392,-80.43884
9,39.0639,-80.43836
10,39.06464,-80.43325
11,39.06476,-80.43226
12,39.06477,-80.43174
13,39.06465,-80.43037
14,39.06466,-80.42999
15,39.06475,-80.42968
16,39.06492,-80.42934
17,39.06506,-80.42896
18,39.06512,-80.42856
19,39.06513,-80.42802
20,39.06518,-80.42761
21,39.06524,-80.42739
22,39.06542,-80.42694
23,39.06551,-80.42679
24,39.06624,-80.42586
25,39.06771,-80.42392
26,39.06829,-80.42294
27,39.06856,-80.42264
28,39.06882,-80.42247
29,39.07045,-80.42155
30,39.07068,-80.4214
31,39.07107,-80.42108
32,39.07187,-80.42048
33,39.07316,-80.41958
34,39.07345,-80.41942
35,39.0741,-80.41919
36,39.07494,-80.41898
37,39.07519,-80.41895
38,39.07626,-80.41897
39,39.07656,-80.41894
40,39.07684,-80.41883
41,39.07729,-80.41848
42,39.07887,-80.417
43,39.07899,-80.41681
44,39.07928,-80.4162
45,39.08006,-80.41437
46,39.08024,-80.41404
47,39.08104,-80.41311
48,39.08129,-80.41287
49,39.08142,-80.41278
50,39.08187,-80.41254
51,39.08233,-80.41223
52,39.08309,-80.41163
53,39.08424,-80.41082
54,39.08459,-80.41066
55,39.08497,-80.41058
56,39.08674,-80.41042
57,39.08692,-80.41043
58,39.08725,-80.4105
59,39.08833,-80.41085
60,39.08878,-80.41092
61,39.08968,-80.41094
62,39.09052,-80.41093
63,39.09095,-80.41095
64,39.09231,-80.41112
65,39.09261,-80.41111
66,39.09294,-80.41103
67,39.09372,-80.41075
68,39.09568,-80.40973
69,39.09592,-80.40968
70,39.0961,-80.40971
71,39.09678,-80.40996
72,39.09709,-80.40998
73,39.0975,-80.40991
74,39.09799,-80.40989
75,39.09869,-80.41008
76,39.09922,-80.41018
77,39.10084,-80.41023
78,39.10266,-80.4101
79,39.10284,-80.41006
80,39.10313,-80.40996
81,39.10355,-80.40973
82,39.10391,-80.40946
83,39.10445,-80.40894
84,39.10473,-80.40864
85,39.105,-80.40843
86,39.10556,-80.40811
87,39.10776,-80.40703
88,39.10851,-80.40676
89,39.10898,-80.40663
90,39.10924,-80.4066
91,39.10986,-80.40675
92,39.11031,-80.407
93,39.11253,-80.40814
94,39.11314,-80.40848
95,39.11379,-80.40879
96,39.11402,-80.40888
97,39.11438,-80.40891
98,39.11474,-80.40887
99,39.11491,-80.40881
100,39.11545,-80.40847
101,39.11564,-80.40832
102,39.11692,-80.40706
103,39.11713,-80.40691
104,39.11728,-80.40686
105,39.11745,-80.40685
106,39.11837,-80.40695
107,39.11864,-80.40701
108,39.1187,-80.40704
109,39.11894,-80.40721
110,39.12002,-80.40819
111,39.12097,-80.40901
112,39.12121,-80.40918
113,39.12188,-80.40956
114,39.12212,-80.40974
115,39.12222,-80.40984
116,39.12255,-80.41028
117,39.12273,-80.41062
118,39.12312,-80.41194
119,39.12329,-80.41237
120,39.12349,-80.41275
121,39.12364,-80.41297
122,39.12553,-80.4151
123,39.12573,-80.41535
124,39.12963,-80.41969
125,39.12998,-80.42001
126,39.13035,-80.42023
127,39.13267,-80.42135
128,39.13307,-80.42145
129,39.13454,-80.42157
130,39.13463,-80.42156
131,39.13487,-80.4215
132,39.135,-80.42135
133,39.13514,-80.4211
134,39.1357,-80.41938
135,39.13583,-80.4191
136,39.13599,-80.41894
137,39.13615,-80.41887
138,39.1363,-80.41886
139,39.13645,-80.4189
140,39.13657,-80.419
141,39.13669,-80.41915
142,39.13768,-80.42154
143,39.13781,-80.42196
144,39.13797,-80.42292
145,39.13809,-80.42351
146,39.13825,-80.42403
147,39.13853,-80.42459
148,39.13864,-80.42476
149,39.13902,-80.4252
150,39.13944,-80.42554
151,39.13975,-80.4257
152,39.14005,-80.4258
153,39.1405,-80.42587
154,39.14093,-80.42585
155,39.14184,-80.42567
156,39.14238,-80.42554
157,39.14265,-80.4255
158,39.14287,-80.4255
159,39.14321,-80.42558
160,39.1434,-80.42568
161,39.14368,-80.42593
162,39.14394,-80.42633
163,39.14405,-80.4266
164,39.14409,-80.42677
165,39.14415,-80.42738
166,39.14425,-80.42781
167,39.14463,-80.42868
168,39.1447,-80.4288
169,39.1448,-80.42891
170,39.1449,-80.42898
171,39.14513,-80.42905
172,39.14731,-80.42945
173,39.14752,-80.42955
174,39.14779,-80.42975
175,39.14798,-80.43003
176,39.1492,-80.4325
177,39.14945,-80.43289
178,39.14995,-80.43351
179,39.15013,-80.43383
180,39.1503,-80.4342
181,39.15067,-80.4351
182,39.15213,-80.43922
183,39.15244,-80.44029
184,39.15277,-80.44125
185,39.15311,-80.442
186,39.15326,-80.44227
187,39.15365,-80.44286
188,39.15479,-80.44434
189,39.15537,-80.44515
190,39.15839,-80.44835
191,39.15883,-80.44886
192,39.15891,-80.44897
193,39.15907,-80.44927
194,39.15942,-80.45019
195,39.1596,-80.45055
196,39.15972,-80.45073
197,39.15991,-80.45094
198,39.16014,-80.45112
199,39.16038,-80.45123
200,39.16073,-80.45132
201,39.16348,-80.45153
202,39.16415,-80.45154
203,39.16446,-80.45147
204,39.16514,-80.45116
205,39.16715,-80.45011
206,39.16737,-80.44996
207,39.16778,-80.44953
208,39.16946,-80.44705
209,39.16957,-80.44685
210,39.16971,-80.44652
211,39.16993,-80.44568
212,39.17007,-80.44496
213,39.17022,-80.44437
214,39.17041,-80.44387
215,39.17059,-80.4436
216,39.17069,-80.44348
217,39.17099,-80.44321
218,39.17122,-80.44307
219,39.17195,-80.44272
220,39.17225,-80.44255
221,39.17274,-80.44217
222,39.17303,-80.44183
223,39.17477,-80.43933
224,39.17517,-80.43879
225,39.17531,-80.43865
226,39.17545,-80.43855
227,39.1758,-80.43852
228,39.17611,-80.43861
229,39.17967,-80.44144
230,39.17986,-80.44157
231,39.17997,-80.44158
232,39.1802,-80.44153
233,39.18046,-80.44143
234,39.18079,-80.44127
235,39.18112,-80.44107
236,39.18217,-80.44033
237,39.18299,-80.4397
238,39.18506,-80.43835
239,39.18545,-80.43814
240,39.18805,-80.43728
241,39.18826,-80.43719
242,39.18833,-80.43714
243,39.18848,-80.43695
244,39.18863,-80.43669
245,39.18911,-80.43578
246,39.18943,-80.43534
247,39.19008,-80.43453
248,39.19035,-80.43415
249,39.1905,-80.4339
250,39.19071,-80.43337
251,39.19079,-80.43286
252,39.19079,-80.43267
253,39.19075,-80.43234
254,39.19067,-80.43209
255,39.19058,-80.43193
256,39.18931,-80.43063
257,39.18904,-80.43031
258,39.1885,-80.42945
259,39.18835,-80.42912
260,39.18823,-80.42874
261,39.18812,-80.42811
262,39.18808,-80.42753
263,39.18811,-80.4272
264,39.18828,-80.42637
265,39.18845,-80.42578
266,39.18853,-80.42559
267,39.18867,-80.42534
268,39.18895,-80.42505
269,39.19037,-80.42429
270,39.1906,-80.42414
271,39.19084,-80.42388
272,39.19129,-80.4232
273,39.1915,-80.42293
274,39.19257,-80.42177
275,39.19299,-80.42143
276,39.19381,-80.42089
277,39.19405,-80.4207
278,39.19415,-80.42061
279,39.19489,-80.41975
280,39.19506,-80.41947
281,39.1951,-80.41935
282,39.1952,-80.4186
283,39.1953,-80.41833
284,39.1955,-80.418
285,39.19612,-80.4171
286,39.19628,-80.41674
287,39.19638,-80.41624
288,39.19643,-80.41534
289,39.19649,-80.41512
290,39.19659,-80.41498
291,39.19668,-80.41493
292,39.19682,-80.4149
293,39.19778,-80.41483
294,39.1989,-80.41449
295,39.19999,-80.41421
296,39.20098,-80.41402
297,39.20136,-80.41392
298,39.2015,-80.41379
299,39.20168,-80.41357
300,39.20188,-80.41326
301,39.20204,-80.41297
302,39.20225,-80.41241
303,39.20244,-80.41198
304,39.20251,-80.41187
305,39.20259,-80.4118
306,39.20272,-80.41176
307,39.20289,-80.41176
308,39.20304,-80.41182
309,39.2039,-80.41235
310,39.20465,-80.41326
311,39.20483,-80.41344
312,39.20594,-80.4143
313,39.20667,-80.41494
314,39.20722,-80.41547
315,39.20745,-80.41563
316,39.20758,-80.41567
317,39.20792,-80.41564
318,39.20826,-80.41564
319,39.20851,-80.41569
320,39.21064,-80.41662
321,39.21187,-80.41747
322,39.21305,-80.41794
323,39.21328,-80.41809
324,39.21385,-80.41855
325,39.21415,-80.41867
326,39.21427,-80.41869
327,39.21469,-80.41868
328,39.21551,-80.4187
329,39.21576,-80.41873
