,Latitude,Longitude
0,27.54969,-82.56373
1,27.55142,-82.56381
2,27.55333,-82.56424
3,27.55479,-82.5645
4,27.5561,-82.56455
5,27.56269,-82.56454
6,27.56371,-82.56466
7,27.5648,-82.56508
8,27.56568,-82.56565
9,27.56648,-82.56644
10,27.56705,-82.56727
11,27.56977,-82.57171
12,27.57039,-82.57242
13,27.571,-82.57293
14,27.57202,-82.57358
15,27.57844,-82.57719
16,27.57998,-82.57819
17,27.58118,-82.57934
18,27.58199,-82.5807
19,27.583,-82.58323
20,27.58353,-82.58551
21,27.5837,-82.58723
22,27.58371,-82.58899
23,27.58368,-82.59225
24,27.58352,-82.59472
25,27.58352,-82.5995
26,27.58348,-82.60978
27,27.58355,-82.6113
28,27.58381,-82.6132
29,27.58408,-82.61455
30,27.58468,-82.61649
31,27.5855,-82.61832
32,27.58632,-82.6198
33,27.59075,-82.62734
34,27.59217,-82.62953
35,27.59365,-82.6317
36,27.5956,-82.6343
37,27.59741,-82.63652
38,27.59986,-82.63922
39,27.60226,-82.64168
40,27.60456,-82.64374
41,27.6069,-82.6457
42,27.60954,-82.64766
43,27.63866,-82.66887
44,27.64063,-82.67015
45,27.6425,-82.6713
46,27.64835,-82.67458
47,27.65066,-82.67579
48,27.65223,-82.67638
49,27.65406,-82.67682
50,27.65622,-82.677
51,27.67551,-82.67801
52,27.69077,-82.67876
53,27.70058,-82.67931
54,27.70247,-82.67931
55,27.70619,-82.67923
56,27.70935,-82.67924
57,27.71471,-82.67952
58,27.7162,-82.67957
59,27.71845,-82.6793
60,27.7192,-82.67925
61,27.74697,-82.67931
62,27.7598,-82.67942
63,27.77601,-82.67942
64,27.79914,-82.67952
65,27.82113,-82.67955
66,27.82998,-82.67965
67,27.8309,-82.67977
68,27.83197,-82.67998
69,27.83296,-82.68025
70,27.83376,-82.68052
71,27.83464,-82.68088
72,27.83564,-82.68135
73,27.83647,-82.68184
74,27.83762,-82.6826
75,27.83892,-82.68355
76,27.84073,-82.68481
77,27.87449,-82.70882
78,27.89843,-82.72581
79,27.89989,-82.72674
80,27.90179,-82.72765
81,27.90384,-82.7284
82,27.90573,-82.72897
83,27.90759,-82.72923
84,27.91076,-82.72943
85,27.91576,-82.72968
86,27.91951,-82.73003
87,27.92332,-82.73042
88,27.92476,-82.73048
89,27.94609,-82.73016
