,Latitude,Longitude
0,47.97961,-122.18625
1,47.97866,-122.18175
2,47.97823,-122.1768
3,47.97822,-122.1531
4,47.97787,-122.14248
5,47.97753,-122.14017
6,47.97698,-122.13881
7,47.97594,-122.13743
8,47.97365,-122.13609
9,47.96681,-122.13048
10,47.96112,-122.12299
11,47.95993,-122.12157
12,47.95716,-122.11889
13,47.95624,-122.11768
14,47.95522,-122.11595
15,47.95431,-122.11386
16,47.95225,-122.10748
17,47.95196,-122.10537
18,47.95164,-122.09575
19,47.95104,-122.09185
20,47.95045,-122.08951
21,47.94885,-122.08523
22,47.94339,-122.0737
23,47.94244,-122.07231
24,47.94118,-122.07107
25,47.93989,-122.07032
26,47.93823,-122.06992
27,47.93679,-122.07005
28,47.92088,-122.07512
29,47.91987,-122.07516
30,47.91888,-122.07494
31,47.91769,-122.0743
32,47.91696,-122.07365
33,47.91592,-122.07225
34,47.91514,-122.07057
35,47.91482,-122.06941
36,47.91425,-122.06557
37,47.91367,-122.06317
38,47.91165,-122.05746
39,47.90987,-122.05118
40,47.90895,-122.04895
41,47.90785,-122.04685
42,47.90282,-122.03924
43,47.90115,-122.03718
44,47.89915,-122.03534
45,47.87759,-122.01731
46,47.87575,-122.01524
47,47.875,-122.01402
48,47.87398,-122.01181
49,47.86202,-121.98148
50,47.86104,-121.9783
51,47.85697,-121.96014
52,47.85641,-121.95641
53,47.85635,-121.9533
54,47.85683,-121.94594
55,47.85475,-121.90607
56,47.85491,-121.90352
57,47.85556,-121.89953
58,47.85527,-121.8883
59,47.8511,-121.86338
60,47.85098,-121.86177
61,47.85114,-121.85979
62,47.85272,-121.85059
63,47.86161,-121.81749
64,47.86208,-121.80809
65,47.86329,-121.80305
66,47.86561,-121.79507
67,47.86763,-121.78014
68,47.86788,-121.77809
69,47.8678,-121.77757
70,47.86833,-121.77468
71,47.86953,-121.76539
72,47.86967,-121.76341
73,47.8695,-121.7608
74,47.86751,-121.75211
75,47.86719,-121.75007
76,47.86715,-121.73488
77,47.86633,-121.72922
78,47.86627,-121.72266
79,47.86602,-121.72055
80,47.86537,-121.7188
81,47.85917,-121.70671
82,47.85679,-121.70123
83,47.84409,-121.67655
84,47.83473,-121.64955
85,47.8341,-121.64658
86,47.83399,-121.644
87,47.83564,-121.62404
88,47.83561,-121.6223
89,47.83511,-121.62032
90,47.83388,-121.61845
91,47.83316,-121.61792
92,47.83193,-121.6174
93,47.83076,-121.61755
94,47.82898,-121.61909
95,47.8279,-121.61966
96,47.82716,-121.61969
97,47.82649,-121.6195
98,47.8255,-121.61873
99,47.81963,-121.61167
100,47.81741,-121.60636
101,47.81631,-121.60217
102,47.81465,-121.59821
103,47.81447,-121.59657
104,47.81466,-121.59567
105,47.81569,-121.59302
106,47.81573,-121.59107
107,47.8154,-121.58989
108,47.81332,-121.58585
109,47.81298,-121.58491
110,47.81221,-121.58002
111,47.81238,-121.57889
112,47.81366,-121.57515
113,47.81383,-121.57381
114,47.81363,-121.57179
115,47.81334,-121.5706
116,47.81291,-121.56987
117,47.81117,-121.56847
118,47.81063,-121.56757
119,47.80994,-121.56449
120,47.80857,-121.56143
121,47.80754,-121.55718
122,47.80756,-121.55406
123,47.80713,-121.55188
124,47.80718,-121.55
125,47.80784,-121.54795
126,47.80945,-121.54583
127,47.80998,-121.54478
128,47.81024,-121.54335
129,47.81014,-121.54031
130,47.8097,-121.5384
131,47.80577,-121.53006
132,47.80459,-121.52792
133,47.8041,-121.52663
134,47.80409,-121.52448
135,47.80453,-121.5227
136,47.80464,-121.52122
137,47.80456,-121.51903
138,47.80412,-121.51759
139,47.80356,-121.51679
140,47.80261,-121.51613
141,47.79904,-121.51531
142,47.79288,-121.5124
143,47.78517,-121.49881
144,47.78415,-121.49789
145,47.7812,-121.49628
146,47.78018,-121.49531
147,47.75388,-121.46182
148,47.75308,-121.45999
149,47.75257,-121.45751
150,47.75192,-121.45564
151,47.75128,-121.45454
152,47.74635,-121.44814
153,47.74595,-121.44717
154,47.7448,-121.4426
155,47.74385,-121.44096
156,47.74178,-121.43891
157,47.74122,-121.43799
158,47.73359,-121.42018
159,47.73127,-121.41342
160,47.7306,-121.40752
161,47.73018,-121.40642
162,47.72877,-121.40385
163,47.72765,-121.39931
164,47.72702,-121.39747
165,47.72599,-121.39588
166,47.72139,-121.39156
167,47.72049,-121.39029
168,47.71988,-121.38907
169,47.71703,-121.38073
170,47.71593,-121.37893
171,47.71332,-121.37611
172,47.71237,-121.37467
173,47.71163,-121.37317
174,47.71059,-121.37028
175,47.71023,-121.36871
176,47.71026,-121.36635
177,47.71189,-121.3597
178,47.71184,-121.35514
179,47.712,-121.35331
180,47.71404,-121.34754
181,47.7145,-121.34527
182,47.71435,-121.3431
183,47.71203,-121.3268
184,47.71226,-121.31562
185,47.71124,-121.30478
186,47.71243,-121.29263
187,47.71287,-121.28996
188,47.7135,-121.2878
189,47.71654,-121.2821
190,47.7172,-121.27904
191,47.717,-121.27567
192,47.71648,-121.27407
193,47.71514,-121.27143
