,Latitude,Longitude
0,42.9122348,-77.746364
1,42.9121245,-77.7462463
2,42.9120826,-77.7462238
3,42.9120187,-77.7461896
4,42.9119401,-77.7461762
5,42.9118144,-77.7460663
6,42.9117187,-77.7460347
7,42.9116455,-77.7459992
8,42.911589,-77.7459516
9,42.9115433,-77.7458892
10,42.9114988,-77.7458099
11,42.9114635,-77.7456972
12,42.911451,-77.7456049
13,42.9114536,-77.745488
14,42.9114674,-77.745378
15,42.9114962,-77.7452911
16,42.9115433,-77.7451731
17,42.911616,-77.7450846
18,42.9116678,-77.7450347
19,42.9117437,-77.7449317
20,42.9117987,-77.744752
21,42.9118164,-77.7445776
22,42.9117797,-77.7443371
