,Latitude,Longitude
0,42.82409,-105.79756
1,42.82504,-105.79737
2,42.82577,-105.79746
3,42.82635,-105.79776
4,42.82709,-105.79843
5,42.84369,-105.81913
6,42.84515,-105.82119
7,42.84663,-105.82399
8,42.8602,-105.85344
9,42.86096,-105.8555
10,42.86131,-105.85769
11,42.86146,-105.88883
12,42.86063,-105.9004
13,42.86119,-105.92076
14,42.86099,-105.92456
15,42.85763,-105.94311
16,42.85691,-105.94633
17,42.85569,-105.95042
18,42.85109,-105.96324
19,42.84657,-105.98037
20,42.84616,-105.98322
21,42.84563,-105.99319
22,42.84577,-106.00227
23,42.84619,-106.00523
24,42.84692,-106.00813
25,42.84823,-106.01146
26,42.85918,-106.03386
27,42.86017,-106.03703
28,42.86058,-106.04049
29,42.86043,-106.04342
30,42.85335,-106.10397
31,42.85342,-106.10802
32,42.8558,-106.13054
33,42.8561,-106.13452
34,42.85595,-106.13784
35,42.85412,-106.154
36,42.85269,-106.16639
37,42.85212,-106.16919
38,42.85125,-106.17155
39,42.84676,-106.18029
40,42.8456,-106.18303
41,42.84366,-106.18838
42,42.84324,-106.19042
43,42.84305,-106.19269
44,42.84328,-106.19617
45,42.84397,-106.19906
46,42.84485,-106.20118
47,42.84893,-106.20895
48,42.85288,-106.22098
49,42.85349,-106.22385
50,42.85784,-106.26449
51,42.85769,-106.26713
52,42.85631,-106.27751
53,42.85625,-106.28036
54,42.85501,-106.2918
