,Latitude,Longitude
0,43.63853,-108.21235
1,43.63891,-108.21218
2,43.65034,-108.21177
3,43.65058,-108.21123
4,43.65058,-108.20678
5,43.65082,-108.20574
6,43.6512,-108.20492
7,43.6536,-108.20231
8,43.65622,-108.19863
9,43.65722,-108.19797
10,43.65883,-108.19753
11,43.65989,-108.19756
12,43.66078,-108.19801
13,43.66147,-108.19875
14,43.66319,-108.20126
15,43.66418,-108.20205
16,43.66664,-108.20296
17,43.66912,-108.20437
18,43.67236,-108.20575
19,43.67377,-108.2059
20,43.67506,-108.20544
21,43.6758,-108.20488
22,43.6765,-108.20403
23,43.68273,-108.19391
24,43.68444,-108.1916
25,43.68852,-108.18733
26,43.6973,-108.17738
27,43.69871,-108.17643
28,43.70026,-108.17609
29,43.70955,-108.17615
30,43.71388,-108.17638
31,43.76396,-108.17604
32,43.76614,-108.17616
33,43.76825,-108.17668
34,43.76987,-108.17739
35,43.78078,-108.18367
36,43.78238,-108.18444
37,43.80542,-108.19121
38,43.8223,-108.20152
39,43.82454,-108.20272
40,43.82666,-108.20356
41,43.82861,-108.20408
42,43.8306,-108.20438
43,43.83259,-108.20447
44,43.83459,-108.20432
45,43.83656,-108.20395
46,43.83868,-108.20329
47,43.84071,-108.20238
48,43.84258,-108.2013
49,43.84599,-108.1986
50,43.84905,-108.19516
51,43.85102,-108.19224
52,43.8579,-108.18103
53,43.85891,-108.17846
54,43.86797,-108.14932
55,43.86907,-108.147
56,43.87046,-108.1455
57,43.89519,-108.12395
58,43.89709,-108.12187
59,43.89862,-108.11963
60,43.9005,-108.11583
61,43.91746,-108.07832
62,43.92579,-108.05789
63,43.92716,-108.05553
64,43.94609,-108.02574
65,43.94829,-108.02284
66,43.95772,-108.01335
67,43.95941,-108.01213
68,43.96487,-108.00902
69,43.96625,-108.00849
70,43.96756,-108.00827
71,43.97729,-108.00823
72,43.97917,-108.00774
73,43.9809,-108.00682
74,43.99427,-107.9963
75,43.99542,-107.99475
76,43.99708,-107.99125
77,43.9984,-107.98971
78,44.00051,-107.98804
79,44.00433,-107.9856
80,44.00866,-107.98107
81,44.01222,-107.97935
82,44.01304,-107.97872
83,44.01382,-107.9777
84,44.01439,-107.97646
85,44.01533,-107.97229
86,44.01673,-107.9678
87,44.01683,-107.95583
88,44.02404,-107.95572
89,44.02619,-107.9552
90,44.02837,-107.95422
91,44.04758,-107.94105
92,44.05172,-107.93709
93,44.05623,-107.93513
94,44.0676,-107.92734
95,44.06969,-107.92618
96,44.07217,-107.92539
97,44.09604,-107.92111
98,44.09798,-107.92049
99,44.09917,-107.91977
100,44.10017,-107.91892
101,44.10895,-107.90982
102,44.1099,-107.90914
103,44.11106,-107.90873
104,44.14953,-107.9084
105,44.16415,-107.90865
106,44.16672,-107.90833
107,44.19388,-107.90344
108,44.19578,-107.90327
109,44.20876,-107.90423
110,44.21115,-107.90472
111,44.21286,-107.90541
112,44.21431,-107.90624
113,44.22107,-107.9112
114,44.22369,-107.91346
115,44.24544,-107.93456
116,44.26017,-107.94653
117,44.26209,-107.94902
118,44.26548,-107.95563
119,44.2663,-107.95772
120,44.26661,-107.95988
121,44.2657,-107.97555
122,44.26581,-107.97819
123,44.26665,-107.98178
124,44.26732,-107.98334
125,44.26895,-107.98624
126,44.2693,-107.98733
127,44.26946,-107.98849
128,44.26955,-108.01157
129,44.26993,-108.01795
130,44.27052,-108.02162
131,44.27133,-108.02448
132,44.27233,-108.02695
133,44.27758,-108.03626
134,44.27911,-108.03816
135,44.28088,-108.03984
136,44.28267,-108.0411
137,44.28477,-108.04209
138,44.29555,-108.04496
139,44.29779,-108.04522
140,44.30044,-108.04494
141,44.30959,-108.04233
142,44.3109,-108.04219
143,44.31228,-108.04229
144,44.31391,-108.04277
145,44.32884,-108.04896
146,44.33103,-108.04948
147,44.3335,-108.04955
148,44.34139,-108.04924
149,44.34274,-108.04899
150,44.34447,-108.04843
151,44.34598,-108.04768
152,44.34737,-108.04676
153,44.35482,-108.04062
154,44.35622,-108.03986
155,44.35771,-108.03938
156,44.36286,-108.03896
157,44.38529,-108.03894
158,44.38598,-108.03907
159,44.38672,-108.03945
160,44.39539,-108.04532
161,44.3975,-108.04613
162,44.40458,-108.04649
163,44.40589,-108.04676
164,44.40847,-108.04771
165,44.40979,-108.04803
166,44.42305,-108.04954
167,44.42482,-108.04955
168,44.42947,-108.04908
169,44.43609,-108.04906
170,44.44377,-108.05058
171,44.44977,-108.0506
172,44.45201,-108.05092
173,44.45348,-108.05139
174,44.45516,-108.05217
175,44.46291,-108.05762
176,44.46416,-108.05825
177,44.46525,-108.05853
178,44.4672,-108.0585
179,44.47296,-108.05708
180,44.47684,-108.05704
181,44.48299,-108.05556
182,44.48455,-108.05531
183,44.50237,-108.05537
184,44.50349,-108.05556
