,Latitude,Longitude
0,42.34854,-71.50714
1,42.34983,-71.50535
2,42.35074,-71.50212
3,42.35083,-71.50031
4,42.35054,-71.4945
5,42.35065,-71.49124
6,42.35326,-71.48172
7,42.35541,-71.47533
8,42.35562,-71.47317
9,42.35547,-71.46826
10,42.35577,-71.46612
11,42.35681,-71.46337
12,42.35945,-71.459
13,42.36002,-71.45746
14,42.36074,-71.45462
15,42.36075,-71.45281
16,42.36019,-71.44926
17,42.36065,-71.44164
18,42.36018,-71.43614
19,42.36032,-71.43227
20,42.35993,-71.42881
21,42.35996,-71.42651
22,42.36137,-71.41859
23,42.36204,-71.41733
24,42.36215,-71.41639
25,42.36208,-71.41455
26,42.36131,-71.40782
27,42.36161,-71.40619
28,42.36166,-71.40472
29,42.36117,-71.40193
30,42.36188,-71.39906
31,42.363,-71.39624
32,42.36316,-71.39541
33,42.36291,-71.3842
34,42.3633,-71.37327
35,42.36293,-71.35953
36,42.36383,-71.35647
37,42.36394,-71.35548
38,42.36382,-71.35459
39,42.36315,-71.3528
40,42.36249,-71.34896
41,42.3621,-71.3482
42,42.3611,-71.34702
43,42.3606,-71.34586
44,42.36014,-71.34063
45,42.36005,-71.33734
46,42.36018,-71.33641
47,42.36177,-71.3322
48,42.36302,-71.32829
49,42.36447,-71.32224
50,42.36482,-71.316
51,42.36463,-71.31437
52,42.36401,-71.31178
53,42.36395,-71.3099
54,42.36495,-71.30201
55,42.3666,-71.29727
56,42.36717,-71.29386
57,42.36739,-71.28982
58,42.3677,-71.28804
59,42.36732,-71.28238
60,42.36746,-71.27552
61,42.36765,-71.27445
62,42.36855,-71.2725
