,Latitude,Longitude
0,42.65699,-105.20334
1,42.67127,-105.21331
2,42.67285,-105.21468
3,42.67441,-105.21644
4,42.67578,-105.21844
5,42.69945,-105.25704
6,42.70843,-105.27021
7,42.70981,-105.27252
8,42.71074,-105.27458
9,42.71167,-105.27736
10,42.72104,-105.31532
11,42.72218,-105.31922
12,42.72405,-105.32395
13,42.7357,-105.34913
14,42.73671,-105.3518
15,42.73751,-105.3546
16,42.73833,-105.35915
17,42.73858,-105.36371
18,42.73723,-105.38676
19,42.73768,-105.39067
20,42.73879,-105.39435
21,42.73982,-105.39649
22,42.74369,-105.40319
23,42.74463,-105.40447
24,42.74567,-105.40548
25,42.74707,-105.40637
26,42.74846,-105.40686
27,42.75292,-105.40706
28,42.75449,-105.40742
29,42.7563,-105.40844
30,42.75772,-105.40983
31,42.75888,-105.41161
32,42.75972,-105.41376
33,42.76015,-105.4158
34,42.76093,-105.42238
35,42.76164,-105.42468
36,42.76265,-105.42668
37,42.7636,-105.42799
38,42.76468,-105.42909
39,42.77523,-105.43769
40,42.77676,-105.4391
41,42.77859,-105.44169
42,42.77934,-105.44327
43,42.77997,-105.44516
44,42.78044,-105.44739
45,42.78063,-105.45017
46,42.78025,-105.48055
47,42.78029,-105.50017
48,42.78044,-105.5047
49,42.78136,-105.51632
50,42.78217,-105.51972
51,42.79182,-105.55069
52,42.79264,-105.5545
53,42.79293,-105.55816
54,42.79387,-105.60294
55,42.80039,-105.65022
56,42.80113,-105.6548
57,42.80278,-105.66137
58,42.82015,-105.71578
59,42.82091,-105.71882
60,42.82113,-105.72118
61,42.82109,-105.72336
62,42.81875,-105.74868
63,42.81866,-105.75218
64,42.81886,-105.75479
65,42.82409,-105.79754
