,Latitude,Longitude
0,42.65698,-105.20317
1,42.6713,-105.21317
2,42.67303,-105.21468
3,42.67473,-105.21665
4,42.69953,-105.25696
5,42.70874,-105.27047
6,42.71004,-105.27273
7,42.71106,-105.27508
8,42.71184,-105.27757
9,42.72098,-105.31465
10,42.72227,-105.31914
11,42.72427,-105.32416
12,42.7358,-105.3491
13,42.73681,-105.35176
14,42.73768,-105.35482
15,42.73846,-105.35944
16,42.73868,-105.36386
17,42.73734,-105.38675
18,42.73776,-105.39055
19,42.7388,-105.39407
20,42.73989,-105.3964
21,42.74365,-105.4029
22,42.74455,-105.40419
23,42.74571,-105.40535
24,42.74699,-105.40618
25,42.74847,-105.40671
26,42.75284,-105.40691
27,42.75432,-105.40721
28,42.75619,-105.40818
29,42.75779,-105.40972
30,42.75894,-105.41149
31,42.75978,-105.41356
32,42.76026,-105.41581
33,42.76103,-105.42235
34,42.76173,-105.4246
35,42.76273,-105.42659
36,42.76365,-105.42786
37,42.76472,-105.42895
38,42.77674,-105.43887
39,42.7779,-105.44028
40,42.77888,-105.44186
41,42.7796,-105.44344
42,42.78022,-105.44533
43,42.78068,-105.44767
44,42.78085,-105.45037
45,42.78047,-105.4807
46,42.78049,-105.50347
47,42.78144,-105.51605
48,42.78212,-105.51919
49,42.79197,-105.55082
50,42.79275,-105.5545
51,42.79303,-105.55815
52,42.79397,-105.60283
53,42.80049,-105.65017
54,42.80124,-105.65477
55,42.80297,-105.66161
56,42.8203,-105.71584
57,42.82103,-105.71884
58,42.82124,-105.72097
59,42.82122,-105.72308
60,42.81887,-105.74855
61,42.81877,-105.7522
62,42.81899,-105.75491
63,42.82419,-105.79751
