,Latitude,Longitude
0,40.9259653,-74.7187157
1,40.9261025,-74.7187366
2,40.9262492,-74.7187469
3,40.9266149,-74.7187866
4,40.9266957,-74.7187904
5,40.9269389,-74.7188017
6,40.9280413,-74.7188661
7,40.9286241,-74.718808
8,40.9288184,-74.7187602
9,40.9290696,-74.7186983
10,40.9294261,-74.718639
11,40.9297281,-74.7186142
12,40.9298383,-74.7185981
13,40.9300074,-74.718603
14,40.9302059,-74.7186068
15,40.9303478,-74.7186058
16,40.9304222,-74.7186121
17,40.9307864,-74.7186526
18,40.9309292,-74.7186593
19,40.9315515,-74.7186432
20,40.9317597,-74.7186378
21,40.9319818,-74.7186575
22,40.932158,-74.7186941
23,40.9322664,-74.7186944
24,40.9323939,-74.7186948
25,40.9325033,-74.7187445
26,40.9326476,-74.7188242
27,40.9329035,-74.7190025
28,40.9330538,-74.7191556
29,40.9333089,-74.7193964
30,40.9334487,-74.7195364
31,40.9336395,-74.7197313
32,40.933934,-74.7200016
33,40.9342605,-74.7203106
34,40.9348333,-74.7207558
35,40.9349747,-74.7208639
36,40.935126,-74.7209604
37,40.9355596,-74.7213078
38,40.9357118,-74.7215065
39,40.9358061,-74.7216985
40,40.9358164,-74.7217174
41,40.9359154,-74.7218532
42,40.9361111,-74.7221688
43,40.9361877,-74.7222923
44,40.9369925,-74.7235591
45,40.9375987,-74.7245084
46,40.9378148,-74.7247988
47,40.9380771,-74.7250543
48,40.9383885,-74.7252686
49,40.9387166,-74.7254259
50,40.9391357,-74.7256189
51,40.9395938,-74.7258306
52,40.9399065,-74.7260251
53,40.9401646,-74.7262598
54,40.940457,-74.7266176
55,40.9405965,-74.7268559
56,40.9408037,-74.7272656
57,40.9410567,-74.7278171
58,40.9413381,-74.7284069
59,40.9414029,-74.7285289
60,40.9415527,-74.7287491
61,40.9418062,-74.7290268
62,40.9420614,-74.7292415
63,40.9422511,-74.7293722
64,40.9425529,-74.7295085
65,40.9428919,-74.7295987
66,40.9433796,-74.7297255
67,40.9454074,-74.7302179
68,40.9457681,-74.7303193
69,40.9460571,-74.7304411
70,40.9463357,-74.7305899
71,40.946572,-74.7307451
72,40.9468137,-74.7309292
73,40.9476363,-74.7316263
74,40.9477493,-74.7317221
75,40.9478025,-74.7317708
76,40.9481244,-74.7320657
77,40.9485694,-74.7324427
78,40.9489516,-74.7327996
79,40.9494408,-74.7332212
80,40.9495115,-74.733282
81,40.9495699,-74.7333322
82,40.9498179,-74.7335456
83,40.9498694,-74.7335899
84,40.9499986,-74.7336862
85,40.9500987,-74.7337609
86,40.9504012,-74.7339864
87,40.9504344,-74.7340111
88,40.9504716,-74.7340388
89,40.9507686,-74.7342579
90,40.950804,-74.734284
91,40.9511681,-74.7345245
92,40.9515649,-74.7347668
93,40.9520693,-74.7350568
94,40.9523615,-74.735219
95,40.9525424,-74.7353194
96,40.9530396,-74.7355444
97,40.9533884,-74.7356894
98,40.9539856,-74.7359376
99,40.9543187,-74.7360723
100,40.9547638,-74.7362353
101,40.955132,-74.7363936
102,40.9554139,-74.7365148
103,40.955649,-74.7366382
104,40.9559644,-74.7368439
105,40.9563987,-74.7371431
106,40.9568151,-74.7374676
107,40.9571456,-74.7376329
108,40.9575703,-74.7378121
109,40.9580414,-74.7379566
110,40.9596359,-74.7383372
111,40.9598902,-74.7383979
112,40.9605143,-74.7385645
113,40.9612425,-74.7387589
114,40.9617553,-74.7389056
115,40.9618679,-74.7389379
116,40.962283,-74.7389973
117,40.962641,-74.7390003
118,40.963508,-74.7389727
119,40.9636415,-74.7389723
120,40.9641423,-74.7389485
121,40.9645654,-74.7389757
122,40.9648795,-74.7390323
123,40.9652212,-74.7391265
124,40.9656442,-74.739272
125,40.966003,-74.7394284
126,40.9660654,-74.7394556
127,40.9664464,-74.7396378
128,40.9671912,-74.740017
129,40.9675643,-74.7401957
130,40.9678632,-74.7403172
131,40.9683353,-74.7404577
132,40.9698369,-74.7407732
133,40.9710815,-74.7410019
134,40.9722714,-74.7411971
135,40.9724929,-74.7412174
136,40.9728498,-74.7411702
137,40.9730542,-74.7410758
138,40.9733816,-74.7408835
139,40.9735125,-74.740771
140,40.9735199,-74.7407644
141,40.9736577,-74.7406337
142,40.9738023,-74.7404811
143,40.9739382,-74.7403213
144,40.9740665,-74.7401656
145,40.9742309,-74.739994
146,40.9742775,-74.7399455
147,40.9745416,-74.7397117
148,40.9747618,-74.7395759
149,40.9749428,-74.7394919
150,40.9751629,-74.7394135
151,40.9754061,-74.739351
152,40.9759729,-74.7392379
153,40.9766615,-74.7390955
154,40.9776994,-74.738869
155,40.9779885,-74.7387997
156,40.9782493,-74.7387553
157,40.9785521,-74.7387334
158,40.9788243,-74.7387452
159,40.9789996,-74.7387781
160,40.9792688,-74.7388585
161,40.979564,-74.7389828
162,40.9797831,-74.7390718
163,40.9799703,-74.7391478
164,40.9804103,-74.7393094
165,40.9810066,-74.7395322
166,40.9813233,-74.7396334
167,40.9815358,-74.7397204
168,40.9816457,-74.7397769
169,40.9817561,-74.7398487
170,40.9818588,-74.7399265
171,40.9822441,-74.7402594
172,40.9824585,-74.7404322
173,40.982712,-74.7405939
174,40.9831504,-74.7408724
175,40.9836653,-74.7411994
176,40.9838824,-74.7413378
177,40.9843188,-74.741602
178,40.9845479,-74.7417145
179,40.9847248,-74.7417832
180,40.9849502,-74.7418523
181,40.9851723,-74.7418986
182,40.9854264,-74.7419515
183,40.9855135,-74.7419682
184,40.9857658,-74.7420164
185,40.9859308,-74.7420433
186,40.9862497,-74.7420953
187,40.9864782,-74.7421373
188,40.986673,-74.7421684
189,40.9869624,-74.742218
190,40.9870007,-74.7422244
191,40.9872146,-74.7422493
192,40.9875951,-74.7423088
193,40.9880667,-74.7423694
194,40.9882211,-74.7423892
195,40.9888273,-74.7424702
196,40.9889418,-74.7424855
197,40.9893797,-74.742544
198,40.989449,-74.7425533
199,40.9897568,-74.7426004
200,40.9904552,-74.7427072
201,40.9906784,-74.7427413
202,40.9912892,-74.7428284
203,40.9917378,-74.7428924
204,40.9917871,-74.7428994
205,40.991846,-74.7429086
206,40.9927319,-74.7430466
207,40.9930852,-74.7431053
208,40.9932511,-74.7431435
209,40.9933524,-74.7431632
210,40.993461,-74.7431784
211,40.993619,-74.7432099
212,40.9937175,-74.7432216
213,40.9938002,-74.7432378
214,40.993926,-74.7432613
215,40.9941489,-74.7432968
216,40.9945211,-74.7433502
217,40.9949435,-74.7434151
218,40.9951075,-74.7434368
219,40.9952896,-74.7434604
220,40.9954561,-74.743474
221,40.995491,-74.7434814
222,40.9955895,-74.743494
223,40.9956513,-74.7435055
224,40.9959127,-74.7435652
225,40.9960021,-74.7435817
226,40.9960819,-74.7436029
227,40.9961846,-74.743629
228,40.9962916,-74.7436641
229,40.9963925,-74.7436961
230,40.996437,-74.7437103
231,40.9965776,-74.7437752
232,40.996862,-74.7439149
233,40.9976427,-74.7444044
234,40.9978407,-74.7445431
235,40.9979826,-74.7446291
236,40.9980623,-74.7447081
237,40.9981911,-74.7448312
238,40.9984267,-74.7450781
239,40.9985837,-74.745245
240,40.9987069,-74.7453821
241,40.9989459,-74.7457065
242,40.999095,-74.7459476
243,40.9992212,-74.7462051
244,40.9992444,-74.746267
245,40.9993273,-74.7464886
246,40.9993827,-74.7466838
247,40.9994364,-74.7468976
248,40.9995143,-74.7472719
249,40.999593,-74.7478374
250,40.9996167,-74.748008
251,40.9996251,-74.7480542
252,40.9996758,-74.7483964
253,40.9996785,-74.7484145
254,40.9997667,-74.7488317
255,40.9998881,-74.7492623
256,41.0000093,-74.7496219
257,41.0001714,-74.7499871
258,41.0003012,-74.7502203
259,41.0004478,-74.75042
260,41.0006552,-74.7506302
261,41.0019523,-74.75186
262,41.0022104,-74.7520912
263,41.0023102,-74.7521806
264,41.0025089,-74.7523586
265,41.0029426,-74.7527033
266,41.0033713,-74.7530018
267,41.0034572,-74.7530529
268,41.0043983,-74.7535464
269,41.0045297,-74.7536108
270,41.0055556,-74.7541192
271,41.0065975,-74.7546357
272,41.0072494,-74.7549648
273,41.0076106,-74.755213
274,41.0078975,-74.7554735
275,41.0081862,-74.755833
276,41.0084433,-74.7562469
277,41.008585,-74.7565657
278,41.0086256,-74.7566571
279,41.0087529,-74.7570456
280,41.008858,-74.7575414
281,41.0088648,-74.7576014
282,41.0089488,-74.7583457
283,41.0090162,-74.7588415
284,41.0091305,-74.759371
285,41.0092562,-74.7598211
286,41.0094139,-74.7602644
287,41.0096124,-74.7607432
288,41.0101518,-74.761966
289,41.0103956,-74.7625188
290,41.0106705,-74.7631241
291,41.0108913,-74.7636452
292,41.0111374,-74.7641546
293,41.011324,-74.7644986
294,41.011554,-74.7648321
295,41.0117396,-74.7650643
296,41.011765,-74.765096
297,41.0119993,-74.7653633
298,41.0122156,-74.7655619
299,41.0124507,-74.7657576
300,41.0127176,-74.7659478
301,41.0130002,-74.7661108
302,41.0132813,-74.7662365
303,41.0136059,-74.7663476
304,41.0142603,-74.7666339
305,41.0147415,-74.7668344
306,41.0148537,-74.766882
307,41.0152647,-74.7670562
308,41.0157799,-74.7672775
309,41.0163656,-74.7675103
310,41.0167494,-74.7676903
311,41.0170719,-74.7678687
312,41.0173714,-74.7680344
313,41.0177051,-74.7682518
314,41.0180141,-74.7684867
315,41.0183258,-74.7686947
316,41.0184759,-74.7687949
317,41.0188933,-74.7690331
318,41.0191862,-74.7691334
319,41.0193994,-74.7691842
320,41.0196028,-74.7692231
321,41.0197505,-74.7692434
322,41.0200058,-74.7692568
323,41.0202238,-74.7692598
324,41.0203498,-74.7692616
325,41.0206364,-74.7692204
326,41.0208586,-74.7691885
327,41.0209949,-74.7691651
328,41.022287,-74.768943
329,41.0224861,-74.768908
330,41.022976,-74.7688388
331,41.0235335,-74.7687537
332,41.0238726,-74.768702
333,41.0241432,-74.7686607
334,41.0242013,-74.7686516
335,41.0244069,-74.7686196
336,41.0250621,-74.7685177
337,41.0259103,-74.7683833
338,41.0260779,-74.7683567
339,41.0263595,-74.7683121
340,41.0271869,-74.7681723
341,41.0274455,-74.7681255
342,41.0277638,-74.7680679
343,41.027854,-74.7680434
344,41.028222,-74.7679433
345,41.0286607,-74.7677862
346,41.0290614,-74.7676087
347,41.0294719,-74.7673978
348,41.0298702,-74.7671511
349,41.0299793,-74.7670764
350,41.0304276,-74.7667692
351,41.0308702,-74.7665231
352,41.0309819,-74.7664756
353,41.0311815,-74.7663907
354,41.0315065,-74.7662753
355,41.0319375,-74.7661744
356,41.032356,-74.766121
357,41.032597,-74.7661076
358,41.0326644,-74.7661039
359,41.03318,-74.766121
360,41.0335142,-74.766147
361,41.0341012,-74.7661927
362,41.0349938,-74.7662623
363,41.0356335,-74.7662231
364,41.0362063,-74.766123
365,41.0365923,-74.7660021
366,41.0370995,-74.7657907
367,41.0375722,-74.7655512
368,41.0380793,-74.7652942
369,41.0381583,-74.76525
370,41.03853,-74.7650421
371,41.0387438,-74.7649038
372,41.0389768,-74.764753
373,41.0391233,-74.7646476
374,41.0392835,-74.7645324
375,41.0395514,-74.7643052
376,41.0397825,-74.7640655
377,41.0401336,-74.7636294
378,41.040534,-74.763172
379,41.040871,-74.762839
380,41.0410818,-74.7626382
381,41.0410854,-74.7626347
382,41.0423162,-74.7616419
383,41.0432421,-74.7608444
384,41.0434426,-74.7606664
385,41.0437452,-74.7603448
386,41.0439934,-74.7600022
387,41.0442736,-74.7595243
388,41.044331,-74.7594279
389,41.0445133,-74.7591216
390,41.045271,-74.7578486
391,41.0461178,-74.7567707
392,41.0462961,-74.7565718
393,41.0463805,-74.7564943
394,41.0466234,-74.7565045
395,41.0471103,-74.7565619
396,41.0485741,-74.7566743
397,41.0488808,-74.7566938
398,41.0491159,-74.7567224
399,41.0494786,-74.7567486
400,41.0501005,-74.7567738
401,41.0505072,-74.7567647
402,41.0509776,-74.756747
403,41.0519808,-74.7567529
404,41.0522596,-74.7567372
405,41.0524636,-74.7566627
406,41.0526892,-74.7564913
407,41.0529862,-74.7562746
408,41.0535303,-74.7558624
409,41.0540275,-74.7555658
410,41.054351,-74.7554084
411,41.0546764,-74.7552794
412,41.0547778,-74.7552474
413,41.055277,-74.7550899
414,41.0555967,-74.7549482
415,41.0556648,-74.754918
416,41.0558226,-74.7547877
417,41.0560976,-74.7545606
418,41.0567531,-74.7539365
419,41.0573353,-74.7532899
420,41.0576204,-74.7529526
421,41.057647,-74.752924
422,41.0576923,-74.7528753
423,41.0580018,-74.7525309
424,41.0580648,-74.7524607
425,41.0584664,-74.7530305
426,41.0585672,-74.7530463
427,41.0587594,-74.7530996
428,41.0591078,-74.7531493
429,41.0592178,-74.7531249
430,41.05927,-74.7531035
431,41.0594688,-74.7530204
432,41.0596348,-74.7528963
433,41.0596861,-74.7528472
434,41.0597756,-74.7527615
435,41.0598398,-74.7526893
436,41.06008,-74.7524193
437,41.0604434,-74.752042
438,41.0609936,-74.7513917
439,41.0616938,-74.7505958
440,41.0625005,-74.7496789
441,41.0628975,-74.7492276
442,41.0633812,-74.7487439
443,41.0634723,-74.7486647
444,41.0636194,-74.7485477
445,41.063682,-74.7484957
446,41.0637851,-74.7484105
447,41.0645771,-74.7477994
448,41.0647234,-74.7476762
449,41.0649668,-74.7474382
450,41.0650854,-74.7473222
451,41.0652689,-74.7470793
452,41.0656411,-74.7465868
453,41.0660755,-74.7459762
454,41.0661931,-74.7458109
455,41.0662361,-74.7457504
456,41.066411,-74.7455206
457,41.0664525,-74.7454661
458,41.0664711,-74.745441
459,41.0666567,-74.7451909
460,41.0669592,-74.7448626
461,41.0669734,-74.7448492
462,41.0674174,-74.7444303
463,41.0678043,-74.7440587
464,41.0679629,-74.7439063
465,41.0682666,-74.7436144
466,41.0683085,-74.7435741
467,41.0695526,-74.7423858
468,41.0702584,-74.74175
469,41.0705007,-74.7415293
470,41.0708827,-74.7411898
471,41.0711599,-74.7409182
472,41.0713828,-74.7406862
473,41.0714776,-74.7405979
474,41.0715733,-74.7405122
475,41.0716752,-74.740421
476,41.0721465,-74.7400333
477,41.0724782,-74.7397612
478,41.0726708,-74.7396281
479,41.0729406,-74.7394583
480,41.0731828,-74.7393105
481,41.073324,-74.7392244
482,41.0737575,-74.7390355
483,41.0738717,-74.7389858
484,41.0740069,-74.7389287
485,41.0743092,-74.7388011
486,41.074723,-74.7386264
487,41.0748327,-74.7385829
488,41.0755174,-74.7383111
489,41.0756561,-74.7382441
490,41.0758945,-74.7381414
491,41.0769035,-74.7376977
492,41.0771153,-74.7375999
493,41.0772184,-74.7375523
494,41.0774283,-74.7374555
495,41.077634,-74.7373473
496,41.0778979,-74.7372084
497,41.0779607,-74.7371711
498,41.0780262,-74.7371323
499,41.0781161,-74.737079
500,41.0787478,-74.7367044
501,41.0789771,-74.7365684
502,41.0791325,-74.7364762
503,41.0793647,-74.7363385
504,41.0796797,-74.7361517
505,41.079743,-74.736115
506,41.07998,-74.7359777
507,41.0804345,-74.7357142
508,41.080954,-74.7354131
509,41.0812839,-74.7352157
510,41.0816673,-74.7349865
511,41.0825943,-74.7344299
512,41.0835947,-74.7338071
513,41.0838322,-74.7336543
514,41.0856896,-74.7324775
515,41.0861018,-74.7322159
516,41.0868315,-74.7317432
517,41.0874643,-74.7313928
518,41.0881142,-74.731146
519,41.0884693,-74.731057
520,41.0888921,-74.7309765
521,41.0893525,-74.7309269
522,41.0897366,-74.7309026
523,41.0898073,-74.7309047
524,41.0902409,-74.7309173
525,41.0904946,-74.7309458
526,41.0911192,-74.7310519
527,41.0916612,-74.7312188
528,41.0922061,-74.7313689
529,41.0923078,-74.7313969
530,41.0927742,-74.7315254
531,41.0928481,-74.7315457
532,41.092921,-74.7315658
533,41.0936423,-74.7317754
534,41.0937185,-74.7317976
535,41.0943043,-74.7319236
536,41.0948585,-74.7319776
537,41.0954366,-74.7320028
538,41.0957307,-74.7319923
539,41.0962771,-74.7318966
540,41.0969312,-74.7317514
541,41.0975928,-74.731506
542,41.0980597,-74.7312917
543,41.0994314,-74.7305089
544,41.099687,-74.730363
545,41.101819,-74.7291462
546,41.1018517,-74.7291272
547,41.1029217,-74.7285049
548,41.104596,-74.727551
549,41.1051338,-74.7272355
550,41.106551,-74.726404
551,41.1089096,-74.7249971
552,41.1098506,-74.72437
553,41.1106767,-74.7236608
554,41.111219,-74.723162
555,41.111555,-74.722832
556,41.1118601,-74.7225122
557,41.112162,-74.7221823
558,41.112596,-74.721708
559,41.112893,-74.721379
560,41.1137404,-74.7204403
561,41.1140655,-74.7200802
562,41.1148277,-74.7192358
563,41.1152308,-74.7187893
564,41.1156401,-74.7183496
565,41.1161094,-74.7178455
566,41.1167831,-74.7171021
567,41.1169411,-74.7169278
568,41.1175254,-74.7162829
569,41.1176115,-74.7161658
570,41.1179751,-74.7157492
571,41.1181834,-74.7155105
572,41.1185804,-74.7150647
573,41.1189684,-74.7146235
574,41.1190522,-74.7145269
575,41.1191553,-74.7144049
576,41.1195859,-74.7139285
577,41.1196093,-74.7139024
578,41.1196749,-74.7138271
579,41.1202956,-74.7131128
580,41.1203702,-74.713026
581,41.1204258,-74.7130911
582,41.1210597,-74.7138856
583,41.121199,-74.714203
584,41.1214689,-74.7145748
585,41.1216155,-74.7147843
586,41.1217708,-74.7150063
587,41.1217947,-74.7150404
588,41.1218893,-74.7151845
589,41.1220242,-74.7153897
590,41.1221557,-74.7155898
591,41.122259,-74.715747
592,41.1226032,-74.716307
593,41.1233104,-74.7174448
594,41.1235379,-74.7178125
595,41.1237054,-74.7181037
596,41.1238404,-74.7183219
597,41.1249778,-74.7201529
598,41.1256216,-74.7211894
599,41.1262856,-74.7224115
600,41.1266563,-74.7230938
601,41.1268707,-74.7235216
602,41.1272417,-74.7242621
603,41.1277206,-74.7253294
604,41.1277795,-74.7254848
605,41.128095,-74.7263175
606,41.1285229,-74.7275787
607,41.128876,-74.7285258
608,41.1292721,-74.7296482
609,41.1297766,-74.731078
610,41.1302074,-74.7322991
611,41.1304005,-74.7328946
612,41.1306323,-74.7334586
613,41.1308535,-74.7338395
614,41.1311986,-74.7342815
615,41.1312405,-74.7343369
616,41.1318083,-74.7350883
617,41.1323291,-74.7357109
618,41.132649,-74.736017
619,41.1330184,-74.7362809
620,41.135549,-74.73789
621,41.1356327,-74.7379431
622,41.1363465,-74.7383958
623,41.1371179,-74.738885
624,41.137173,-74.73892
625,41.1375188,-74.7391393
626,41.1378455,-74.7393463
627,41.1381438,-74.7395362
628,41.1384913,-74.7398809
629,41.1388508,-74.7404385
630,41.1389964,-74.7407092
631,41.1394239,-74.7415039
632,41.1398645,-74.7423046
633,41.1401632,-74.7428783
634,41.1402857,-74.7431311
635,41.1404228,-74.7434536
636,41.1406218,-74.7439184
637,41.140891,-74.7446756
638,41.1411003,-74.7453027
639,41.1412136,-74.7457265
640,41.1414116,-74.7464171
641,41.1417603,-74.7477847
642,41.1420491,-74.748973
643,41.1420494,-74.7491766
644,41.142127,-74.7494384
645,41.1423561,-74.7502627
646,41.1424925,-74.7506539
647,41.1427568,-74.751412
648,41.1430358,-74.7521324
649,41.1434431,-74.7531119
650,41.1438358,-74.7538917
651,41.1446813,-74.755432
652,41.146073,-74.7578234
653,41.1466055,-74.7585666
654,41.1470602,-74.7592214
655,41.1472879,-74.7595333
656,41.1481007,-74.7607385
657,41.1483532,-74.7611129
658,41.1488415,-74.7618404
659,41.1488489,-74.761851
660,41.1495108,-74.7628025
661,41.1497076,-74.7630873
662,41.1499211,-74.7633961
663,41.1501588,-74.7637315
664,41.1503882,-74.7640718
665,41.1508758,-74.7648171
666,41.1510317,-74.7650491
667,41.1512762,-74.765413
668,41.151611,-74.7659114
669,41.1520485,-74.7666325
670,41.1524258,-74.7674175
671,41.152924,-74.7686264
672,41.1532687,-74.7697175
673,41.1535204,-74.770714
674,41.1538223,-74.7721345
675,41.1549796,-74.7775308
676,41.1552216,-74.7784767
677,41.1552959,-74.7787263
678,41.1554369,-74.7792002
679,41.1557483,-74.7800532
680,41.1561246,-74.7809611
681,41.1568214,-74.7822729
682,41.1574515,-74.7831956
683,41.1577795,-74.7836371
684,41.158619,-74.784622
685,41.159438,-74.7854414
686,41.1596366,-74.7856401
687,41.160177,-74.7861808
688,41.1603622,-74.786348
689,41.1604921,-74.7864652
690,41.1613356,-74.7870801
691,41.1615888,-74.7872647
