,Latitude,Longitude
0,40.9863449,-75.1904755
1,40.9863941,-75.190399
2,40.9864529,-75.1903326
3,40.9865659,-75.1902489
4,40.9866359,-75.1901963
5,40.9868058,-75.1900765
6,40.9875883,-75.1895348
7,40.9877157,-75.1894466
8,40.9882383,-75.1890846
9,40.9884796,-75.1889113
10,40.9887507,-75.1887178
11,40.989398,-75.188258
12,40.9899887,-75.1878611
13,40.9901587,-75.1877389
14,40.9902411,-75.1876834
15,40.9903685,-75.1875938
16,40.9904034,-75.1875693
17,40.9905201,-75.1874916
18,40.9905706,-75.18745
19,40.9909949,-75.1871017
20,40.9914307,-75.1867713
21,40.9919368,-75.1863591
22,40.9923021,-75.1860551
23,40.9924436,-75.1858792
24,40.9925077,-75.1857656
25,40.9925288,-75.1857554
26,40.9925719,-75.1857251
27,40.9925919,-75.1856832
28,40.992902,-75.1850306
29,40.9931046,-75.1846328
30,40.9931349,-75.1845738
31,40.9931447,-75.1845544
32,40.9931831,-75.1844787
33,40.9932195,-75.184406
34,40.9935438,-75.1837586
35,40.9937222,-75.1834021
36,40.993859,-75.1831355
37,40.9939635,-75.1829755
38,40.9940566,-75.1828326
39,40.9942723,-75.1827407
40,40.9944745,-75.1827534
41,40.9947123,-75.1827705
42,40.9947998,-75.1827767
43,40.995343,-75.1828158
44,40.9955742,-75.1828445
45,40.9959845,-75.1828837
46,40.996129,-75.1828975
47,40.9964892,-75.1829306
48,40.9968851,-75.1829704
49,40.9969971,-75.1829843
